@relation disclosure-X_NOISE

@attribute Age numeric
@attribute Civil numeric
@attribute Can/US numeric
@attribute binaryClass {P,N}

@data
66.449739,18.72768,14.257089,P
45.047585,0.621451,8.748127,P
26.432693,22.797173,8.53636,N
49.921688,26.831773,7.25435,P
51.971074,15.422224,5.149886,P
60.82342,31.04175,12.461234,P
58.954314,14.893227,8.817119,P
66.519132,11.635049,12.760756,P
58.551748,13.022992,9.939348,P
65.410562,26.881923,13.499266,P
91.13646,15.675411,6.031185,P
69.058361,12.923078,10.223974,P
49.042237,16.267194,11.307368,P
53.072225,13.346856,9.3023,P
41.138165,28.789054,9.989571,P
79.34633,15.493766,5.074395,P
25.86599,-1.555093,11.326917,P
25.38034,19.337178,14.348892,P
36.14356,18.529175,15.465513,P
42.43408,3.233751,11.413255,P
57.80743,17.74969,11.140486,P
62.93511,22.5007,5.200355,N
61.37259,9.339513,14.440528,P
49.69365,7.3979,8.911496,N
41.16758,7.488097,14.151117,N
45.57692,4.86794,6.147995,P
38.83788,5.442263,7.916169,N
23.89723,22.764811,12.567505,P
32.44387,8.769778,13.368097,N
54.3141,12.226792,17.086009,P
44.34859,19.024142,5.171502,P
36.87059,20.854527,15.821547,N
30.78147,10.376627,6.324088,P
27.35231,15.880129,12.986442,P
39.13431,17.225627,6.089499,N
28.63646,15.718615,5.704972,N
85.66653,23.20022,11.022394,P
27.3336,25.510401,12.862829,N
53.43369,14.19984,8.297727,P
36.67307,19.16158,12.007135,N
45.92818,14.951228,6.480555,P
43.75181,4.406978,8.920946,P
44.35728,-0.956454,13.588449,N
19.90804,28.722039,10.948449,P
49.70822,14.227206,7.634749,P
39.52449,27.029031,7.332154,P
26.27021,16.187868,16.542399,N
37.7465,23.582994,12.414285,P
50.98633,13.82891,11.560821,P
37.24704,5.278714,8.340107,P
53.72084,8.373658,10.491305,P
82.77131,5.785835,9.45625,P
43.44799,21.260148,4.659697,P
30.17576,17.934014,15.733399,P
54.57297,24.796188,20.114337,N
26.64676,18.001026,8.014368,P
32.93525,9.474044,25.352918,P
73.10286,11.089129,11.527502,P
29.82625,23.296671,7.352198,P
29.81741,11.426356,10.045975,N
54.49044,16.924976,3.734064,P
47.53062,20.115165,11.155802,P
39.51439,13.549299,8.600378,P
20.09715,22.783862,8.829486,N
48.0002,16.392383,11.607943,P
69.42518,19.008625,12.286866,P
55.84726,21.993324,7.724892,N
57.13613,7.447045,14.054408,P
48.07898,23.906508,8.554709,N
48.87152,6.861429,16.388222,N
57.95672,15.830879,11.310714,P
41.97288,11.093788,13.477306,P
55.51393,18.458223,11.173754,P
58.03373,26.735506,12.060261,P
87.47924,8.375435,11.156028,P
51.94749,17.477152,10.184444,P
44.38916,23.116018,13.196064,P
47.34662,7.382489,9.506801,P
33.06593,26.629495,9.319548,P
53.92173,20.770727,10.779404,P
37.07451,14.022675,16.687551,P
35.35041,19.321451,14.982743,N
70.49616,21.589464,7.916275,P
18.44201,7.834916,13.760145,P
91.35162,19.277259,11.070396,P
49.57121,17.477176,6.905379,N
54.70112,11.320964,10.90525,N
25.11715,5.075719,14.589684,P
40.29684,6.536568,3.506491,P
36.5917,10.426618,6.723756,N
34.53406,20.875785,7.656336,N
38.85154,15.212082,13.313383,P
68.3427,20.312446,4.701038,N
52.67254,9.705896,6.713958,P
68.41394,7.577482,9.435316,P
55.65354,4.90256,10.013284,P
66.64566,10.890645,21.364918,P
65.02683,20.079152,3.571368,P
27.84804,27.588519,2.123278,P
67.87623,16.715994,7.574372,P
34.41451,13.500359,1.3708,P
49.06836,18.667105,3.731789,P
56.68457,12.473911,6.396239,P
18.14603,19.271489,9.710752,N
30.32929,10.816728,14.786787,P
50.13244,11.591178,11.843544,P
50.95879,20.933389,11.091949,N
51.96257,27.154441,9.139407,P
74.7744,18.42031,5.098074,N
66.6151,12.10903,3.489334,N
36.87297,19.35076,9.475317,P
45.33538,15.61008,5.495109,P
60.8825,24.58455,10.815434,P
