@relation space_ga

@attribute ln(VOTES/POP) numeric
@attribute POP numeric
@attribute EDUCATION numeric
@attribute HOUSES numeric
@attribute INCOME numeric
@attribute XCOORD numeric
@attribute binaryClass {P,N}

@data
-0.59789,9.638154,8.622094,8.711443,11.648967,-87373481,P
-1.000202,10.268339,9.303922,9.02184,12.066448,-109488456,P
-0.959035,10.977858,10.407017,9.86563,13.105555,-109736956,P
-0.65125,10.824726,10.151011,9.50032,12.953637,-111768163,P
-0.63598,10.138915,9.500395,9.20251,12.22758,-110818155,P
-0.611045,9.593355,8.872768,8.490849,11.568275,-109891347,P
-0.627021,8.865029,8.29355,7.365813,11.223949,-109232988,P
-0.801576,13.897255,13.401328,12.832212,16.270499,-112490919,P
-0.722434,10.628618,10.128709,9.696094,12.828762,-113753337,P
-0.843117,10.577121,9.832958,9.484557,12.62253,-110319661,P
-0.731945,12.871114,12.353302,11.767227,15.150044,-111814821,P
-0.962896,11.0173,10.22205,9.904387,13.087869,-111346897,P
-0.892566,9.475547,8.681011,8.260493,11.621242,-110836469,P
-0.577324,10.852168,10.423114,9.88812,12.993473,-112554041,P
-1.07305,11.032209,10.322691,9.929935,12.995931,-113897214,P
-0.770769,9.756089,8.871786,8.676758,11.89379,-91376344,P
-0.714746,9.791326,8.972337,8.85723,11.835567,-91772262,P
-0.346849,9.972407,9.324651,9.155673,11.96242,-92339841,P
-0.656618,10.946728,10.301659,9.98838,13.074227,-94257842,P
-0.453909,9.853877,9.183894,8.941153,11.8611,-93092833,P
-0.704332,9.199279,8.281471,8.26359,11.05062,-92168367,P
-0.604161,8.385717,7.44132,7.458186,10.161148,-92497141,P
-0.454863,9.407468,8.723394,8.547528,11.348888,-93541961,P
-0.690807,9.352274,8.280711,8.338306,11.195348,-91297700,P
-0.648919,9.770756,8.886271,8.645059,11.770401,-93176507,P
-0.718605,9.618336,8.513787,8.683893,11.501187,-90421474,P
-0.406382,9.436998,8.604838,8.569786,11.363474,-92028995,P
-0.591522,8.617039,7.684784,7.731053,10.546025,-92187914,P
-0.654901,9.861936,9.006877,8.834337,11.899785,-93226530,P
-0.385275,9.511037,8.667164,8.563695,11.505901,-92695052,P
-0.758345,10.732105,9.856972,9.623244,12.819237,-90631882,P
-0.671597,10.136502,9.322061,9.183072,12.157848,-94246370,P
-0.826032,10.360121,9.376533,9.154828,12.407478,-90314064,P
-0.725057,9.503383,8.483016,8.430327,11.565888,-90771434,P
-0.492954,8.913416,8.105308,7.987864,10.97382,-92657033,P
-0.761875,9.467537,8.498826,8.379998,11.513375,-91259304,P
-0.70648,9.4362,8.538955,8.418256,11.457614,-91716904,P
-0.672583,10.417837,9.625756,9.325453,12.458674,-92335289,P
-0.483663,9.25177,8.41516,8.297793,11.140092,-93891926,P
-0.545727,8.902047,8.059592,8.051022,10.659915,-91818910,P
-0.58232,10.881795,10.229513,9.866357,13.013365,-93153957,P
-0.545106,9.11603,8.326275,8.208492,11.209209,-92423425,P
-0.704292,9.995383,9.023408,9.007979,11.971084,-90562264,P
-0.658178,9.720946,8.990442,8.76655,11.698741,-93664959,P
-0.56705,9.855924,9.082621,8.941284,11.894863,-92945112,P
-0.630082,9.159994,8.274357,8.199739,11.171336,-93989511,P
-0.659927,9.976877,9.11504,9.011889,11.941514,-91566218,P
-0.456422,9.023167,8.25062,8.167636,10.849609,-91911006,P
-0.634014,9.631285,8.584291,8.5781,11.630655,-91213910,P
-0.731429,11.041913,10.2726,9.93518,13.115886,-91929077,P
-0.500505,9.441135,8.536604,8.48405,11.401044,-93461165,P
-0.613954,8.850374,7.813592,7.908019,10.704345,-93610593,P
-0.648506,9.496872,8.4362,8.567316,11.352405,-91114974,P
-0.702029,9.194109,7.874739,8.040769,10.888614,-90780318,P
-0.908204,9.163773,8.085487,7.973844,10.925489,-91733936,P
-0.623287,9.145268,8.323366,8.230577,11.287868,-94235637,P
-0.462486,9.557753,8.641179,8.634087,11.437588,-93712628,P
-0.691938,10.049404,9.247251,9.055323,12.141913,-91853009,P
-0.332547,9.004177,8.1277,8.117611,10.816272,-93723070,P
-0.440925,9.026898,8.340695,8.198639,10.932928,-92679917,P
-0.700012,10.166621,9.39599,9.163354,12.230736,-93880562,P
-0.876869,10.582941,9.599812,9.280239,12.560757,-90054475,P
-0.671693,9.154087,8.067776,8.014005,11.00727,-91203053,P
-0.471352,8.663369,7.785305,7.772753,10.472856,-93660190,P
-0.566414,8.964823,8.077137,8.033334,10.919062,-93302881,P
-0.291703,8.593969,7.652071,7.710653,10.224302,-93223087,P
-0.583847,9.993694,9.181838,9.043459,12.001113,-92879263,P
-0.456256,8.522778,7.710653,7.661998,10.455618,-92934055,P
-0.684949,10.003785,8.943245,8.715224,11.886163,-90852019,P
-0.597825,8.915835,8.026824,8.030084,10.889062,-93654743,P
-0.70737,9.832153,8.730529,8.699515,11.841438,-90663212,P
-0.578117,9.406318,8.57697,8.505525,11.397324,-94224002,P
-0.669144,10.232252,9.451638,9.194821,12.288505,-93035762,P
-0.602512,8.869961,7.85632,7.865955,10.813478,-91557246,P
-0.755927,12.390513,11.85054,11.260327,14.70319,-92310815,P
-0.691797,9.379408,8.366138,8.439448,11.308272,-91028073,P
-0.624781,9.882672,8.893023,8.677951,11.8142,-90747325,P
-0.629355,10.510341,9.833923,9.564091,12.739781,-92674589,P
-0.405897,8.845345,7.84659,7.952967,10.654007,-94063491,P
-0.424175,8.762959,7.752335,7.877776,10.413583,-92703260,P
-0.611851,11.127248,10.503395,10.070611,13.385351,-94275394,P
-0.586715,9.198673,8.408048,8.319717,11.199365,-94237697,P
-0.532808,9.299358,8.559869,8.448272,11.156208,-91481513,P
-0.489467,8.777247,7.776115,7.881937,10.503175,-92153495,P
-0.709885,10.454553,9.747652,9.485545,12.562039,-92594441,P
-0.442593,9.189627,8.429454,8.348775,11.062144,-92519040,P
-0.745573,11.220633,10.460213,10.07133,13.284637,-94214352,P
-0.744264,10.503477,9.544453,9.463742,12.417378,-91745790,P
-0.705583,8.936693,7.817625,7.835975,10.845582,-91241026,P
-0.546824,9.419872,8.553139,8.441607,11.311323,-93406902,P
-0.684343,13.626663,13.151874,12.328896,16.060109,-121913948,P
-0.572241,6.705639,6.265301,5.472271,9.037533,-119804453,N
-0.428028,9.604812,9.197964,8.628556,11.812778,-120655265,N
-0.516065,11.613657,11.04273,10.500317,13.779835,-121596065,N
-0.419414,9.656883,9.269081,8.695841,11.905765,-120551793,P
-0.595763,9.111955,8.510974,7.985144,11.441623,-122235120,N
-0.502716,13.071851,12.69804,12.012852,15.678944,-121948700,P
-0.621129,9.472935,8.896314,8.422223,11.648592,-123956960,N
-0.557187,11.060856,10.695122,9.994105,13.435348,-120527585,N
-0.805536,12.79709,12.12343,11.563067,15.092371,-119647934,P
-0.591949,9.617404,8.985195,8.563504,11.845827,-122391742,N
-0.510633,11.304313,10.797737,10.132534,13.524807,-123911969,N
-1.020572,11.000048,10.104999,9.740557,13.184277,-115352917,P
-0.502846,9.493412,9.063695,8.454679,11.736325,-117483183,P
-0.824865,12.537633,11.848819,11.357919,14.851393,-118724910,P
-0.952015,10.805314,10.025749,9.531409,12.973518,-119814766,P
-0.532012,10.252418,9.744433,9.33847,12.340669,-122762036,N
-0.647028,9.658673,9.127176,8.543835,11.840501,-120577604,N
-0.802847,15.510431,14.945125,14.095712,17.943991,-118261988,P
-0.769364,10.66179,9.982807,9.547384,12.902915,-119765135,P
-0.463716,12.058286,11.810286,10.881738,14.825293,-122743465,P
-0.417987,9.049937,8.581107,7.952263,11.21394,-119909601,P
-0.529339,10.777267,10.362083,9.686326,13.026775,-123431626,N
-0.896505,11.41507,10.669397,10.154635,13.645041,-120711131,P
-0.431945,8.725994,8.284757,7.726654,10.94212,-120718555,N
-0.645555,8.783243,8.389133,7.465083,11.207432,-118873970,P
-0.874601,12.245894,11.648714,10.835534,14.593402,-121310622,P
-0.532717,11.225457,10.770231,10.081383,13.630254,-122323151,N
-0.385892,10.561733,10.246758,9.612467,12.864916,-120766234,N
-0.589735,14.157056,13.719908,12.93627,16.732863,-117777399,P
-0.502094,11.350265,10.931141,10.333873,13.772139,-120727661,N
-0.43916,9.446282,9.06068,8.39976,11.686038,-120834136,N
-0.677124,13.079084,12.532466,12.021055,15.416662,-115977297,P
-0.576243,13.258922,12.800807,12.106313,15.644546,-121349033,N
-0.788732,9.724899,8.963672,8.434029,11.95267,-121084212,P
-0.768406,13.345393,12.789645,12.259599,15.663282,-116191349,P
-0.659384,14.142028,13.637732,12.819221,16.511508,-116771868,P
-0.794703,13.239903,12.778599,11.520755,15.654582,-122554783,P
-0.745321,12.414078,11.747389,11.227175,14.706258,-121270600,P
-0.558487,11.707958,11.171449,10.46316,13.906727,-120445529,P
-0.630996,13.013695,12.641863,11.808137,15.650402,-122356471,P
-0.561416,12.328945,11.846744,10.965903,14.735407,-120025949,P
-0.675057,13.750335,13.303272,12.51928,16.327261,-121686315,P
-0.510485,11.870306,11.417108,10.661556,14.248715,-122007235,P
-0.553505,11.320263,10.870452,10.273567,13.573602,-122038133,N
-0.301699,7.750615,7.378384,6.726233,9.993328,-120499150,N
-0.540782,10.266219,9.839482,9.252633,12.467086,-122533064,N
-0.706959,12.005155,11.523836,10.836655,14.37063,-121938347,P
-0.563275,12.307193,11.890121,11.194482,14.700732,-122928697,N
-0.796132,12.136915,11.457814,10.986902,14.450125,-120993750,P
-0.686361,10.514964,9.925298,9.346269,12.824941,-121689128,N
-0.59532,10.241138,9.723403,9.250522,12.382778,-122233448,N
-0.425576,9.046409,8.634976,8.044947,11.220512,-123118229,N
-0.848855,12.017119,11.228013,10.841951,14.210094,-118796611,P
-0.458742,10.143016,9.733174,9.11603,12.340796,-119944921,P
-0.647176,12.805371,12.327338,11.635099,15.260387,-119146228,P
-0.541823,11.355382,10.717546,10.01297,13.623167,-121882611,N
-0.892119,10.446829,9.756842,9.16157,12.526238,-121352619,N
-0.679187,12.0293,11.474632,10.974283,14.395101,-104350313,N
-0.539411,9.021598,8.359135,7.86442,11.11519,-105784847,P
-0.472213,12.231843,11.92844,11.231504,14.911214,-104331552,N
-0.263982,7.813592,7.348588,6.824374,9.920099,-107052349,P
-0.357269,8.255309,7.625107,7.380879,10.321671,-102556991,P
-0.58731,8.340933,7.712444,7.247793,10.450047,-103076652,P
-0.491806,11.866262,11.436617,10.655564,14.305379,-105357295,N
-0.551288,9.159784,8.642415,8.166216,11.321632,-106175994,N
-0.205721,7.327781,6.849066,6.424869,9.408535,-102587596,N
-0.509249,8.571681,8.267449,7.571474,11.136689,-105635856,N
-0.418784,8.49964,7.65112,7.541152,10.150465,-106194112,P
-0.281663,7.64874,6.703188,6.669498,9.332646,-105427953,P
-0.402519,7.697575,6.986566,6.777647,9.544596,-103785398,N
-0.070708,6.988413,6.608001,6.013715,9.005282,-105360548,P
-0.507221,9.63711,9.118444,8.723231,11.671134,-107861186,N
-0.599317,12.851835,12.351596,11.574011,15.253926,-104872655,N
-0.332267,7.037906,6.421622,6.148468,9.096275,-108521796,P
-0.348875,9.70729,9.461566,8.81863,12.486201,-104930454,N
-0.58273,9.251098,8.859079,7.997327,11.788343,-106703546,N
-0.379726,8.425955,8.033983,7.531552,10.769306,-104128464,N
-0.744357,12.296407,11.831685,11.088889,14.592227,-104521087,N
-0.553524,9.955558,9.406154,8.930626,12.038937,-105437970,N
-0.549345,9.689799,9.263123,8.570544,12.063633,-107896925,N
-0.253395,7.488294,7.231287,6.610696,9.869569,-105519522,N
-0.438524,8.593599,8.195334,7.459915,10.969336,-106118050,N
-0.551129,9.062304,8.408494,7.59287,11.168574,-107013567,N
0.100083,5.717028,5.451038,4.59512,8.066208,-107279829,P
-0.405905,8.422883,7.650645,7.457609,10.411028,-104958585,P
-0.207344,7.172425,6.715383,6.049733,9.456263,-106338973,N
-0.468586,12.467702,12.136165,11.447138,15.074008,-105246813,N
-0.233615,7.288928,6.837333,6.265301,9.432764,-102740735,N
-0.370836,8.57414,8.04687,7.624131,10.719162,-102602452,N
-0.681342,8.696009,8.077447,7.627544,11.131401,-106358091,N
-0.50253,9.911803,9.402777,8.795582,12.116028,-107846076,P
-0.548561,11.617213,11.119275,10.456338,13.922223,-105456325,N
-0.372024,9.282475,8.604838,8.205492,11.240119,-104043298,P
-0.381995,8.153062,7.625595,7.203406,10.296981,-103523258,N
-0.53055,9.553717,8.959569,8.500861,11.780507,-103105037,N
-0.569875,10.971589,10.466811,9.968948,13.278214,-108468152,N
-0.252055,6.361302,6.013715,5.402677,8.650325,-106926879,P
-0.587561,9.089641,8.576217,8.089789,11.562696,-108202444,N
-0.613736,9.31425,8.697179,8.381373,11.497294,-108595519,P
-0.540959,9.731097,9.213834,8.75684,11.953378,-108269076,N
-0.631532,9.659631,9.040975,8.571871,11.882978,-103807282,N
-0.568101,9.650722,8.962392,8.636397,11.657986,-103711148,P
-0.141823,7.232733,6.862758,6.287859,9.475163,-107765790,P
-0.287499,8.201386,7.886833,7.27448,10.541069,-105713562,N
-0.331727,8.095599,7.589842,7.177019,10.265628,-102348564,N
-0.448522,9.045819,8.781095,7.729296,11.731402,-106921365,N
-0.530019,9.088738,8.469892,8.057694,11.208138,-102395291,P
-0.651363,11.397301,10.792777,10.384647,13.641285,-104506384,P
-0.48076,8.361942,7.859799,7.260523,10.779623,-108199107,N
-0.471423,8.880586,8.226841,7.847372,10.955427,-106388011,P
-0.38608,9.196241,8.849227,8.05611,11.69742,-106987384,N
-0.228469,7.894691,7.187657,6.835185,9.782619,-106298793,P
-0.044531,6.352629,5.950643,5.236442,8.526945,-107667201,P
-0.255666,7.756195,7.432484,6.602588,9.916206,-108426142,P
-0.324609,7.767687,7.234177,6.795706,9.868482,-102352967,N
-0.476298,8.855378,8.500454,7.444249,11.405619,-106107845,N
-0.411293,8.629271,8.321665,7.718241,10.944753,-105154213,N
-0.310107,8.251403,7.684784,7.302496,10.326105,-103200802,N
-0.761766,11.374422,10.722033,10.205183,13.596065,-104403026,N
-0.371519,8.82129,8.256088,7.866339,10.962752,-102422375,N
-0.471212,13.287317,12.811639,12.148438,15.943831,-73371027,N
-0.476288,13.301269,12.756059,12.070144,15.723331,-72734983,N
-0.401923,11.645058,11.148535,10.599281,14.064099,-73244573,N
-0.40296,11.46446,10.976765,10.368981,13.851631,-72523893,N
-0.51348,13.243488,12.667905,12.019159,15.572147,-72900347,N
-0.564006,12.06129,11.489299,10.855281,14.370576,-72104339,N
-0.51963,11.346304,10.789154,10.147649,13.666849,-72332954,N
-0.508748,11.090752,10.366781,9.935035,13.292035,-71988490,N
-0.823414,11.128292,10.459927,10.002563,13.307498,-75503073,N
-0.537859,12.573368,12.028219,11.4478,14.982278,-75638048,N
-0.64014,11.169139,10.442667,10.214459,13.327263,-75341817,N
-0.81406,11.660578,10.955323,10.311283,13.734781,-82358340,P
-0.724114,9.236495,8.334472,8.104703,11.188178,-82273806,P
-0.69556,11.146041,10.515994,10.071076,13.276477,-85632422,P
-0.832986,9.572202,8.77292,8.490028,11.475961,-82168177,P
-0.572197,12.230399,11.763279,11.195705,14.525023,-80701041,P
-0.672037,13.597317,13.112551,12.610557,15.987804,-80452893,P
-0.506129,8.77075,7.856707,7.848934,10.686818,-85197404,P
-0.439679,10.803751,10.322757,9.980911,12.997249,-81954072,P
-0.59506,10.698627,10.018065,9.891971,12.710559,-82516378,P
-0.608379,10.699259,10.230054,9.712085,13.021433,-81857936,P
-0.676286,11.098954,10.620229,10.092909,13.605025,-81400686,P
-0.734724,10.097614,9.369223,9.10086,12.215255,-82625028,P
-0.856261,14.027216,13.41662,12.714476,16.345405,-80502124,P
-0.79113,9.537051,8.669914,8.452975,11.446134,-81806155,P
-0.550798,8.61323,7.745436,7.653495,10.501005,-83193638,P
-0.73468,12.918226,12.299035,11.776643,15.175302,-81648509,P
-0.630437,12.021861,11.389243,10.929619,14.183999,-87332598,P
-0.408912,9.039433,8.575273,8.092239,11.232126,-81296926,P
-0.450936,8.577159,7.591862,7.673223,10.48142,-84816733,P
-0.814043,10.225281,9.275379,9.105424,12.066029,-84612367,P
-0.359178,8.29405,7.542744,7.44132,10.229368,-82802705,P
-0.587042,8.365672,7.600402,7.404888,10.22749,-81186194,P
-0.40289,8.905173,8.19561,7.971086,10.869806,-85242231,P
-0.55385,8.649449,7.757906,7.707962,10.548232,-82948911,P
-0.881561,9.463043,8.477412,8.458716,11.556282,-81809276,P
-0.804052,9.400795,8.535622,8.306225,11.577973,-81173157,P
-0.464251,10.464502,9.849718,9.616805,12.474274,-82468232,P
-0.655295,10.520509,9.838255,9.568644,12.554773,-81342583,P
-0.830169,13.062465,12.440829,11.977313,15.279574,-82346095,P
-0.524099,9.24619,8.261785,8.367532,11.153418,-85812332,P
-0.624601,10.739847,10.192194,9.774631,13.076801,-80578968,P
-0.664861,10.22452,9.349754,9.220885,12.116842,-85212767,P
-0.547852,8.876545,8.037866,7.876259,10.797798,-83896458,P
-0.38028,7.910224,7.126087,7.008505,9.898927,-83179529,P
-0.669488,11.303611,10.705534,10.389949,13.424402,-81717405,P
-0.526697,11.984247,11.463525,11.02218,14.254139,-81921462,P
-0.661621,11.617817,11.016545,10.318903,13.835383,-84279084,P
-0.634873,9.57025,8.805525,8.674539,11.526207,-82789848,P
-0.376124,8.002694,7.074117,7.068172,9.91096,-84886906,P
-0.597301,9.21144,8.198914,8.218518,11.044984,-83467226,P
-0.582701,11.673666,11.145883,10.73757,13.882884,-82359737,P
-0.800861,11.412188,10.752463,10.453082,13.475865,-82059049,P
-0.521677,10.83575,10.351501,9.908923,13.158597,-80396904,P
-0.843662,10.833602,10.34477,9.694986,13.102208,-81150319,P
-0.71727,10.000024,9.271059,9.058238,12.259841,-81767656,P
-0.643801,11.248478,10.734917,10.064756,13.467237,-86593016,P
-0.793349,9.527266,8.676246,8.499436,11.61734,-80889832,P
-0.880981,12.752985,12.169378,11.576848,15.006096,-81322127,P
-0.697122,10.506573,9.856396,9.4697,12.606301,-81146851,P
-0.5845,13.025368,12.545373,12.053714,15.45111,-80437015,P
-0.578561,11.968697,11.290919,11.146445,13.97607,-82438570,P
-0.536263,13.287571,12.789274,12.34483,15.528249,-82738949,P
-0.789543,12.363704,11.667927,11.296857,14.54453,-81700070,P
-0.714688,10.497532,9.75121,9.580109,12.514685,-81740382,P
-0.694156,10.53715,9.952135,9.539932,12.742373,-81406762,P
-0.766644,11.069914,10.445986,9.997797,13.241383,-80444473,P
-0.580711,10.560697,9.973293,9.563318,12.734106,-87016380,P
-0.519179,12.024455,11.609934,11.136966,14.351313,-82369354,P
-0.743174,11.752564,11.318722,10.737505,14.13691,-81227100,P
-0.768499,9.788526,8.93564,8.836665,11.736661,-82079177,P
-0.598607,9.638871,8.852093,8.698848,11.602629,-82993463,P
-0.669,9.346269,8.527342,8.393216,11.456673,-83615892,P
-1.196683,8.989444,8.196161,7.243513,10.535955,-82374033,P
-0.693461,12.225032,11.658462,11.240828,14.348914,-81138499,P
-0.544264,8.905037,8.174985,8.030084,10.926712,-84381252,P
-0.512623,9.654257,8.828494,8.793612,11.618573,-86170814,P
-0.448882,9.230437,8.413165,8.370316,11.092367,-85670694,P
-0.710668,9.22926,8.156223,8.247482,11.166583,-82285580,P
-0.595855,8.302018,7.063048,7.25347,10.069256,-82874736,P
-0.691859,8.73295,7.679251,7.746733,10.658717,-82451152,P
-0.47939,7.834392,6.391917,6.716595,9.73347,-84454013,P
-1.098812,10.125951,9.227394,8.811801,12.173818,-83250851,P
-0.756476,8.717846,7.614805,7.783224,10.775513,-83500539,P
-0.84689,9.596623,8.44096,8.561784,11.683512,-83711811,P
-0.941134,10.233331,9.136586,9.231123,12.356276,-84839182,P
-1.001785,9.312446,8.303752,8.250098,11.306246,-83219755,P
-0.751686,9.141954,8.071219,8.107117,11.144077,-83231790,P
-0.791484,11.573145,10.785021,10.345959,13.734432,-83699153,P
-0.808213,8.95144,7.932721,7.858254,10.992622,-83331211,P
-0.645154,8.643826,7.724888,7.765145,10.576611,-81983226,P
-0.970751,9.220588,8.114025,8.125039,11.052143,-83577257,P
-0.714403,8.796188,7.727976,7.83637,10.813458,-81437630,P
-1.066182,10.162346,9.132379,8.862059,12.091116,-81743912,P
-0.921128,9.436519,8.27614,8.286017,11.372916,-81999393,P
-0.91353,9.168059,8.107419,7.93666,11.202111,-83957134,P
-0.607659,8.251142,6.99851,7.088409,10.05535,-84618910,P
-0.69663,9.095715,8.198914,8.134761,11.187984,-81637831,P
-0.77785,8.569786,7.518064,7.41698,10.475371,-82074981,P
-1.001571,10.581749,9.583351,9.495294,12.636715,-85079029,P
-0.837314,10.148314,9.386812,9.217217,12.296599,-85136429,P
-0.716067,8.450626,7.41216,7.453562,10.406473,-82139931,P
-0.918096,11.865053,11.14659,10.654149,14.071093,-81085242,P
-3.057045,9.679781,8.672657,6.159095,11.558692,-84787802,P
-0.89205,9.645105,8.413165,8.678632,11.612409,-85345765,P
-1.094264,10.459726,9.628919,9.535463,12.700229,-84474300,P
-1.076578,10.975003,10.09146,9.427305,13.041787,-83366020,P
-0.67649,7.800163,6.647688,6.674561,9.582593,-84992951,P
-0.977074,11.523757,10.895349,10.387702,13.909737,-84357031,P
-0.842843,8.373323,7.106606,7.206377,10.285923,-82702842,P
-0.789585,12.25977,11.74283,11.167035,14.753336,-84577005,P
-1.005223,9.803225,8.748464,8.740177,11.728972,-82851471,P
-0.975439,10.088057,9.118115,9.010303,12.100673,-83768332,P
-0.800583,10.188065,9.595671,9.24242,12.507491,-82261233,P
-0.890667,9.102421,7.981733,8.094989,11.064683,-83430769,P
-0.949322,10.200996,9.258464,9.183586,12.422518,-84762598,P
-0.765027,8.53778,7.434848,7.504392,10.516969,-83979679,P
-0.89409,9.478381,8.49167,8.317033,11.529527,-83771586,P
-0.771211,9.047351,7.999679,8.066208,11.028855,-85504714,P
-0.597837,8.113726,6.943122,7.247793,10.097038,-84171192,P
-1.000281,9.739497,8.753056,8.687105,11.729125,-84579633,P
-0.732895,12.761066,12.284907,11.540949,15.221159,-84227007,P
-0.584821,9.357121,8.283494,8.384576,11.267843,-83166242,P
-0.710416,8.871505,7.610853,7.778211,10.688416,-83798374,P
-0.916809,11.106039,10.324334,9.78002,13.309757,-84215784,P
-0.919236,10.482906,9.750045,9.551587,12.782169,-84767287,P
-0.844695,9.055906,7.931285,7.967627,11.028936,-84909200,P
-0.650754,7.313887,6.224558,6.36647,9.191667,-82898962,P
-0.807929,9.397815,8.444838,8.466742,11.507149,-81343480,P
-0.778645,9.488275,8.430763,8.47512,11.453398,-82839768,P
-0.8081,9.548597,8.412499,8.499233,11.501662,-82304173,P
-0.786867,8.640472,7.599401,7.538495,10.579183,-81890873,P
-0.617811,9.288412,8.265136,8.422223,11.14002,-84319284,P
-0.605679,9.869465,9.427546,8.992309,12.449238,-84492885,P
-0.89029,10.959123,10.050398,9.861728,13.114726,-85215026,P
-0.905059,9.858699,8.999496,8.962776,12.133975,-84126721,P
-0.78919,9.298351,8.151045,8.32288,11.230072,-83227670,P
-0.804255,12.973265,12.344721,11.558654,15.31731,-84467156,P
-0.561786,8.981807,7.834788,8.020928,10.911354,-84457861,P
-0.422311,7.459339,6.148468,6.413459,9.460243,-82606939,P
