@relation quake

@attribute focal_depth numeric
@attribute latitude numeric
@attribute longitude numeric
@attribute binaryClass {P,N}

@data
28,-42.9,-75.13,N
26,12.46,114.45,P
159,44.21,145.45,N
587,-9.04,-71.32,P
35,-22.34,-113.98,P
50,30.68,140.22,P
29,43.87,87.74,N
46,-29.34,-68.09,P
21,31,-41.53,P
50,53.89,160.68,N
122,-7.28,129.16,P
101,-6.21,130.39,N
41,51.32,-179.67,P
19,-9.61,159.77,P
118,-6.39,146.31,P
58,17.35,-100.04,P
38,58.35,-153.13,N
121,50.04,155.38,P
29,20.73,146.29,P
0,49.77,78.1,N
35,-17.66,167.96,N
7,-32.2,78.93,N
59,-5.41,151.57,N
53,48.29,154.36,P
50,31.49,80.5,N
17,1.85,126.4,P
42,24.24,122.67,N
627,-21.08,-179.15,P
34,0.81,29.9,N
0,49.72,78.07,N
28,37.49,115.06,P
40,23.86,122.97,N
61,23.72,142.18,P
61,51.24,157.76,N
23,57.37,-152.27,P
27,-0.78,122.22,N
75,-0.52,122.21,P
33,-52.77,160.17,N
22,-23.4,-174.72,P
214,36.43,71.12,N
37,11.26,139.57,N
242,-12.23,167.02,N
34,-10.43,160.89,N
20,-10.15,161.01,N
523,-7.21,124.69,N
33,29.62,80.83,N
36,29.71,80.89,N
102,24.86,122.56,N
16,51.99,179.95,P
29,50.57,-171.22,N
59,-0.1,125.01,N
11,-0.05,125.06,N
26,39.17,41.56,P
39,8.48,126.62,P
90,2.34,128.4,N
17,-23,170.6,P
27,-60.33,-27.25,P
39,27.87,54.3,P
165,-21.59,170.56,N
35,-60.44,-26.44,P
38,-10.74,-78.63,N
42,-1.52,-15.37,N
0,73.4,54.57,N
44,22.11,145.9,N
1,38.9,21.1,P
110,-31.95,-68.4,P
16,41.68,144.26,P
136,-14.03,167.04,N
0,49.92,77.76,P
571,-26.06,-63.1,P
46,-7.11,148.31,N
23,-25.51,-70.74,N
23,-15.16,-173.64,P
24,48.22,102.9,N
39,38.33,142.2,P
5,56.68,120.95,N
33,-14.83,-178.75,N
21,48.08,103.02,N
42,52.4,-169.54,N
1,24,-65.7,N
36,2.93,-74.83,N
598,-9.05,-71.34,N
21,-23.79,-175.14,N
88,-9.12,113.04,P
105,-0.09,123.95,P
126,-0.13,123.95,P
0,49.79,78.14,N
122,-0.16,-78.6,P
60,39.25,24.6,N
38,-10.64,166.29,P
50,-10.75,166.34,P
48,-10.77,166.25,P
33,-40.12,-74.68,P
80,-6.73,129.84,N
38,45.53,151.11,P
606,-6.01,112.33,P
33,-11.14,115.36,N
36,45.56,151.62,P
12,20,147.27,P
63,5.16,96.31,N
51,27.32,128.66,P
48,51.47,-178.32,N
109,-20.25,-68.83,P
184,-0.96,101.39,N
11,51.86,176.09,P
39,-15.33,-173.48,P
136,-58.36,-26.83,P
44,52.76,-166.9,P
28,-25.18,-70.54,P
38,54.44,-157.94,N
49,52.58,-168.13,P
33,40.67,30.69,N
160,6.84,-73.09,P
367,35.43,135.49,N
60,10.36,125.87,N
40,3.72,95.74,N
33,-60.84,-24.33,N
78,12.18,140.8,N
24,31.61,100.26,N
29,-10.59,-79.67,N
577,-27.62,-63.15,P
19,27.42,91.86,P
85,42.92,145.33,P
34,-57.82,-23.54,N
34,-49.57,163.93,P
126,-20.78,169.85,P
0,19.5,-60,P
20,-6.59,153.47,P
44,-5.66,153.92,P
605,-21.1,-179.18,N
60,-7.15,129.83,N
181,11.91,-85.98,N
0,73.4,54.42,P
73,24.43,122.25,N
0,-7.02,30.9,N
35,-28.78,-71.19,P
28,14.48,51.98,P
21,41.41,20.44,P
144,49.45,154.4,P
27,17.54,73.84,P
20,-21.89,-70.07,N
42,17.42,-61.19,N
5,17.61,-61.26,P
55,-5.25,153.7,P
91,-21.29,-68.2,N
33,-22.46,-174.61,P
80,-7.53,127.91,N
13,-9.29,158.46,N
29,-8.93,120.32,N
20,43.52,146.72,N
599,-6.1,113.36,N
46,-5.54,153.36,N
7,39.4,24.94,N
8,22.76,121.47,N
87,-16.13,-173.95,P
528,-6.59,116.18,P
37,32.48,132.28,N
40,32.24,132.21,P
12,33.22,-116.19,N
22,58.69,-149.93,N
30,43.58,-127.89,N
162,29.93,129.39,P
9,40.86,143.38,N
26,41.52,142.82,N
60,40.78,142.15,P
32,39.83,143.16,P
45,-30.86,-178.21,N
33,-30.84,-178.2,N
44,44.67,150.28,P
47,41.47,142.88,P
21,-41.72,172.03,N
618,-6.84,118.91,P
73,-2.98,139.34,N
45,44.48,150.19,P
27,-1.86,120.1,P
31,39.47,142.89,N
16,5.64,-82.6,P
26,41.06,143.1,P
33,-5.55,-77.2,N
33,-5.51,-77.3,P
68,36.01,139.33,P
72,-2.7,139.01,P
44,38.54,142.14,N
30,39.54,143.2,P
17,-30.97,-178.13,N
25,-0.27,133.47,N
36,-6.86,-80.42,P
31,16.3,122.11,P
36,16.56,-97.79,N
43,25.73,128.5,N
52,16.45,122.31,N
96,6.6,126.77,P
48,33.31,132.31,N
1,1.38,126.24,N
41,1.4,126.27,N
22,0.06,119.73,N
534,-10.2,159.9,N
33,1.17,126.14,P
25,34.15,59.01,P
14,34.09,58.24,P
32,-3.74,143.01,N
122,-8.62,-74.55,P
640,-21.57,-179.35,P
3,28.3,53.17,P
49,-6.08,148.77,P
103,10.76,-62.7,N
57,42.08,142.65,P
114,15.54,-92.65,P
12,-30.52,-178.01,P
151,-6.89,129.21,P
12,-3.65,143.37,P
66,-13.1,-76.37,P
0,49.82,78.18,P
45,-56.27,-27.07,N
10,-7.6,126.26,P
518,26.29,140.7,N
33,-39.85,87.74,P
18,-31.54,117,P
21,-3.38,143.29,N
49,-12.41,166.43,P
7,65.46,-150.07,N
1,1.2,126.34,N
596,-14.2,172.02,P
0,73.39,54.58,N
150,9.57,-72.63,P
49,40.3,142.39,P
15,-14.01,23.82,P
33,51.56,175.86,P
82,60.15,-152.82,N
79,-56.03,-27.57,P
71,-8.03,158.94,N
32,-10.57,164.46,N
138,-56.81,-26.93,N
238,44.89,143.21,N
114,-14.89,167.22,N
17,54.84,166,N
587,-21.87,-179.54,P
24,0.77,126.02,P
35,-17.15,-171.57,N
72,4.77,127.5,P
46,4.81,127.54,N
27,-8.07,-80.09,P
635,-22.75,178.76,N
3,41.42,79.24,P
425,-6.76,126.74,N
74,3.5,128.41,P
53,-3.17,118.91,P
14,35.97,-10.58,N
43,8.69,127.35,N
32,4.72,127.65,P
4,38.55,28.46,P
35,11.91,41.21,P
33,27.61,33.91,N
19,12,41.35,P
170,-6.11,129.91,P
38,-13.57,166.2,P
39,32.15,131.98,N
34,-30.5,-71.38,P
200,-16.71,-174.66,P
22,51.29,-179.85,N
22,34.43,25.04,P
52,49.41,155.54,N
66,-7.93,159.05,P
33,-52.53,159.7,P
41,53.31,-162.41,P
56,51.46,-179.95,N
44,52.21,158.95,P
6,38.43,119.47,P
54,-17.3,-72.48,P
1,-11.84,-75.1,P
531,-5.71,125.42,N
21,1.26,126.23,N
193,36.44,70.86,P
193,-6.14,129.69,P
8,43.46,147.91,P
45,43.59,147.63,P
41,43.44,147.82,N
38,43.61,147.18,N
0,43.63,146.5,N
0,43.72,147.8,P
33,43.78,147.48,N
44,1.81,126.41,N
70,43.45,147.98,N
46,43.14,147.44,N
320,21.57,143.1,P
49,43.17,147.46,P
34,25.12,-109.55,P
111,47.88,153.75,N
31,-8.89,157.95,P
17,-8.98,157.91,P
38,51.27,-179.17,P
39,31.08,131.43,N
37,15.3,-45.78,P
36,-60.9,-55.9,P
43,-11.75,-75.15,P
0,73.39,54.5,N
124,23.09,94.7,N
43,51.31,-179.23,N
7,34.77,-121.35,P
57,-16.11,-173.87,P
31,-53.37,23.6,P
22,51.26,-178.95,N
11,34.72,-121.28,P
74,27.8,60.02,N
20,1.94,94.61,N
51,57.7,163.56,N
113,37.16,71.64,P
0,49.94,78.98,N
0,43.79,54.75,P
51,1.99,126.94,N
31,8.2,58.49,P
329,46.21,142.45,P
1,15.79,-59.64,N
6,16.08,-59.79,P
62,28.55,129.15,P
15,24.12,102.49,P
189,-34.85,178.79,N
68,6.8,126.75,P
82,-25.85,-177.29,N
25,42.48,143.04,N
23,7.03,-104.24,N
18,15.57,-99.48,P
8,12.58,122.09,P
36,-9.84,-75.55,P
83,9.8,125.91,P
24,30.61,103.05,P
7,50.13,-179.59,N
161,52.59,-175.04,N
21,12.15,143.82,N
39,-19.07,168.54,N
44,44.65,148.99,N
16,57.39,-153.97,N
99,-29.6,-69.42,P
8,51.34,173.75,P
3,-22.08,126.65,N
11,0.28,119.37,N
59,-6.26,154.62,P
18,39.21,29.51,N
232,-17.07,168.56,N
82,6.78,126.66,P
75,39.78,141.91,P
40,15.78,121.71,N
23,38.34,22.56,P
25,15.08,122.01,P
243,-18.79,169.29,N
12,52.93,171.45,P
56,14.65,-92.59,P
37,14.61,-93.29,P
196,-4.37,151.81,P
12,50.19,91.24,P
6,-55.92,-28.07,N
406,27.22,140.29,N
85,-11.73,166.38,P
48,-9.15,-78.83,N
54,-9.93,-78.46,N
45,-9.28,-79.05,P
43,-10.22,-78.69,P
48,-9.88,-78.69,P
24,42.48,78.71,P
53,44.72,149.46,P
87,-24.47,-68.46,N
64,-58.86,157.6,N
32,-2.9,139.08,P
10,-51.94,-74.14,P
99,-16,-71.88,P
44,-22.28,-70.55,N
72,-7.9,158.68,P
50,-8.75,124.04,N
587,-21.66,-179.42,P
55,-10.14,-78.6,P
148,18,-64.67,P
44,51.35,-178.51,P
47,32.26,131.78,N
47,32.31,131.83,N
73,-37.73,177.66,P
68,26.02,95.37,N
653,-1.46,-72.56,N
17,1.16,126.2,P
46,-13.92,166.65,P
20,-14.13,166.56,N
45,-60.63,-25.27,P
43,-13.89,166.53,P
92,-9,117.95,P
30,60.7,-145.38,P
33,-56.46,-142.61,P
76,-4.6,153.22,N
643,52.36,151.64,N
39,17.7,147.65,N
50,13,144.5,P
42,-6.5,154.63,P
8,6.37,-77.48,N
6,6.52,-77.4,P
60,-13.52,166.59,N
32,-3.56,86.19,P
7,-31.94,-177.89,N
33,-32,-178.1,P
124,-4.1,143.1,P
0,73.31,54.89,N
37,39.25,140.71,P
45,-4.97,145.45,N
33,-3.43,135.65,N
22,-5.1,145.13,N
80,-6.05,148.55,P
39,43.46,146.94,P
16,-20.94,-69.81,P
119,-4.11,142.88,P
10,-11.02,163.45,N
25,-11.03,163.41,P
29,-23.19,-70.11,P
39,41.79,143.5,P
183,29.79,140.11,N
46,-30.81,-71.16,P
15,-3.97,-80.66,N
0,43.87,54.78,N
46,-1.59,99.95,P
0,43.81,54.82,N
63,-5.23,153.59,N
70,-10.58,161.39,N
41,-3.21,139.69,N
3,-2.95,139.64,P
40,-3.06,139.62,N
34,-3.31,139.76,P
39,-3.01,139.62,P
52,-3.24,139.84,P
18,-3.31,139.91,N
22,-3.37,139.91,P
55,-3.08,139.45,N
33,-3.41,139.55,P
134,-3.63,139.44,P
31,-9.65,151.4,P
45,51.46,-177.71,P
515,51.69,150.97,N
57,-2.89,139.38,P
40,0.53,98.72,N
40,51.47,-176.81,P
12,-63.43,-61.36,N
9,34.4,-118.43,N
166,-23.81,-67.2,N
115,-5.75,145.39,N
21,-10.93,163.8,P
20,8.43,127.23,P
49,-22.96,-176.14,N
29,70.97,-6.86,P
14,41.42,79.2,P
92,4.76,126.52,N
0,60.33,-140.94,P
33,37.3,71.07,P
49,38.41,142.18,P
67,-0.36,124.73,N
150,53.26,-170.53,P
29,2.45,129.13,N
74,-4.42,102.32,N
37,28.3,55.61,N
0,49.77,78.08,P
38,51.41,-177.21,N
46,-6.54,105.37,P
146,-42.28,-71.79,P
29,-39.78,-104.87,N
42,7.99,126.95,P
0,63.92,146.1,P
3,38.85,40.52,P
35,18.02,-69.79,N
19,51.67,176.04,P
76,-25.4,-69.06,N
34,-5.26,153.46,P
54,-6.23,154.45,N
0,-5.18,96.89,P
58,-5.97,144.38,N
92,-7.03,129.7,N
40,-32.51,-71.21,N
36,-32.19,-71.72,P
43,-5.52,153.87,N
48,-4.86,153.32,P
37,-5.78,153.8,P
36,52.13,173.03,P
43,-4.93,153.18,N
41,39.81,77.22,P
74,-5.4,152.07,P
33,-5.53,151.84,P
77,-5.16,152.26,N
48,-5.7,151.96,N
23,-5.81,151.55,N
49,-5.86,151.31,N
88,-2.79,-77.35,N
59,-4.89,153.34,P
25,-5.14,152.87,P
45,41.37,143.44,N
43,-0.85,-22.07,N
60,-5.88,154.31,P
43,-5.74,152.13,P
32,49.29,155.49,N
9,13.3,-92.41,P
33,-55.73,-26.04,P
14,46.54,141.15,N
21,46.76,141.39,N
27,46.28,141.03,P
7,44.34,150.85,N
29,-20.41,-174.17,P
22,-6.46,151.55,N
4,-6.79,151.8,P
30,39.17,143.4,P
107,-5.93,130.68,N
111,-6.54,146.64,N
70,-0.02,124.84,P
0,73.39,54.91,N
27,46.41,141.16,P
148,3.63,125.92,P
30,-0.45,-4.89,N
52,-6.55,154.97,P
111,-5.42,154.28,P
26,11.83,142.52,P
50,-6.49,151.18,P
21,11.86,142.38,N
21,11.86,142.35,N
49,-15.57,167.24,N
45,-5.93,154.05,N
107,-5.57,153.99,P
66,-5.95,153.84,P
53,10.11,92.93,P
533,-23.45,-179.88,N
119,-11.87,166.55,N
135,-11.94,166.57,P
99,52.85,159.22,N
33,-55.19,-128.87,P
99,-29.86,-69.5,P
38,44.77,153.33,N
77,-6.02,154.56,P
39,56.04,163.17,N
0,47.9,48.07,N
116,-4.75,151.84,P
11,-16.85,174.9,P
6,22.5,122.08,P
166,-4.6,151.86,P
29,-30.65,-177.82,P
12,-2.09,138.96,P
36,20.95,120.26,N
56,-55.72,-28.75,N
23,-4.84,145.1,P
37,-4.74,145,P
214,36.4,70.72,P
33,-13.18,166.32,P
12,-3.54,151.29,P
29,22.55,122.37,N
34,23.05,122.14,N
127,-19.38,169.13,N
45,19.36,122.06,P
5,-15.36,-173.3,P
101,-11.43,166.37,N
60,-17.62,-71.27,P
40,-60.59,-25.5,P
50,33.38,140.97,N
52,33.48,141.05,P
12,-18.94,-173.72,P
54,33.45,141,P
181,-28.25,-178.27,N
29,-3.74,131.39,P
37,33.6,141.38,P
72,40.84,141.98,P
52,-6.79,-76.76,N
43,51.27,-179.21,N
135,49.05,153.6,N
33,-45.1,166.68,P
43,56.14,-157.14,N
124,48.04,153.13,P
40,43.33,146.03,P
479,-25.69,179.58,N
33,-49.35,164.09,N
1,-16.05,-173,P
376,-7.47,125.56,N
33,-53.52,159.08,P
21,42.09,84.58,P
11,28.39,52.78,N
0,0.99,-28.3,N
48,24.1,122.44,P
91,53.95,-166.82,P
116,-31.4,-110.99,P
29,23.6,121.55,N
38,13.38,120.34,N
413,-5.13,154.23,N
30,5.22,-100.32,P
46,-15.94,167.53,N
14,35.16,23.56,P
38,-4.21,152.71,P
565,-17.82,-178.79,P
342,-27.74,-178.99,P
36,16.61,122.19,P
208,-17.76,-175.06,N
45,-11.05,116.97,N
39,-30.34,-71.58,P
336,3.86,124.26,N
27,53.25,-166.78,P
66,-7.12,155.87,P
47,36.28,69.69,P
31,50.1,-129.3,P
29,56.77,-135.91,N
19,30.71,141.82,P
92,2.35,127.56,P
47,49.13,155.97,P
10,-11.1,162.17,P
20,-16.66,-172.01,P
45,51.34,-179.29,P
43,-6.29,144.46,P
26,-6.04,152.9,N
22,-6.05,152.63,P
53,-5.15,134.09,N
573,49.47,147.08,P
115,-33.49,-179.4,P
0,73.39,54.65,N
122,-14.99,167.3,P
51,29.41,130.64,N
45,35.94,73.33,N
64,-11.78,166.31,N
154,1.9,128.2,P
49,-19.89,169.08,N
107,-2.52,119.22,P
0,71.42,-10.39,P
48,-15.35,-175.6,P
75,37.96,22.38,P
30,-20.36,168.89,P
20,15.23,-96.26,N
23,-9.93,119.6,P
0,19.55,-70.22,P
33,-6.22,131.15,N
33,-6.56,131.3,P
7,-30.91,-68.21,P
10,-16.47,-172.17,P
632,7.46,123.77,N
119,1.81,127.45,P
35,52.89,-162.98,N
33,-8.79,124.98,N
63,27.48,128.57,N
2,-7.33,146.83,P
0,49.91,78.85,N
37,-20.03,168.91,N
22,23.87,121.61,P
111,38.33,73.17,P
0,-6.72,154.53,P
73,6.41,126.62,N
62,33.34,140.82,N
0,-1.52,136.67,N
0,49.97,78.95,N
16,44.68,149.37,P
83,-7,155.81,P
139,-7.5,127.83,N
159,-4.35,153.45,N
61,-30.51,-71.08,P
147,-39.02,175.23,N
24,-14.66,166.41,N
38,-6.88,150.03,N
90,-12.1,166.52,N
112,-0.14,124,P
48,18.53,-102.93,N
508,28.22,139.3,P
214,-22.53,-66.19,N
5,31.33,100.49,P
35,31.5,100.33,P
42,22.27,121.52,P
53,-19.16,168.69,P
41,-61.1,-38.01,N
62,50.51,156.58,N
24,54.73,161.7,P
25,6.32,127.38,P
56,-3.01,139.08,P
62,50.78,157.19,N
11,2.18,126.65,P
193,-19.41,169.39,P
44,13.41,122.87,P
33,2.09,126.55,P
51,29.3,130.41,P
146,4.7,-75.67,N
39,7,91.33,P
38,-15.81,167.24,P
15,-9.81,119.29,P
46,50.86,157.43,N
20,4.96,-78.12,N
19,-59.38,-26.12,N
9,20.05,-155.16,P
15,-10.01,150.2,N
33,2.25,126.74,P
48,-1.46,99.8,P
0,-6.34,151.18,P
23,-6.26,151.86,P
0,53.97,-163.71,N
1,24.31,93.52,P
33,-54,159.35,P
91,-10.31,161.42,N
0,-6.73,154.81,P
55,-7.27,156.14,P
33,53.61,161.38,P
44,51.27,-179.38,P
0,44.98,-125.87,P
41,43.12,145.74,N
39,42.92,146.39,P
11,42.65,146.08,N
0,-5.88,151.86,N
26,43.28,146.43,N
19,43.14,146.89,P
45,19.11,121.19,P
10,43.01,146.66,P
56,43.28,145.81,P
30,57.86,-137.42,N
56,12.21,125.29,N
0,57.99,-138.04,N
22,35.16,86.4,P
49,36.45,141.05,P
373,-24.83,-179.19,P
0,49.94,78.85,N
203,-14.33,167.29,N
33,-16.22,-173.08,N
44,43.38,146.46,P
109,-4.5,144.1,P
346,-31.38,-179.38,N
33,57.09,-154.12,P
55,-7.22,156.08,P
75,18.25,-96.58,N
77,-0.15,-17.97,P
45,-37.27,179.32,P
43,7.15,84.33,P
552,42.48,131.05,P
0,73.32,54.97,N
64,9.2,126.19,P
128,-7.02,-76.19,P
542,9.23,123.92,P
33,-4.4,-102.1,N
33,-4.37,-102.04,N
33,-54.97,146.25,P
0,70.8,53.42,P
567,41.93,130.99,N
56,35.67,140.64,P
33,-32.98,-71.87,P
33,-61.05,-21.7,N
28,-14.34,167.06,P
32,0.52,-29.47,P
56,19.42,-104.98,N
517,-21.95,-63.65,N
0,70.8,53.92,N
48,-2.96,139.34,P
7,-25.98,-67.72,P
18,51.52,-175.27,P
60,49.99,156.33,P
270,-31.2,-179.47,P
62,49.99,156.31,P
56,38.98,141.93,N
45,53.61,160.49,P
124,-15.18,167.43,N
23,-35.59,-74.54,P
42,43.25,146.75,P
26,-19.9,169.66,P
0,50.03,79.02,P
52,51.38,-177.85,P
42,-9.52,119.39,N
191,-20.61,-176.32,P
517,-23.88,180,N
13,-14.56,166.8,N
43,-15.13,166.91,N
41,-14.92,166.48,P
10,-15.37,166.54,P
83,-22.49,-68.26,N
92,-12.28,-76.3,N
24,-38.84,46.43,P
36,-14.45,166.87,N
27,42.03,143.89,P
51,-5.15,134.15,P
32,-7.39,155.92,P
33,-7,155.78,P
12,-7.28,155.63,N
21,18.93,120.13,P
39,-5.13,133.91,P
46,-7.35,155.82,P
7,53.74,-164.7,P
10,-3.79,134.01,P
391,33.17,136.98,P
46,44.01,147.78,P
37,1.27,97.63,N
34,9.51,-83.95,P
19,-20.02,169.77,N
47,-7.48,156.2,P
57,-7.48,156.01,P
154,48.31,153.16,P
25,-14.91,-172.83,P
504,-23.93,179.88,N
74,12.57,144.24,P
23,57.56,-153.92,P
8,55.15,-160.57,P
6,55.05,-160.51,N
44,-26.28,-175.78,N
386,-31.55,179.79,N
33,-33.49,-177.31,N
10,34.57,138.75,P
33,-4.3,-102.07,P
17,28.19,103.98,P
43,1.87,126.48,N
26,19.73,147.34,N
58,49.98,156.22,N
100,-11.17,-75.01,P
141,-6.55,106.77,P
13,-17.68,167.8,P
7,-17.62,167.53,N
0,49.91,78.91,P
256,-15.89,-175.04,N
397,-31.88,179.94,N
52,-56.03,-27.47,P
0,-2.25,141.1,P
20,-26.02,84.3,N
68,-4.72,152.56,P
33,-29.22,-175.94,N
77,-29.37,-176.13,N
16,45.2,93.86,P
45,36.44,141.17,N
12,7.76,-77.57,N
10,7.74,-77.54,P
50,46.22,153.14,N
46,46.01,152.88,P
210,36.42,70.76,N
7,39.34,73.77,N
26,39.46,73.63,P
19,-38.34,-73.27,P
45,32.18,142.37,P
0,73.41,54.93,N
34,18.27,119.2,P
62,-4.26,143.55,P
60,-9.8,108.49,N
40,55.25,162,P
331,-30.54,-178.03,P
105,-6.2,146.1,P
41,-0.28,12.83,P
5,43.12,146.56,N
9,-12.24,-77.58,N
41,17.37,-61.99,N
34,44.64,150.09,N
596,-17.97,-178.49,P
18,-8.4,154.03,N
33,-15.49,167.1,N
156,-6.93,129.52,N
0,70.81,53.91,N
125,42.53,141.75,P
6,-12.44,-77.46,N
55,-6.44,105.38,N
31,-15.91,-178.47,P
58,2.27,121.06,P
44,35.85,141.1,P
62,-15.12,167.16,N
36,-53.59,-28.26,P
29,-6.06,154.23,N
58,-15.24,167.3,P
429,30.71,138.44,N
32,-6.15,153.05,P
32,-5.04,129.99,N
20,0.51,97.89,P
156,-7.65,-74.46,N
32,-2.3,99.01,P
7,51.66,174.59,P
45,35.05,72.91,P
58,61.92,-149.72,P
74,-2.99,101.68,P
82,-4.93,130.09,N
99,-17.86,-174.57,P
1,32.38,78.5,N
49,31.94,78.53,P
6,35.05,141.37,P
40,7.18,-77.76,N
2,53,173.47,P
10,53.08,173.58,N
16,40.66,122.63,N
9,-7.24,149.58,N
43,51.32,-179.44,N
333,-24.98,-178.88,N
72,-6.07,148.21,P
574,-17.84,-178.53,P
7,-2.39,126.15,N
31,27.47,56.24,P
28,-29.89,-71.4,N
86,-21.75,170.53,N
111,-4.26,-77.01,N
29,22.68,122.84,N
429,-32.36,179.88,P
5,42.04,-112.41,P
131,-4.06,152.75,N
33,-50.84,139.19,P
93,-14.79,-72.66,P
15,71.49,-10.36,N
31,-36.41,-98.82,P
17,16.47,-98.86,P
472,-31.79,-179.51,P
33,35.8,79.86,P
24,37.2,142.09,P
30,-38.03,-72.78,N
37,1.03,126.02,P
1,22.7,122.61,P
34,35.98,-17.56,N
97,0.75,122.61,N
647,-20.61,-179.14,P
59,-4.5,153.53,P
0,44.39,146.87,P
72,43.26,147.39,P
42,36.31,143.3,N
65,43.51,147.65,N
39,-3.1,148,N
53,30.07,142.15,P
549,38.78,130.09,N
112,21.42,94.62,P
20,32.84,142.43,P
81,6.51,126.65,P
88,-10.34,161.2,P
54,-6.64,155.09,N
49,-7.15,155.21,N
58,-6.63,154.66,N
63,-6.84,155.41,N
93,-9.84,123.96,P
46,53.48,-161.39,N
33,-2.51,146.03,N
187,-22.73,-66.62,N
53,-6.9,147.77,P
41,54.92,167.87,P
0,73.34,54.5,N
68,10.04,125.86,P
65,-10.13,121.7,P
32,38.51,40.77,N
66,7.05,-104.18,N
27,-34.74,81.88,P
12,-20.45,-173.96,N
123,-9.49,-74.65,P
