@relation fri_c2_1000_5

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute binaryClass {P,N}

@data
-1.499128,-1.734375,-0.666898,-0.115441,0.520818,N
-1.335165,-0.640585,-0.919326,0.24066,-0.416109,N
-0.955045,-1.641048,-0.922598,-0.96754,-1.514988,P
0.253534,0.389658,-0.937687,-0.201425,-1.67507,P
-1.100626,-1.228273,-1.409266,0.594382,-1.409086,N
-0.984212,-1.612914,-0.007281,-0.782161,-0.293454,P
-1.785193,-1.743592,-0.653518,1.09612,-0.255693,N
1.407715,1.541517,0.833309,0.206164,-1.351615,N
-0.140977,0.623565,0.36569,-0.192919,-1.503253,P
-0.206209,-0.616482,-1.097933,-1.381587,0.545322,N
0.366255,0.45207,0.73818,0.837691,-0.165775,P
-0.841028,-0.961517,-0.961572,-1.521542,1.543198,N
0.317837,0.280851,0.173462,0.775038,-0.498829,P
1.431911,1.418832,1.281314,0.406848,-0.92759,N
-0.022677,0.373402,1.821727,1.786021,0.980024,N
1.420815,1.580629,0.659271,0.293652,1.18122,N
0.484876,1.353938,0.802575,-0.514649,-0.76075,P
-0.035395,0.135648,2.29774,1.679163,-0.255774,N
-1.207606,-1.304346,-1.433764,-1.397303,-0.932346,P
0.651904,0.128141,-0.567312,-0.321375,1.326032,P
-1.22559,-0.884603,0.002915,1.62138,0.309416,N
-0.066663,-0.744118,-0.382932,-1.52843,-1.213922,N
-0.30611,-0.582583,-0.458134,-0.899977,-1.154751,N
-0.810177,-0.20043,0.036915,0.233144,-0.995352,N
0.00313,0.003048,-0.131378,0.722503,-1.409975,N
0.644495,0.208199,0.962007,1.00595,-0.835791,P
0.383287,0.852695,0.696737,0.145263,0.996297,P
1.677334,1.551291,0.220424,-0.441229,1.626482,N
-1.30746,-0.561963,-0.379831,0.082822,-1.58048,N
1.415993,0.860431,1.11546,-0.331996,-0.162433,P
1.195255,1.418473,1.409555,0.675775,-1.197483,P
0.831212,1.142137,0.495619,-0.87389,0.405517,P
0.264802,-0.326991,-0.282558,0.021257,1.538952,N
-0.314563,-0.053284,0.421488,0.749751,0.277016,N
1.408789,0.484983,2.08592,1.67972,-1.593428,P
-0.010632,-0.351842,-0.355957,-0.637584,-0.94445,N
-0.365979,-0.523551,0.081573,1.608277,-0.394816,N
1.872028,1.409794,0.956072,-0.076048,0.616922,N
0.440751,0.407126,0.872308,1.398524,-1.486022,P
-1.691146,-1.509007,-1.081071,0.078077,0.099166,N
1.509271,1.664008,-0.275586,-1.373742,0.45153,N
-1.031436,-1.164786,-1.27445,1.067293,0.541366,N
0.276043,0.804279,-0.618965,-1.298368,-0.256134,P
0.984496,1.349804,-1.228721,-1.708083,-0.649229,P
-0.244545,0.167122,0.683227,1.61148,-1.090594,N
-1.583241,-1.325264,-0.986366,-0.390411,1.590298,N
0.835163,0.137469,-1.300066,-1.099441,-0.912609,P
-0.702389,-1.381316,-0.510492,1.754161,-0.994159,N
-1.94062,-1.489754,-0.490221,1.653508,-1.002704,N
-0.62388,0.57289,-0.148821,-1.494469,0.905725,N
-1.134202,-0.889119,-1.515681,-1.669897,0.214396,N
0.038791,-0.48172,-0.075238,1.357953,-0.473063,N
1.312215,1.47702,0.276615,-0.994227,1.705054,N
-0.395982,-0.937973,-1.337647,-1.64271,0.416809,N
-1.026,-0.924307,-0.75072,0.691626,-0.679583,N
-0.777178,-0.650724,-0.310174,-0.492292,-0.262992,N
-0.302299,0.050964,-0.558002,-0.472326,0.991468,N
-0.425507,0.20519,0.973031,0.649445,1.641275,N
-0.392246,-0.47772,-0.340716,0.080613,-0.332585,N
-0.120632,0.566119,-1.215823,-1.549608,0.68778,P
0.675644,0.188066,-0.41736,-1.536379,-0.350179,P
-1.714064,-1.631812,-1.284134,1.027642,0.299077,N
-0.015165,0.34405,1.092876,0.830318,1.516629,N
0.12655,0.042676,-1.733602,-1.772689,0.333013,N
-1.550274,-1.272,-0.542388,0.057509,0.809976,P
0.113938,0.418231,0.32194,-0.122344,0.650388,P
-1.864855,-1.424922,-1.670867,-0.896924,0.843838,N
1.273465,1.104653,-0.572893,-0.705889,-0.191038,P
-0.365229,0.334001,1.255697,1.79069,-1.464459,N
-0.902797,0.077997,-0.575487,-0.853123,-0.57238,N
-0.548428,-0.620278,-0.325045,0.296989,-1.244777,N
-0.744014,-1.446092,-2.018014,-1.285437,-0.791008,N
1.622426,1.5181,0.94869,0.216161,0.270136,N
-1.425049,-1.045735,-0.581487,-0.816043,-0.049481,P
1.822806,1.511703,1.95788,1.493849,-0.68782,N
1.236282,0.316294,-1.016934,-0.168037,1.390681,P
0.026813,0.657575,0.405147,0.802287,-0.049866,P
-0.540837,-1.155868,-1.037366,-0.837893,-1.520313,N
1.337703,0.858161,0.874799,-0.046263,-0.641198,P
0.115793,0.755964,-1.042325,-1.519516,0.297506,P
0.434329,1.039432,0.473632,-0.410971,-1.308933,P
-0.109202,-0.813827,-0.776642,0.92727,0.544872,N
-0.797991,-1.472982,-0.676016,-0.156197,0.724385,N
-0.421465,-1.470068,-0.512832,1.509244,1.586487,N
-1.931744,-1.686335,-0.622139,-1.682904,1.454187,P
1.525815,1.334484,2.670619,1.080158,0.168655,N
-1.124953,-1.444291,-0.657421,0.501405,0.156285,N
-1.383262,-1.698182,-0.078437,-1.076719,-0.125806,P
0.847846,0.475087,-0.22413,-1.082761,0.316588,P
-1.312036,-1.075706,-0.79842,0.035249,-0.125875,N
1.158174,1.139426,-0.728732,-0.686752,0.856524,P
0.07166,-0.300643,0.02489,-0.332602,0.310613,N
-0.986669,-1.63947,-0.78895,-0.895689,-0.838054,P
-0.267492,-0.629843,-0.552608,-0.647163,1.523411,N
-0.248647,-0.838863,-0.456122,-0.965405,-0.197857,N
0.254042,-0.178064,-0.155129,-0.069394,0.086911,N
-1.0192,-0.442722,0.239226,0.913639,0.525318,N
0.192993,-0.384028,0.190495,1.103385,0.570632,N
0.92855,0.815001,-0.184363,0.020907,-0.357887,P
-0.241957,-0.07283,0.20525,0.848924,0.061341,N
-0.01139,-0.096889,0.022943,0.788242,-0.443984,N
0.171133,-0.560989,-0.077636,0.049604,1.074231,N
0.64403,1.164974,-0.493184,-1.526261,1.00231,P
0.857784,0.801224,-0.133021,0.109627,-0.379498,P
0.670787,0.476697,1.124885,0.704657,-0.996463,P
-0.287746,0.076155,0.395386,0.757708,0.157556,N
1.112798,0.744943,-0.085742,-1.7628,1.011786,P
0.815826,1.12124,2.063381,0.892957,1.253616,P
0.426176,0.065809,0.632608,1.379552,1.61081,N
-0.248403,-0.133439,0.542103,-0.296392,0.719227,N
0.584943,1.064666,1.74554,1.023187,1.270082,P
-0.288002,-0.363001,-0.282805,0.049495,1.310147,N
-0.21473,-0.817001,-0.384709,-0.449496,0.71762,N
0.139537,-0.699589,-0.521832,0.854474,-1.657561,N
0.855961,1.186939,1.615645,1.144336,-0.799846,P
0.307396,-0.266329,-0.474135,-0.757987,-0.095367,N
0.646289,0.952321,-0.184668,-1.272695,0.556461,P
0.413188,0.425311,-0.169969,-0.40351,-1.632827,P
0.313016,-0.435437,0.082798,1.144787,-1.678483,N
-0.014411,-0.019826,0.495024,0.568573,-0.526768,N
1.245148,0.778138,1.321979,0.902945,0.082142,P
1.297095,1.351107,0.507367,-0.946125,-0.646521,P
1.653529,1.483136,0.786778,0.096509,0.690966,N
-1.281958,-1.599493,-1.338111,-1.762471,-1.025515,P
-0.239761,0.205512,1.04542,1.237685,1.50017,N
-0.880364,-0.258422,-1.087933,-0.971387,0.299284,N
0.741761,1.551652,1.116517,-0.053717,0.13283,P
-0.174306,0.328358,-0.158639,-0.450535,0.440191,N
-0.388603,-0.903612,-0.481364,-0.399762,0.5901,N
1.096067,0.784134,0.619112,-0.208657,-1.078152,P
-0.030091,-0.383188,-0.712107,-1.041483,1.164801,N
1.36663,0.67703,0.951534,0.222371,-0.894184,P
1.189639,1.283386,1.174449,0.608538,-0.909007,P
-2.089132,-1.266242,-0.76774,-1.070081,0.302826,P
0.024483,0.164147,0.863461,1.743156,-0.758805,N
-1.910794,-1.205183,-0.642068,-1.668893,-0.473632,P
0.687038,0.232681,0.315975,-0.162272,-1.414341,P
1.691746,1.273516,1.283823,0.000547,0.817575,N
-1.54271,-1.272984,-0.215074,1.118231,0.074691,N
0.26926,0.873121,1.835946,1.598148,-0.42705,P
-1.274785,-1.669912,-0.919336,0.85922,1.491958,N
0.915229,1.011583,1.273114,0.89493,0.388295,P
-0.867445,-1.382388,-0.908332,1.373808,-1.183111,N
0.940126,0.954115,1.988707,0.665052,-0.490348,P
-1.465593,-1.612798,-1.252274,-0.98651,-1.086772,P
0.454744,0.646938,-0.6599,-0.165388,0.693077,P
0.229457,-0.295115,-0.374032,-1.498428,1.216035,N
0.306544,0.616768,0.26149,-0.492945,0.925246,P
1.079906,1.508797,-0.588277,-1.271685,1.02153,P
0.252514,0.722608,1.998984,1.425111,-1.506004,P
-0.710686,-1.548571,-0.963314,0.867344,-0.691273,N
0.684752,0.44534,-0.313466,-1.323376,-0.135427,P
1.579295,1.117023,-0.213361,-0.519699,-0.316399,P
-0.043325,-0.276569,-0.398809,-0.153224,-1.355879,N
-1.310271,-1.390399,-1.156426,1.018351,-0.226309,N
1.041083,0.959482,-0.902766,-1.526421,0.825282,P
-1.243456,-1.165882,0.496842,1.265632,-1.546342,N
0.948751,0.900034,0.243867,-1.266677,0.412829,P
-0.287481,0.15898,0.306227,-0.776014,0.364243,N
1.049745,0.49541,0.686974,0.626978,-0.811596,P
-0.331152,-0.487796,-0.161131,0.343062,-1.553318,N
-1.392393,-1.71309,-0.51576,-1.763818,0.488606,P
0.895017,1.07169,0.847038,0.070868,-1.577135,P
0.41344,0.120694,0.744595,1.74494,-0.67472,P
-1.693406,-1.00434,-0.782934,-1.070409,-0.651283,P
-1.301423,-1.288269,-1.045051,0.219147,-0.189499,N
0.709622,0.513885,0.395818,0.148919,0.887231,P
1.677444,1.485312,0.726605,-0.194501,0.094504,N
0.040972,-0.404147,-0.759173,-0.528202,-0.063425,N
0.207352,-0.36704,-1.000223,-0.2571,1.464385,N
0.736689,0.345804,0.737855,1.444815,-0.709145,P
0.50524,0.871936,1.876629,1.781518,-1.236001,P
1.901038,1.519405,1.34289,0.93659,-0.295722,N
0.503327,0.226844,0.091872,0.144372,1.532519,P
-1.059739,-0.800472,-0.925696,-1.037802,-0.344425,N
-0.546283,-0.61373,0.305105,0.440675,0.715266,N
-1.959313,-1.322121,-0.572476,-0.80075,-0.65271,P
-1.010249,-1.642513,-0.862286,0.199631,0.313531,N
0.664408,0.168021,0.775762,1.286021,-0.765952,P
0.923563,0.516999,1.824836,1.720751,-0.512433,P
-1.588834,-1.636629,-1.529485,-1.743334,-1.021081,P
-0.282616,-0.847736,-0.536546,1.287933,-0.710554,N
-1.281374,-1.490384,-1.35003,0.462484,1.176047,N
-1.466518,-0.731896,0.07333,0.919784,-0.923638,N
-1.778085,-1.534313,-0.822144,-0.835248,-0.562201,P
-0.740696,-1.341923,-0.802124,0.087152,-1.65909,N
1.203006,1.275408,1.396433,-0.228805,1.367731,P
1.390927,1.383678,1.378908,0.618009,1.132056,N
-1.24417,-1.128654,-0.225746,-0.857869,1.185581,N
-1.592909,-1.550459,-0.702516,-0.497857,0.322798,P
-1.291933,-1.76044,-0.682485,0.939149,-1.014685,P
1.120166,0.869637,1.491885,1.413461,1.150164,P
1.375283,1.157387,-0.789967,-0.756714,1.468985,P
0.111917,0.271984,0.544545,0.643304,0.725321,P
0.781442,0.030146,-0.447027,-0.502437,-0.969597,P
-1.332618,-1.359511,-0.327056,1.707259,0.3952,N
1.065443,0.874339,-0.972412,-1.724512,1.300378,P
-0.200178,-0.303665,0.292993,0.676686,0.177085,N
-0.242056,0.484686,-0.106325,0.092693,1.116868,N
-0.289536,-0.4691,-0.735126,-1.05272,-0.268206,N
1.475021,0.878264,1.91098,0.160451,0.964292,P
-0.283167,0.425975,-0.071625,-1.416149,0.780764,P
0.419318,1.063956,-0.896721,-1.438087,-0.034035,P
-0.15709,-0.359461,0.115004,-0.025457,0.25685,N
-0.459911,0.17666,0.34234,0.143505,-1.608824,N
1.044,0.911957,-0.321303,-0.724394,-1.545324,P
-0.395935,0.261364,0.293376,-0.172491,0.833641,N
-2.376113,-1.593866,-1.338366,-0.051024,0.543481,N
-0.643113,-0.608391,-0.964381,-0.357516,-0.872017,N
-0.579155,-0.482192,0.141938,-1.664413,0.831243,N
-0.432844,0.226211,1.226261,1.388388,-0.823198,N
-1.554363,-0.985003,-0.132043,1.70576,0.103596,N
0.078263,-0.351144,-0.185365,0.940221,0.958119,N
-0.483776,-1.334899,-0.532172,0.343421,1.726023,N
1.075106,1.11123,0.646358,-0.271544,0.818072,P
-0.805299,-0.194534,0.253654,0.309048,-1.529776,N
0.498735,0.293124,-0.314672,-0.088111,-0.911222,P
0.8039,1.162322,2.369313,1.240139,1.41047,P
0.261439,0.725359,1.754406,1.381702,-1.609934,P
-1.303045,-0.934371,-1.421594,-1.566438,1.50245,N
1.125255,1.339717,2.477341,1.564267,0.053038,N
1.811061,1.644226,3.145646,1.671881,0.179562,N
-0.036131,-0.387989,0.042002,-0.352424,1.543921,N
0.418402,0.750669,1.418498,0.440681,-1.036793,P
-1.794074,-1.713043,-0.637277,-0.988397,-1.050023,P
-1.445126,-1.317501,-0.881389,-1.625386,0.813607,N
0.587134,0.45125,-0.374752,-1.019418,1.60712,P
1.016003,1.047333,-0.243315,-0.681754,-1.21933,P
-1.288069,-1.603773,-1.387443,-1.132284,0.068145,N
-1.663605,-1.368737,-1.733244,-0.469844,-0.301532,N
-0.405995,-0.789966,-0.490784,-1.213146,-0.662484,N
0.073084,-0.125684,0.085237,0.058638,1.61597,N
0.26444,0.284796,-0.598309,-0.95988,1.41179,P
-0.901049,-1.269509,-0.173672,-0.297496,1.492638,N
0.659767,-0.233793,-0.101114,1.169791,0.954508,N
-0.587208,-0.581804,-0.165048,-0.055933,1.058104,N
1.30446,1.367073,-0.673405,-1.141244,-0.407019,P
0.367109,0.66045,-0.29684,-1.098359,1.379227,P
-0.239615,-0.24963,-0.255278,-0.467337,1.694748,N
-0.28368,-0.803418,-0.270655,0.666544,-0.117056,N
-0.231416,0.46836,-0.517441,-0.874332,-1.585561,P
-0.724031,-0.759887,0.192253,0.627212,1.641473,N
-0.537367,-0.98049,-0.16113,-1.336047,-0.121452,P
-1.530777,-0.831893,-0.564379,-1.137664,1.426124,N
-1.786483,-1.683172,-0.764891,0.19805,0.307031,N
-0.822319,-0.53463,-0.406569,0.457411,0.63134,N
-0.237044,-0.524661,-0.639881,0.415594,-1.003492,N
1.348944,1.407176,1.628558,0.611634,-0.766883,N
1.105091,1.657148,0.399804,-0.153172,0.617646,N
-0.918037,-0.414517,0.58204,1.042444,0.903028,N
0.856798,0.396602,0.45452,-0.557491,1.417941,P
-0.606482,-0.33923,0.150506,-0.425859,-0.315227,N
1.706717,1.507199,0.512551,-0.354903,-1.603457,N
-0.564184,0.136227,1.198131,0.936806,1.170488,N
-1.374649,-0.771574,-0.767505,0.131111,-1.316725,N
-0.276242,-0.2479,-0.693326,-1.364293,1.611864,N
2.143426,1.470053,-0.215746,-0.41165,-1.158491,N
0.521264,0.49118,-0.107617,0.436121,-1.243321,P
1.005575,0.791584,-0.517345,-0.709625,-0.346158,P
1.899254,1.614962,1.43875,0.341146,0.625259,N
1.427665,1.272388,1.110035,0.402325,-1.55799,P
0.737996,0.903323,0.597072,0.920545,0.978049,P
1.839223,1.30576,2.5202,1.560242,1.727819,N
0.511666,0.24338,-1.333128,-1.289991,0.930045,P
-2.038847,-1.48839,-0.966321,-1.27771,-0.58044,P
-0.295726,-0.844067,-1.056556,-0.659545,-1.004309,N
-1.578754,-1.675906,-1.646308,-0.653051,0.30551,N
-1.155415,-0.77972,-1.337538,0.707851,0.705253,N
-0.224116,0.045793,-0.51827,-0.816023,0.148056,N
0.484477,0.065343,0.008344,-0.318258,0.369129,P
1.980401,1.501189,-1.104127,-1.432268,0.16158,N
0.301875,-0.035335,-0.822616,-1.756743,-1.451039,P
1.604597,0.898266,-1.212702,-1.526241,-0.715819,P
0.400437,0.049125,0.870534,1.077754,0.061052,N
1.372126,1.095081,-1.240269,-1.7165,-0.698214,P
1.383851,0.762115,0.735648,0.977791,-1.004027,P
2.217082,1.438803,-0.411768,-0.788841,1.437758,N
1.41188,1.245921,1.037319,0.688615,1.179578,N
0.25827,0.776628,1.018695,0.325384,-0.18675,P
0.60404,1.181218,0.248975,-0.390252,1.169453,P
1.07956,1.522954,1.256862,0.494102,1.582626,N
-0.548486,-0.673522,0.119952,1.004535,1.531648,N
-0.147783,-1.375819,-0.587577,0.877248,1.079591,N
-0.456316,0.120975,1.095171,1.665848,1.023556,N
-0.470032,0.255242,-0.84259,-0.69475,-0.835262,N
0.031416,1.116223,1.902659,1.100662,-0.226352,P
0.756192,0.14891,-0.434494,-0.169637,1.344518,P
1.706663,1.11766,1.168784,0.798163,-0.87406,N
0.395087,0.93077,1.034106,0.704106,0.37719,P
0.701882,0.972181,1.610074,1.124835,-1.592486,P
-0.492157,-1.426009,-1.582623,0.649969,-0.250141,N
-0.238324,0.38752,0.325596,-1.052596,-0.447197,P
1.340111,0.642052,-0.374506,-1.341847,-0.28975,P
-0.638874,-0.423264,-0.353249,-0.534142,-1.158641,N
0.939379,0.972664,-0.508328,-0.745959,-1.268507,P
0.527511,-0.077874,-0.709797,-0.010733,-1.06093,P
0.795655,1.010564,0.476049,0.416427,-0.726615,P
-1.298945,-1.377928,-0.766307,1.400294,-0.535184,N
-1.95141,-1.736841,-2.093987,-0.621079,-0.106798,N
-0.829188,-0.743064,0.430008,1.592126,1.576894,N
-0.691839,-0.514546,-0.58972,0.107569,0.476855,N
-1.280909,-1.479543,-0.532137,1.247569,0.937283,N
0.00748,-0.742138,-1.674703,-1.508716,-1.20551,N
0.086492,0.251291,0.407106,0.520789,0.9133,N
-1.006291,-1.4076,-1.103149,-1.04783,1.537001,N
0.59552,0.762202,0.71607,-0.058557,0.911272,P
1.700809,1.305708,1.968403,1.248831,-0.300288,N
-0.758286,-0.844663,-0.658039,0.647636,-0.10874,N
0.249239,0.758435,0.340315,-0.433106,-0.684125,P
2.087466,1.594807,2.273467,1.037366,-0.798582,N
-2.267503,-1.665231,-1.318385,1.134495,0.781895,N
-0.003243,0.688572,0.531011,-0.300236,0.496915,P
-0.086153,0.393713,0.674405,0.439025,-0.635607,P
-1.07054,-1.302561,-0.669208,1.597709,-0.093924,N
0.175942,-0.246767,-0.279364,-0.359102,-1.529197,N
1.466752,1.265756,-0.010027,-0.920267,-1.023783,P
-1.492769,-0.976281,-0.341166,-0.046837,0.234958,N
-0.303043,-0.037163,1.14954,0.937661,-0.980158,N
-0.232327,-1.086125,-0.842488,1.34611,1.482587,N
-0.110191,0.795286,2.083932,1.668994,1.338485,N
-1.398538,-0.568496,0.05097,0.26015,-0.767213,N
-1.02801,-0.773439,-0.861875,-0.398105,-0.449258,N
0.401889,0.578355,-0.779751,-1.158694,-0.152726,P
1.915283,1.34991,-0.586637,-0.80146,-1.205159,N
0.774807,0.84773,-0.125642,-0.656537,-1.621362,P
-1.908897,-1.328519,-0.797868,-0.026495,0.808012,N
-0.813715,-1.654821,-1.326556,0.145529,-0.485526,N
2.188037,1.474326,3.404069,1.699099,-0.049835,N
-1.609603,-1.400337,-0.246415,-0.760555,-1.261096,P
-0.713949,-1.098452,-0.244799,1.176092,-1.607458,N
-0.019385,-0.219193,1.187961,1.713995,-1.191038,N
0.836038,1.569064,0.023704,-0.693229,-1.292318,P
1.008574,0.459801,1.133924,-0.030305,1.573955,P
-0.979582,-0.550027,0.337042,-0.081545,-1.39863,N
0.538049,-0.396336,-0.815421,-0.288518,0.354955,N
-1.896037,-1.608202,-1.40251,-1.710767,0.891222,P
-0.200445,-0.023701,1.008458,0.19653,0.8701,N
-1.586983,-0.989166,-0.047041,0.658159,-1.128753,P
-0.084042,-0.728238,-1.195402,-0.492698,1.205958,N
1.107694,1.450839,1.691472,0.865196,1.38461,N
1.498085,1.314774,0.4558,0.10976,1.601902,N
0.653814,0.571356,-0.138901,-0.146643,1.191462,P
-0.494811,-0.719954,0.655828,1.427311,0.947851,N
-0.153864,-0.359801,-1.448276,-1.157005,-1.236188,N
-0.964489,-0.703033,-0.44382,0.560165,-0.207299,N
-0.34861,-0.147264,0.228161,0.706279,-1.117672,N
0.693676,0.471558,0.582088,0.888424,-1.494024,P
-0.52836,0.297209,0.157605,-1.109415,-0.000958,N
-0.149411,-0.892749,-0.449426,-0.704953,-1.233454,N
-0.012221,-0.72616,0.417212,1.405267,1.23261,N
1.297439,1.237928,1.670538,1.369838,-0.552899,P
0.107083,-1.018252,-0.988709,-0.87086,1.207637,N
1.039079,0.692284,-0.500824,-0.4717,-1.676653,P
1.08439,1.097966,0.892587,0.075639,1.36201,P
0.703645,1.099539,-0.325016,-1.196477,0.330386,P
0.448353,-0.334339,0.794014,1.607059,-0.97954,N
-0.721734,-1.426485,-1.842839,-1.097972,-0.166625,N
1.923523,1.376941,1.834041,0.841602,-1.52428,N
-1.241095,-1.676776,-0.672482,-1.046474,0.124291,P
0.837567,1.132504,1.454072,0.596644,0.77889,P
1.499992,1.533403,2.024353,0.9804,-1.534848,N
-1.37807,-1.339473,-0.970083,-0.717014,1.195877,N
0.174458,0.293862,0.412884,0.01788,0.908679,P
1.046059,1.318829,1.406952,0.427806,-0.330207,P
-0.33132,0.026032,0.326819,-0.389026,0.601334,N
-1.200082,-0.869777,-1.366823,-0.819923,0.233245,N
-0.654255,-1.473503,-1.075167,-0.781237,0.230187,N
-0.541109,-0.892925,-0.424879,-1.261539,0.019292,N
-1.136225,-0.772869,-0.546144,0.1901,-0.553621,N
-1.695373,-0.896582,-0.562892,-0.983255,-1.25766,P
1.987381,1.632967,-0.429767,-1.383819,0.407935,N
1.144725,1.575774,-0.327921,-1.597058,-0.313136,P
0.953634,1.665381,-0.209472,-0.949558,0.720286,N
-0.22,-0.233803,1.450472,1.528548,0.188851,N
1.275586,1.322771,0.455024,0.171928,-0.219161,P
-0.655302,-1.253593,-1.153277,-0.395103,-1.237259,N
-0.875583,-1.227366,0.167316,1.784021,-1.510516,N
0.302035,0.876757,2.625886,1.731993,-0.028122,P
0.439028,0.903831,-0.051956,-1.04514,1.657514,P
0.090691,0.724477,1.580106,0.954265,-0.601339,P
1.14269,1.575625,-0.765848,-1.361158,0.138032,N
0.971567,0.450069,-0.991724,-1.722623,-0.209733,P
-0.022915,-0.563842,-0.714228,-1.062354,1.434576,N
0.508625,0.351709,1.312516,1.162571,-1.360312,P
0.059687,0.602978,-0.359526,-0.117161,0.919628,P
-1.03595,-0.567111,-0.158416,-0.058558,0.941555,N
0.01699,0.584047,0.755832,0.362696,0.007003,P
0.118543,-0.219703,-0.437607,-0.576315,-1.231466,N
-1.502892,-1.568644,-0.256387,1.010149,-0.065388,N
-0.86078,-0.982784,-0.546373,0.119987,1.463333,N
-0.037434,-0.107825,0.038821,0.410628,1.625576,N
-0.726353,-1.102374,0.155635,-0.216924,0.378632,N
-0.513127,-0.166566,0.118888,1.225021,0.636909,N
-1.032698,-0.729784,0.380404,1.169717,1.199256,N
1.330116,0.923551,1.454157,0.145578,-1.216359,P
-0.969523,-1.235863,-1.495039,-1.521238,1.51639,N
-1.246619,-1.123855,-1.255756,-1.432776,0.040586,N
