@relation arsenic-female-lung

@attribute group {1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43}
@attribute conc numeric
@attribute age numeric
@attribute at.risk numeric
@attribute binaryClass {P,N}

@data
8,45,27.5,830,P
8,45,32.5,553,P
8,45,37.5,520,P
8,45,42.5,650,P
8,45,47.5,710,P
8,45,52.5,662,P
8,45,57.5,456,P
8,45,62.5,320,P
8,45,67.5,232,P
8,45,72.5,213,P
8,45,77.5,129,P
8,45,82.5,113,P
9,50,22.5,1100,P
9,50,27.5,603,P
9,50,32.5,436,P
9,50,37.5,525,P
9,50,42.5,624,P
9,50,47.5,636,P
9,50,52.5,466,P
9,50,57.5,366,P
9,50,62.5,370,P
9,50,67.5,309,P
9,50,72.5,214,P
9,50,77.5,111,P
9,50,82.5,128,P
10,56,22.5,1105,P
10,56,27.5,480,P
10,56,32.5,414,P
10,56,37.5,466,P
10,56,42.5,582,P
10,56,47.5,563,P
10,56,52.5,447,P
10,56,57.5,365,P
10,56,62.5,283,P
10,56,67.5,168,P
10,56,72.5,125,P
10,56,77.5,57,P
10,56,82.5,39,P
11,60,22.5,1893,P
11,60,27.5,1032,P
11,60,32.5,668,P
11,60,37.5,787,P
11,60,42.5,950,P
11,60,47.5,878,P
11,60,52.5,807,P
11,60,57.5,629,P
11,60,62.5,559,P
11,60,67.5,455,P
11,60,72.5,298,P
11,60,77.5,150,P
11,60,82.5,121,P
12,65,22.5,1199,P
12,65,27.5,587,P
12,65,32.5,451,P
12,65,37.5,491,P
12,65,42.5,521,P
12,65,47.5,553,P
12,65,52.5,537,P
12,65,57.5,487,P
12,65,62.5,404,P
12,65,67.5,299,P
12,65,72.5,197,P
12,65,77.5,103,P
12,65,82.5,98,P
13,73,22.5,2394,P
13,73,27.5,1360,P
13,73,32.5,1183,P
13,73,37.5,1209,P
13,73,42.5,1261,P
13,73,47.5,1046,P
13,73,52.5,853,P
13,73,57.5,725,P
13,73,62.5,671,P
13,73,67.5,546,P
13,73,72.5,355,P
13,73,77.5,192,P
13,73,82.5,142,P
14,80,22.5,2149,P
14,80,27.5,1318,P
14,80,32.5,1018,P
14,80,37.5,857,P
14,80,42.5,988,P
14,80,47.5,1018,P
14,80,52.5,879,P
14,80,57.5,709,P
14,80,62.5,483,P
14,80,67.5,417,P
14,80,72.5,220,P
14,80,77.5,137,P
14,80,82.5,139,P
15,100,22.5,1439,P
15,100,27.5,744,P
15,100,32.5,415,P
15,100,37.5,510,P
15,100,42.5,564,P
15,100,47.5,573,P
15,100,52.5,467,P
15,100,57.5,402,P
15,100,62.5,385,P
15,100,67.5,335,P
15,100,72.5,254,P
15,100,77.5,168,P
15,100,82.5,136,P
16,110,22.5,1110,P
16,110,27.5,586,P
16,110,32.5,477,P
16,110,37.5,502,P
16,110,42.5,575,P
16,110,47.5,521,P
16,110,52.5,447,P
16,110,57.5,392,P
16,110,62.5,302,P
16,110,67.5,195,P
16,110,72.5,101,P
16,110,77.5,65,P
16,110,82.5,37,P
17,110,22.5,718,P
17,110,27.5,449,P
17,110,32.5,290,P
17,110,37.5,329,P
17,110,42.5,397,P
17,110,47.5,401,P
17,110,52.5,333,P
17,110,57.5,251,P
17,110,62.5,203,P
17,110,67.5,175,P
17,110,72.5,156,P
17,110,77.5,62,P
17,110,82.5,69,P
18,123,22.5,674,P
18,123,27.5,436,P
18,123,32.5,360,P
18,123,37.5,440,P
18,123,42.5,385,P
18,123,47.5,396,P
18,123,52.5,363,P
18,123,57.5,313,P
18,123,62.5,280,P
18,123,67.5,272,P
18,123,72.5,210,P
18,123,77.5,113,P
18,123,82.5,49,P
19,126,22.5,1196,P
19,126,27.5,501,P
19,126,32.5,443,P
19,126,37.5,510,P
19,126,42.5,609,P
19,126,47.5,610,P
19,126,52.5,544,P
19,126,57.5,453,P
19,126,62.5,408,P
19,126,67.5,295,P
19,126,72.5,226,P
19,126,77.5,142,P
19,126,82.5,89,P
20,256,22.5,1949,P
20,256,27.5,981,P
20,256,32.5,755,P
20,256,37.5,787,P
20,256,42.5,912,P
20,256,47.5,872,P
20,256,52.5,759,P
20,256,57.5,540,P
20,256,62.5,464,P
20,256,67.5,352,P
20,256,72.5,262,P
20,256,77.5,111,P
20,256,82.5,125,P
21,256,22.5,686,P
21,256,27.5,240,P
21,256,32.5,277,P
21,256,37.5,254,P
21,256,42.5,234,P
21,256,47.5,376,P
21,256,52.5,362,P
21,256,57.5,241,P
21,256,62.5,285,P
21,256,67.5,188,P
21,256,72.5,165,P
21,256,77.5,61,P
21,256,82.5,43,P
22,259,22.5,1100,P
22,259,27.5,572,P
22,259,32.5,401,P
22,259,37.5,365,P
22,259,42.5,521,P
22,259,47.5,453,P
22,259,52.5,480,P
22,259,57.5,389,P
22,259,62.5,289,P
22,259,67.5,193,P
22,259,72.5,131,P
22,259,77.5,101,P
22,259,82.5,84,P
23,307,22.5,547,P
23,307,27.5,320,P
23,307,32.5,164,P
23,307,37.5,196,P
23,307,42.5,266,P
23,307,47.5,299,P
23,307,52.5,271,P
23,307,57.5,196,P
23,307,62.5,153,P
23,307,67.5,122,P
23,307,72.5,94,P
23,307,77.5,56,P
23,307,82.5,74,P
24,307,22.5,793,P
24,307,27.5,466,P
24,307,32.5,356,P
24,307,37.5,490,P
24,307,42.5,556,P
24,307,47.5,520,P
24,307,52.5,388,P
24,307,57.5,268,P
24,307,62.5,237,P
24,307,67.5,188,P
24,307,72.5,127,P
24,307,77.5,60,P
24,307,82.5,56,P
25,350,22.5,659,P
25,350,27.5,346,P
25,350,32.5,273,P
25,350,37.5,283,P
25,350,42.5,385,P
25,350,47.5,390,P
25,350,52.5,292,P
25,350,57.5,262,P
25,350,62.5,243,P
25,350,67.5,236,P
25,350,72.5,102,P
25,350,77.5,68,P
25,350,82.5,47,P
26,398,22.5,538,P
26,398,27.5,272,P
26,398,32.5,211,P
26,398,37.5,232,P
26,398,42.5,274,P
26,398,47.5,321,P
26,398,52.5,292,P
26,398,57.5,175,P
26,398,62.5,153,P
26,398,67.5,122,P
26,398,72.5,96,P
26,398,77.5,23,P
26,398,82.5,14,P
27,406,22.5,770,P
27,406,27.5,315,P
27,406,32.5,239,P
27,406,37.5,355,P
27,406,42.5,412,P
27,406,47.5,420,P
27,406,52.5,367,P
27,406,57.5,331,P
27,406,62.5,284,P
27,406,67.5,209,P
27,406,72.5,114,P
27,406,77.5,47,P
27,406,82.5,23,P
28,448,22.5,1043,P
28,448,27.5,457,P
28,448,32.5,241,P
28,448,37.5,331,P
28,448,42.5,404,P
28,448,47.5,423,P
28,448,52.5,387,P
28,448,57.5,312,P
28,448,62.5,252,P
28,448,67.5,202,P
28,448,72.5,130,P
28,448,77.5,49,P
28,448,82.5,28,P
29,467,22.5,1114,P
29,467,27.5,720,P
29,467,32.5,632,P
29,467,37.5,566,P
29,467,42.5,523,P
29,467,47.5,487,P
29,467,52.5,447,P
29,467,57.5,315,P
29,467,62.5,212,P
29,467,67.5,133,P
29,467,72.5,72,P
29,467,77.5,45,P
29,467,82.5,32,P
30,504,22.5,1029,P
30,504,27.5,406,P
30,504,32.5,384,P
30,504,37.5,499,P
30,504,42.5,654,P
30,504,47.5,585,P
30,504,52.5,460,P
30,504,57.5,397,P
30,504,62.5,330,P
30,504,67.5,235,P
30,504,72.5,171,P
30,504,77.5,152,P
30,504,82.5,95,P
31,520,22.5,905,P
31,520,27.5,364,P
31,520,32.5,263,P
31,520,37.5,342,P
31,520,42.5,442,P
31,520,47.5,497,P
31,520,52.5,444,P
31,520,57.5,344,P
31,520,62.5,276,P
31,520,67.5,193,P
31,520,72.5,130,P
31,520,77.5,68,P
31,520,82.5,45,P
32,520,22.5,841,P
32,520,27.5,541,P
32,520,32.5,401,P
32,520,37.5,321,P
32,520,42.5,440,P
32,520,47.5,420,P
32,520,52.5,391,P
32,520,57.5,315,P
32,520,62.5,293,P
32,520,67.5,174,N
32,520,72.5,134,P
32,520,77.5,78,P
32,520,82.5,83,P
33,529,22.5,1971,P
33,529,27.5,842,P
33,529,32.5,693,P
33,529,37.5,840,P
33,529,42.5,899,P
33,529,47.5,934,P
33,529,52.5,705,P
33,529,57.5,535,P
33,529,62.5,448,P
33,529,67.5,361,P
33,529,72.5,261,N
33,529,77.5,138,P
33,529,82.5,62,P
34,538,22.5,851,P
34,538,27.5,383,P
34,538,32.5,318,P
34,538,37.5,330,P
34,538,42.5,306,P
34,538,47.5,328,P
34,538,52.5,328,P
34,538,57.5,297,P
34,538,62.5,230,P
34,538,67.5,121,P
34,538,72.5,87,P
34,538,77.5,52,P
34,538,82.5,36,P
35,544,22.5,719,P
35,544,27.5,338,P
35,544,32.5,194,P
35,544,37.5,228,P
35,544,42.5,328,P
35,544,47.5,340,P
35,544,52.5,304,P
35,544,57.5,260,P
35,544,62.5,209,P
35,544,67.5,146,P
35,544,72.5,136,P
35,544,77.5,104,P
35,544,82.5,107,P
36,599,22.5,1351,P
36,599,27.5,930,P
36,599,32.5,776,P
36,599,37.5,746,P
36,599,42.5,885,P
36,599,47.5,701,P
36,599,52.5,632,N
36,599,57.5,609,P
36,599,62.5,412,P
36,599,67.5,383,P
36,599,72.5,253,P
36,599,77.5,214,P
36,599,82.5,85,P
37,650,22.5,408,P
37,650,27.5,215,P
37,650,32.5,133,P
37,650,37.5,157,P
37,650,42.5,220,P
37,650,47.5,261,P
37,650,52.5,222,P
37,650,57.5,156,P
37,650,62.5,104,P
37,650,67.5,82,P
37,650,72.5,74,P
37,650,77.5,51,P
37,650,82.5,25,P
38,683,22.5,674,P
38,683,27.5,276,P
38,683,32.5,199,P
38,683,37.5,278,P
38,683,42.5,335,P
38,683,47.5,351,P
38,683,52.5,301,P
38,683,57.5,214,P
38,683,62.5,162,P
38,683,67.5,102,P
38,683,72.5,45,P
38,683,77.5,19,P
38,683,82.5,27,P
39,693,22.5,2378,P
39,693,27.5,1562,P
39,693,32.5,1415,P
39,693,37.5,1063,P
39,693,42.5,1059,P
39,693,47.5,1118,P
39,693,52.5,893,P
39,693,57.5,687,P
39,693,62.5,455,P
39,693,67.5,352,P
39,693,72.5,177,P
39,693,77.5,45,P
39,693,82.5,59,P
40,694,22.5,1197,P
40,694,27.5,531,P
40,694,32.5,467,P
40,694,37.5,620,P
40,694,42.5,720,P
40,694,47.5,654,P
40,694,52.5,509,P
40,694,57.5,386,P
40,694,62.5,293,P
40,694,67.5,177,P
40,694,72.5,89,P
40,694,77.5,60,P
40,694,82.5,17,P
41,698,22.5,798,P
41,698,27.5,385,P
41,698,32.5,279,P
41,698,37.5,351,P
41,698,42.5,434,P
41,698,47.5,398,P
41,698,52.5,355,P
41,698,57.5,272,P
41,698,62.5,175,P
41,698,67.5,84,P
41,698,72.5,26,P
41,698,77.5,9,P
41,698,82.5,10,P
42,717,22.5,1126,P
42,717,27.5,590,P
42,717,32.5,379,P
42,717,37.5,384,P
42,717,42.5,488,P
42,717,47.5,517,P
42,717,52.5,434,P
42,717,57.5,312,P
42,717,62.5,210,P
42,717,67.5,168,P
42,717,72.5,131,P
42,717,77.5,98,P
42,717,82.5,40,P
43,934,22.5,1861,P
43,934,27.5,987,P
43,934,32.5,928,P
43,934,37.5,759,P
43,934,42.5,758,P
43,934,47.5,815,P
43,934,52.5,798,P
43,934,57.5,544,N
43,934,62.5,401,N
43,934,67.5,236,P
43,934,72.5,126,P
43,934,77.5,70,P
43,934,82.5,59,P
