@relation house_8L.arff

@attribute P3 numeric
@attribute P6p4 numeric
@attribute P11p3 numeric
@attribute P16p2 numeric
@attribute P19p2 numeric
@attribute H5p2 numeric
@attribute H15p1 numeric
@attribute H40p4 numeric
@attribute binaryClass {P,N}

@data
231,0.003236,0.482201,0.78355,0.164502,0.153846,6.075269,0.25,P
1957,0.008953,0.436437,0.588145,0.002044,0.19,5.284468,0.31579,N
109,0,0.491803,0.660551,0,0.1875,5.538462,0.333333,P
1578,0.010339,0.562598,0.771229,0.004436,0.506494,5.89019,0.435897,N
64,0.007874,0.535433,0.59375,0,0.272727,5.545455,1,P
1995,0.01835,0.309817,0.521805,0.009023,0.112676,6.511905,0.5,P
152,0,0.460591,0.75,0.026316,0.333333,6.039683,0,P
812,0.003682,0.463875,0.775862,0,0.081633,5.523278,0.666667,P
632,0.007799,0.315491,0.761076,0.212025,0.12766,6.330275,0.666667,N
78,0,0.433155,0.641026,0,0.307692,6.048387,0.75,P
1259,0.01656,0.431039,0.70691,0.007943,0.226415,7.537998,0.333333,N
82381,0.113588,0.526313,0.650223,0.262269,0.129346,5.85873,0.395737,N
103,0,0.437209,0.495146,0,0.074074,4.816092,1,P
88,0,0.510373,0.795455,0,0.142857,5.935065,1,P
3845,0.003142,0.459421,0.644733,0.036411,0.150685,6.350226,0.690909,P
119,0.003597,0.471223,0.689076,0,0.107143,5.808081,1,P
1028,0.001152,0.442994,0.722763,0,0.216216,6.401786,0.625,P
317,0,0.482024,0.712934,0,0.102041,5.789474,1,P
2801,0.00749,0.51498,0.795073,0.00357,0.548611,5.481261,0.151899,N
1024,0.00047,0.372153,0.881836,0.985352,0.360656,5.832952,0.5,P
841,0.005386,0.532316,0.731272,0.002378,0.5,5.129129,0.688525,P
455,0.014885,0.527064,0.78022,0.527473,0.428571,6.898438,0,N
10667,0.024206,0.610344,0.596606,0.03253,0.145885,6.155028,0.435897,N
941,0.006336,0.478089,0.814028,0.004251,0.19697,6.286079,0.461539,N
600,0.002833,0.544476,0.871667,0.003333,0.117647,6.214022,0,N
1675,0.124376,0.51402,0.877612,0.136716,0.310345,5.694077,0.814815,P
39,0,0.494118,0.641026,0,0,5.823529,0,P
666,0.002959,0.484615,0.663664,0,0.116667,7.102757,0.571429,P
45,0,0.348148,0.777778,0,0.047619,6.153846,1,P
673,0.002823,0.477132,0.751857,0,0.203125,5.659138,0.769231,P
393,0,0.513944,0.745547,0.150127,0.057692,5.715517,0.5,N
582,0.000696,0.487465,0.664949,0.006873,0.139535,6.790191,0.666667,N
537,0.003788,0.486111,0.815643,0,0.416667,6.067245,0,P
166,0,0.541177,0.789157,0,0.5,6.482014,0,P
11788,0.006311,0.571078,0.688666,0.074398,0.273282,6.826681,0.324022,N
1346,0.014522,0.523212,0.89896,0.110698,0.074074,7.654269,0,N
38,0,0.38835,0.657895,0,0.428571,5.794118,0.666667,P
159,0,0.446078,0.716981,0.006289,0.666667,5.453846,1,P
545,0.001596,0.502793,0.689908,0,0.125,6.004587,0.666667,P
740,0.004206,0.48633,0.704054,0,0.114286,6.712474,0.375,N
11,0,0.56,0.454546,0,0.2,6.444444,1,P
356,0,0.4682,0.581461,0,0.093333,5.802372,0.428571,P
135,0,0.485796,0.755556,0.007407,0.2,5.697917,0.5,P
579,0.000719,0.472662,0.683938,0.010363,0.196721,5.196388,0.75,P
1682,0.003031,0.475169,0.702735,0,0.291667,6.267182,0.476191,P
435,0.000861,0.479759,0.772414,0.002299,0.115385,6.190341,1,P
705,0.002451,0.41973,0.61844,0,0.152542,6.12,0.666667,P
468,0,0.53677,0.803419,0.002137,0.285714,6.314286,0.25,P
741,0.0069,0.460112,0.77058,0.017544,0.272727,5.115453,0.428571,N
78453,0.023822,0.505536,0.624068,0.064191,0.163358,5.968804,0.450633,P
18,0.014085,0.323944,0.833333,0,0.333333,4.375,1,N
8528,0.029202,0.54194,0.711304,0.121365,0.140411,6.349681,0.390244,N
200,0,0.470492,0.76,0,0,6.783951,0,P
989,0,0.449275,0.677452,0,0.082569,5.763231,0.851852,P
432,0.00211,0.483122,0.648148,0,0.027491,5.961326,0.9375,N
65,0,0.410256,0.876923,0,0.083333,4.571429,1,P
3249,0.012855,0.442934,0.795937,0.007079,0.148148,4.629464,0.416667,N
10482,0.018843,0.503805,0.730872,0.060103,0.104558,5.874869,0.48718,P
242,0.001368,0.495212,0.85124,0,0.375,5.807292,0.444444,N
895,0.011769,0.500184,0.760894,0.334078,0.055794,5.27207,0.846154,P
820,0.002862,0.514309,0.839024,0,0.142857,6.128698,0,P
1502,0.012801,0.546678,0.826898,0.044607,0.412371,5.844502,0.525,N
325,0,0.486487,0.738462,0.003077,0.212121,5.6,1,P
602,0,0.500999,0.696013,0.001661,0.184211,4.895833,0.642857,P
15,0,0.651163,0.933333,0,0,6.923077,0,P
557,0,0.460399,0.741472,0,0.119048,5.587112,0.6,P
2040,0.012362,0.311678,0.667647,0.00098,0.206294,5.439148,0.576271,N
132,0,0.455526,0.651515,0,0,4.875,0,P
440,0.003378,0.418919,0.675,0.104546,0.289474,5.294326,0.5,P
91,0,0.514286,0.604396,0,0.076923,6.22,0,P
2623,0.00765,0.504293,0.670606,0.303088,0.145985,5.948589,0.7,P
341,0.000963,0.445087,0.744868,0.002933,0.076923,6.047244,0.25,P
5764,0.006281,0.575332,0.752602,0.164122,0.298578,6.333421,0.587302,N
23,0,0.45098,0.521739,0,0,6.866667,0,P
693,0.003846,0.525,0.815296,0.002886,0.444444,7.005282,0.5,N
275,0.007205,0.440922,0.658182,0,0.25,7.38172,0.2,P
54,0.006944,0.513889,0.722222,0,0,5.384615,0,P
612,0.004967,0.532009,0.833333,0.019608,0.031818,5.733584,0.142857,N
46,0.007407,0.540741,0.782609,0.021739,0,5.823529,0,P
1676,0.001223,0.473942,0.647375,0.00358,0.094891,5.941011,0.384615,P
196,0,0.435268,0.632653,0,0.166667,6.150327,1,P
233,0,0.444056,0.67382,0,0.04,6.664865,1,P
128,0.023729,0.555932,0.679688,0,0.04,5.094737,1,P
84,0,0.622857,0.666667,0,0.050704,5.833333,0.111111,N
489,0.005372,0.502238,0.593047,0.087935,0.447368,7.391489,0.352941,N
263,0,0.473684,0.718631,0.372624,0.131579,5.178011,0.8,P
3109,0.094638,0.579657,0.78707,0.168865,0.525773,6.271765,0.137255,N
166,0,0.528205,0.710843,0.108434,0.333333,5.8125,1,P
77,0,0.304196,0.831169,0.909091,0,5.384615,0,P
239,0.005263,0.447368,0.807531,0,0.222222,6.56338,0.5,N
1311,0.026238,0.584021,0.805492,0.000763,0.441177,7.291118,0.266667,N
109,0,0.434263,0.59633,0,0.214286,5.903226,0.666667,P
7028,0.002714,0.496382,0.731929,0.173449,0.166392,6.17235,0.415842,P
133,0.01194,0.367164,0.691729,0,0.02381,5.388889,0,P
635,0.002766,0.407331,0.620472,0.00315,0.142857,5.465,0.9,P
2641,0.003594,0.432802,0.684211,0.222643,0.142395,5.629135,0.568182,P
662,0,0.447912,0.805136,0.098187,0.04,5.094092,0,P
38,0,0.471264,0.657895,0,0.142857,6.470588,1,P
1254,0.004094,0.500819,0.830941,0.045455,0.132076,5.418199,0.5,P
91,0,0.43379,0.637363,0,0.25,5.810127,1,P
95,0,0.526316,0.821053,0,0.4,5.430233,0,P
165,0,0.505353,0.70303,0,0,5.581633,0,P
757,0.00615,0.547356,0.643329,0.001321,0.063025,5.988156,0.133333,N
218,0,0.41452,0.545872,0.004587,0.034483,5.037313,0,P
3091,0.056896,0.588426,0.87318,0.006794,0.646465,7.151412,0.078125,N
54,0,0.455172,0.851852,0.259259,0.176471,5.679245,0.333333,P
66,0.005747,0.448276,0.742424,0,0.142857,5.039216,1,P
284,0.015513,0.594272,0.848592,0.288732,0.5,7.373984,0,N
288,0.007133,0.462197,0.611111,0.159722,0.096774,5.857955,0.333333,P
838,0.000404,0.405985,0.707637,0.707637,0.046875,5.637765,0.666667,P
1543,0.001048,0.387259,0.711601,0.241089,0.170213,5.993197,0.3125,P
188,0,0.496718,0.68617,0.005319,0.090909,5.560811,0.5,P
1173,0.006745,0.518381,0.667519,0.007673,0.138889,5.189356,0.4,P
312,0,0.443299,0.727564,0,0.25,6.193676,0.833333,P
19,0,0.5,0.526316,0,0,4.9375,0,P
18516,0.003836,0.512169,0.765176,0.422878,0.158528,6.396763,0.582279,P
68,0,0.478261,0.764706,0,0.029412,5.269841,1,P
713,0.001698,0.460102,0.677419,0,0.098039,5.981855,0.6,P
345,0,0.551829,0.791304,0.008696,0.088889,5.559859,0.25,P
201,0.002033,0.469512,0.686567,0.129353,0.043478,5.252101,1,P
596,0.007483,0.438268,0.706376,0.005034,0.056818,5.86014,0.2,N
2542,0.011583,0.475255,0.825334,0.002754,0.2,5.394953,0.666667,N
1429,0.014338,0.5474,0.884535,0.008398,0.585106,6.570612,0.327273,N
629,0.005364,0.570918,0.793323,0.007949,0.238095,6.48816,0.2,N
130,0,0.457913,0.623077,0.038462,0,5.505376,0,P
599,0.014396,0.162075,0.459099,0.045075,0.032432,6.517928,0.166667,N
127,0,0.484429,0.645669,0,0.111111,5.65,1,P
403,0.00638,0.5,0.846154,0,0.2,5.735849,0.6,P
153,0,0.508558,0.777778,0.248366,0.1,5.804511,1,P
2570,0.00256,0.516459,0.705448,0.008171,0.061527,5.607463,0.206751,N
122,0,0.455414,0.795082,0,0.1,6.021505,0,P
48,0,0.455446,0.520833,0,0.028571,4.393939,0,P
360,0.002132,0.457356,0.736111,0,0,6.614286,0,P
18,0,0.485714,0.555556,0,0,5.9375,0,P
45,0,0.466667,0.711111,0,0,6.457143,0,P
466,0.004491,0.568114,0.854077,0.006438,0.086957,7.28401,0.25,N
970,0.007645,0.453746,0.680412,0.287629,0.114504,6.659933,0.666667,N
40,0,0.66,0.8,0,0,7.846154,0,N
394,0.004115,0.550617,0.829949,0.002538,0.15,6.351499,0.5,N
800,0.002793,0.484038,0.80625,0,0.433333,6.612853,0.230769,N
87,0,0.45641,0.712644,0.114943,0,5.651515,0,P
944,0.0044,0.4544,0.701271,0.001059,0.171429,5.843058,0.666667,P
4220,0.002804,0.481918,0.660427,0.033649,0.25,6.641752,0.637931,P
455,0.000843,0.549284,0.767033,0,0.038462,5.934169,0.5,P
211,0,0.45302,0.725119,0,0.115385,5.568862,0.666667,P
1190,0.007733,0.512013,0.785714,0.007563,0.171429,6.519598,0.5,N
495,0.003313,0.429045,0.818182,0.012121,0.1,4.748344,1,P
972,0,0.448915,0.783951,0.520576,0.021127,5.559949,0.666667,P
17,0,0.476191,0.764706,0,0.166667,5.941177,1,P
1406,0.005643,0.444308,0.720484,0.368421,0.141177,6.211539,0.416667,P
25,0,0.484375,0.72,0,0.125,6.227273,1,P
82,0.017937,0.479821,0.817073,0,0.125,5.714286,0,P
1225,0.000335,0.503686,0.711837,0,0.054945,5.989701,0.8,P
206,0.002092,0.548117,0.68932,0,0.023529,5.503226,0,P
71,0,0.427711,0.591549,0.957747,0,5.068966,0,P
438,0,0.468801,0.714612,0.027397,0.111111,5.316151,0.6,P
1330,0.001611,0.480935,0.759399,0.000752,0.202532,5.790625,0.3125,P
1477,0.001377,0.504681,0.666215,0.001354,0.141243,6.293998,0.6,P
3802,0.002949,0.456189,0.728038,0.116781,0.320242,5.709677,0.754717,P
1132,0.002842,0.432682,0.666078,0,0.269231,6.211316,0.714286,P
105437,0.005557,0.490691,0.637196,0.564697,0.138975,6.203081,0.516735,P
114,0,0.533333,0.736842,0,0,6.022989,0,P
531,0.008493,0.476999,0.719397,0,0.16129,6.564033,0.4,P
3772,0.060637,0.568733,0.703075,0.006363,0.15,7.55833,0,N
1728,0.007422,0.506523,0.664352,0.002894,0.157303,6.605076,0.285714,N
4408,0.002214,0.457729,0.736162,0.036978,0.155529,5.422733,0.507813,P
175,0.002331,0.501166,0.708571,0,0,6.205882,0,P
2524,0.005278,0.588445,0.851823,0.025753,0.576687,6.751854,0.308511,N
108,0,0.476395,0.611111,0,0.25,5.48913,0.571429,P
163,0,0.50905,0.730061,0.01227,0.125,6.429752,0,N
1253,0.004069,0.394992,0.649641,0.042299,0.094937,5.43674,0.6,P
1985,0.002271,0.471924,0.680605,0.071033,0.178295,5.976613,0.26087,P
174,0,0.483796,0.637931,0,0,6.384615,0,P
1977,0.007897,0.471883,0.505817,0.396055,0.073791,5.966143,0.931035,P
1277,0.001402,0.47603,0.732185,0.001566,0.266667,5.88989,0.5,P
8919,0.007486,0.509381,0.702209,0.001794,0.151235,5.730108,0.346939,N
24,0,0.516129,0.708333,0,0,6.130435,0,P
166,0.004651,0.476744,0.753012,0,0.243243,5.648855,0.777778,P
1056,0.002318,0.427743,0.658144,0.000947,0.205128,5.593037,0.5625,P
2007,0.002966,0.457386,0.685102,0.152965,0.140244,5.58542,0.652174,P
394,0.00198,0.491089,0.753807,0,0.136364,6.150579,0,P
796,0.002494,0.492269,0.679648,0.383166,0.116883,5.806,0.777778,P
2501,0.020902,0.557618,0.764494,0.023591,0.227979,6.892606,0.431818,N
184,0,0.48227,0.744565,0,0.035714,5.775194,1,P
758,0.00654,0.470845,0.651715,0.021108,0.239669,6.147425,0.896552,P
385,0,0.494813,0.711688,0,0.285714,6.106164,1,P
246,0.002882,0.394813,0.707317,0.252033,0.095238,6.024242,0.5,P
536,0.005448,0.505448,0.850746,0.044776,0.190476,5.693512,0.083333,P
82,0.004184,0.451883,0.768293,0.012195,0,5.019608,0,P
77,0,0.46789,0.727273,0.324675,0,5.292308,0,P
3502,0.002303,0.458215,0.6996,0.127356,0.086268,5.00592,0.469388,P
416,0.001013,0.497467,0.699519,0.040865,0.428571,5.404558,0.666667,P
41,0,0.380952,0.682927,0,0,6.655172,0,P
221,0.003175,0.490476,0.778281,0,0.153846,6.337143,0,P
2101,0.003306,0.556576,0.751547,0.011899,0.151899,6.228537,0.333333,N
200,0,0.471591,0.77,0.005,0.095238,6.304094,0,P
301,0.004552,0.430956,0.651163,0,0.088496,5.791667,0.8,P
1171,0.015108,0.552737,0.893254,0.005978,0.575,7.144654,0.347826,N
3431,0.002676,0.542924,0.75838,0.000874,0.387097,5.402818,0.533333,N
166,0.004246,0.469214,0.753012,0,0,6.825175,0,N
4964,0.127537,0.543072,0.68332,0.171233,0.113879,6.308794,0.25,N
392,0.000952,0.537143,0.806122,0,0.173913,5.721557,1,P
1540,0.001569,0.511373,0.697403,0.000649,0.114286,6.257143,0.5,P
897,0.724346,0.445243,0.820513,0.018952,0.056452,5.14447,0.714286,N
44,0.017544,0.394737,0.659091,0,0,6.512821,0,P
33110,0.009808,0.541889,0.668801,0.032286,0.17094,5.664209,0.225,N
1388,0.004884,0.584028,0.757925,0.03098,0.3125,6.240074,0,N
41,0,0.54717,0.634146,0,0,5.7,0,P
616,0,0.443619,0.681818,0.368507,0.177419,5.793033,0.818182,P
63,0,0.462963,0.650794,0,0,5.679245,0,P
51,0,0.491667,0.588235,0,0,5.384615,0,P
1584,0.000826,0.448162,0.727273,0.965909,0.004608,7.085106,0,N
62,0,0.443114,0.693548,0,0.2,6.313726,0,P
1650,0.001151,0.488608,0.708485,0,0.130435,6.482434,0.111111,N
282,0,0.440354,0.670213,0,0.086957,5.7,0.75,P
19777,0.004122,0.488017,0.730394,0.081863,0.15358,5.876586,0.530547,P
1682,0.002121,0.508131,0.724733,0.002378,0.102644,5.660765,0.69697,N
124,0.002924,0.48538,0.766129,0,0.304348,5.046729,0.857143,P
30,0,0.527027,0.666667,0,0,5.045455,0,P
678,0.002602,0.616545,0.675516,0.004425,0.049881,6.162393,0.047619,N
7238,0.00859,0.478344,0.592291,0.061896,0.189474,6.381808,0.277778,P
602,0.00063,0.534342,0.754153,0,0.122222,5.147239,0.454546,P
1400,0.004677,0.48033,0.726429,0.186429,0.157895,6.00527,0.4,P
955,0.001221,0.512821,0.698429,0.002094,0.266667,6.0837,0.125,N
3006,0.000588,0.446248,0.732868,0.303061,0.116531,5.470651,0.604651,P
1063,0.001139,0.489184,0.702728,0,0.171429,5.146703,0.583333,P
4948,0.108427,0.604018,0.671585,0.131164,0.139423,7.172267,0.37931,N
381,0,0.430449,0.645669,0,0.185185,5.50365,0.2,P
61907,0.01837,0.545393,0.65558,0.044195,0.119085,6.391628,0.505747,N
1049,0.001356,0.376864,0.768351,0.010486,0.179688,5.505331,0.173913,P
27,0,0.491803,0.851852,0,0,6.115385,0,P
666,0.00303,0.509697,0.785285,0.016517,0.132911,5.683775,0.904762,N
1323,0.000308,0.483831,0.672714,0.001512,0.212,6.094533,0.641509,P
2371,0.000621,0.534606,0.79671,0.054407,0.20904,5.657541,0.567568,P
50,0,0.4375,0.6,0,0,4.953488,0,P
367,0,0.466332,0.741144,0.002725,0.391304,5.694657,0.666667,P
260,0,0.483568,0.696154,0,0.15,5.297143,0.833333,N
318,0,0.460727,0.738994,0.006289,0.096774,6.165957,1,P
482,0.003931,0.444182,0.70332,0,0.065217,5.76431,0.333333,P
8248,0.013064,0.492677,0.727328,0.356571,0.266949,5.988891,0.407407,P
257,0,0.489899,0.700389,0,0.185185,5.497674,0.8,P
728,0.003219,0.46191,0.681319,0.020604,0.192983,5.808314,0.545455,P
59,0,0.473988,0.813559,0.033898,0,5.666667,0,P
104,0,0.462329,0.740385,0.442308,0,6.234375,0,P
684,0.002168,0.42981,0.611111,0.001462,0.130435,6.466667,0.5,P
1390,0.002121,0.492577,0.691367,0.004317,0.321429,6.556017,0.166667,N
146,0.011111,0.430556,0.719178,0,0.142857,5.597938,0.5,P
26626,0.013167,0.43484,0.717194,0.569443,0.153759,5.695848,0.698148,P
21390,0.006846,0.45317,0.614212,0.166152,0.082614,5.080197,0.339251,N
7718,0.010621,0.48131,0.68554,0.027209,0.270463,6.49647,0.611842,P
323,0,0.461009,0.749226,0,0.222222,6.9,0,P
801,0.00092,0.520018,0.802747,0,0.428571,6.150943,0.444444,P
728,0.007709,0.44163,0.67033,0.001374,0.169811,6.110899,0.777778,P
12,0,0.526316,0.5,0,0,5.75,0,P
6477,0.005024,0.476045,0.672997,0.000309,0.146444,6.14317,0.428571,P
167,0.004608,0.497696,0.742515,0,0.027778,5.103704,1,P
3169,0.0164,0.555261,0.845062,0.034711,0.369863,7.669517,0.259259,N
9959,0.093828,0.610183,0.781002,0.033538,0.333333,7.809459,0.16,N
951,0.002093,0.44077,0.666667,0.018927,0.319149,5.613876,0.6,P
726,0,0.507517,0.804408,0,0.25,5.766779,0.631579,P
34685,0.01089,0.51435,0.725414,0.006343,0.109513,6.273391,0.323232,N
1318,0.006152,0.594279,0.666161,0.004552,0.052239,5.950935,0.571429,N
1825,0.134137,0.515794,0.973699,0.145206,0,4.428571,0,N
123,0,0.376923,0.593496,0.260163,0,5.212121,0,P
2178,0.007393,0.43834,0.780992,0.000918,0.225807,6.534129,0.428571,N
200,0,0.405455,0.76,0.12,0.1875,5.298246,0.833333,P
6066,0.022915,0.483128,0.727662,0.041708,0.221858,5.339691,0.26601,N
3976,0.05821,0.562191,0.642103,0.010815,0.190476,6.580488,0.208333,N
96,0,0.395735,0.864583,0,0,3.055556,0,P
112,0,0.52069,0.75,0,0.151515,6.318681,0.6,P
287,0,0.457627,0.675958,0.003484,0.0625,5.653266,1,P
224,0,0.496491,0.75,0.09375,0.111111,5.855263,0.333333,P
944,0,0.406877,0.582627,0,0.150443,5.74375,0.823529,P
183,0,0.476793,0.781421,0,0.307692,6.278481,0.5,P
3989,0.004032,0.451174,0.726749,0.226122,0.153659,5.427739,0.476191,P
151,0.002632,0.560526,0.682119,0,0.142857,5.280702,1,P
