@relation fri_c2_1000_25

@attribute oz1 numeric
@attribute oz2 numeric
@attribute oz3 numeric
@attribute oz4 numeric
@attribute oz5 numeric
@attribute oz6 numeric
@attribute oz7 numeric
@attribute oz8 numeric
@attribute oz9 numeric
@attribute oz10 numeric
@attribute oz11 numeric
@attribute oz12 numeric
@attribute oz13 numeric
@attribute oz14 numeric
@attribute oz15 numeric
@attribute oz16 numeric
@attribute oz17 numeric
@attribute oz18 numeric
@attribute oz19 numeric
@attribute oz20 numeric
@attribute oz21 numeric
@attribute oz22 numeric
@attribute oz23 numeric
@attribute oz24 numeric
@attribute oz25 numeric
@attribute binaryClass {P,N}

@data
1.229055,1.441992,2.433755,1.18323,-0.615727,-1.367955,0.651461,-0.030304,-0.843368,0.11948,1.42309,-1.633454,0.785453,1.711467,1.205571,-1.338735,-0.987494,-0.82207,-0.624147,1.306306,1.104741,0.595567,-1.626286,1.504123,-0.437566,N
1.034347,0.653354,1.04092,0.601447,-0.668608,-1.465042,1.188079,1.703714,-0.712325,-0.16692,-1.102775,0.106197,-0.406918,-0.708339,-0.086934,-0.804656,-0.414053,1.041917,1.342201,0.151889,0.551635,-1.563182,-0.712336,0.577826,-0.427536,P
0.371113,0.774136,1.578266,0.815056,1.027472,0.440269,-1.294644,1.626307,1.596031,1.250902,-0.269478,-1.396802,-0.737339,-0.765147,-0.946745,-0.272689,-1.430461,-1.708425,-0.531087,0.470949,-1.562013,-0.297799,-1.722776,0.528346,-1.672417,P
0.992886,1.632068,1.08375,0.288274,-0.542812,0.691428,0.607311,1.600393,-1.362732,0.226344,-1.10896,-0.383661,1.344154,0.376747,-0.347502,-0.138943,1.338664,1.063836,1.222287,0.840515,-0.597586,0.745299,1.685813,0.49749,-0.78715,N
1.187413,1.159992,-0.863716,-1.355297,-0.5841,1.636343,0.681305,0.258846,0.341182,-0.724855,-1.66545,-0.0579,-0.980649,-1.386354,1.127876,-0.568338,-0.470552,1.67063,-0.659018,-0.362538,-1.305177,1.353634,0.204931,-0.721609,0.748521,P
0.15978,1.110314,-0.425388,-1.265075,0.842488,0.40175,1.09541,-1.620099,0.056008,0.916362,-0.713869,0.569639,-0.226444,0.297534,0.109084,0.162449,1.332579,1.160176,-1.470979,0.349419,-1.299724,0.318147,-1.190527,-1.065243,0.536852,P
0.727525,0.564677,2.21363,0.984868,1.234809,0.567957,1.555697,-0.788273,-0.388763,1.647933,0.388269,-1.486344,1.701356,-0.433318,1.397983,0.918815,-0.883072,0.106738,-0.482683,-1.279233,0.470996,-0.75551,1.544055,-1.25591,0.885951,P
-0.019014,0.346121,0.018288,-0.534626,-0.185954,1.420176,-0.926852,-0.622381,-0.090749,-1.168092,-0.475583,0.440684,-0.962116,-0.683511,-0.162083,-1.673036,-1.25199,-1.280813,1.025624,0.244101,0.163188,-0.062834,0.879544,0.626056,-1.462388,P
0.900973,0.804499,0.148529,-0.219946,-1.12581,1.188079,1.602809,-0.389299,-0.588186,-1.168283,1.353541,-0.298013,1.224101,-1.310167,-0.942762,-0.661366,0.119794,-0.221099,-0.535206,0.160076,0.236,1.501095,-0.128047,-1.078585,0.024585,P
1.190575,0.823199,-0.629729,-0.938232,-1.424726,-1.503993,-0.877914,-0.522917,1.532027,1.207997,-0.067567,-0.986133,0.339702,-1.670748,1.525798,-0.60373,0.793508,0.515561,-1.598542,0.971643,0.30473,-0.338669,0.164686,0.315346,0.756897,P
-1.619007,-1.500005,-1.425025,0.34909,0.727287,-0.313866,0.509443,-1.524241,-0.789392,1.299814,0.398444,0.15258,0.284527,0.160705,0.536657,0.293766,1.33347,-0.582268,1.36589,-1.003673,1.485757,-0.773138,-0.581377,-0.901767,1.125237,N
0.327285,0.021591,-0.384567,-0.369333,0.17581,-1.475282,0.008659,-0.499319,1.33555,1.131048,1.039976,-1.55883,-0.093561,0.005306,0.520303,-1.114574,1.063503,0.8868,-1.60857,1.54521,-0.649885,1.328952,-0.888566,1.274455,0.47547,P
0.179762,0.589759,0.465069,0.230585,-1.054929,0.978763,-1.100742,0.129005,1.316789,-0.453708,-0.39264,-0.656032,1.375155,1.339813,-0.864492,0.871348,0.20265,0.930559,-0.031403,-0.923623,0.735346,1.137175,0.178193,1.500695,-0.538977,P
-0.506434,-0.122045,0.337335,1.66058,-0.806845,-1.288025,1.356652,-0.262874,1.28113,-0.9259,0.793903,0.645604,-1.658507,1.482775,1.432462,1.183256,1.64297,0.702299,1.5021,-1.728117,1.018718,-0.335706,0.362596,-1.202069,-1.401445,N
-0.150224,0.62869,-0.043183,-0.791223,-0.779544,0.193096,1.028182,-1.296761,1.698988,-0.377405,0.995467,-0.108873,1.420997,-0.34699,0.466836,0.862782,-0.812452,-1.310879,-0.401062,0.933507,-0.437653,-1.53319,-0.370941,1.038607,1.384379,P
0.443327,-0.344059,-0.320816,-0.871604,-0.807145,-0.181913,-0.005203,0.104997,-1.248329,1.540714,1.57282,0.028974,0.906167,0.538889,1.645348,-0.23643,0.361923,-0.285455,1.242238,-0.528394,1.758874,-1.048194,-1.635323,0.090308,-0.82675,N
-1.040523,-1.357389,-0.807277,1.341272,1.138763,1.447471,1.618821,-0.048779,-0.026786,0.829589,0.137005,1.70674,1.298562,-0.692558,0.805482,0.37904,0.463364,0.422296,-0.990054,-0.739285,-1.072651,-0.079031,-0.338975,-0.304851,0.902466,N
-1.02583,-0.248586,0.362006,1.077267,-0.132014,0.04641,-0.049093,-0.856148,0.382062,-0.391084,1.173667,1.06263,-0.348834,-0.155779,1.456192,-0.275495,-0.22807,-0.491815,-0.907384,1.422801,0.317528,-0.103751,0.062383,-1.737056,1.362697,N
-1.020602,-0.891024,0.094112,0.71282,-0.72238,-0.36701,0.287052,-1.44747,0.424015,-1.367912,-1.000791,-0.645965,-0.101294,0.655158,-0.733694,-1.649494,-0.13422,0.257966,0.848279,-0.053826,-0.254769,-1.570755,0.761568,1.214854,-1.130378,N
-0.191401,0.540839,-0.252725,-1.758,-0.471924,-0.985501,0.145733,0.142858,0.413335,1.038842,-1.374473,1.610941,-0.899486,-0.818383,-0.258315,0.792033,0.14309,-0.20317,-1.502979,-0.149959,-1.561132,0.980407,1.280532,-0.812281,1.376011,P
-0.890722,-1.113883,-0.85857,-1.387237,-1.414761,-1.604897,-1.152549,-0.406267,-0.165611,0.647888,0.925949,-0.446713,-0.471272,-0.866419,-0.615798,-0.334767,-0.001427,-0.223672,1.563064,-1.748476,-1.510011,-1.170831,1.235966,-0.098194,-0.331857,P
-1.233547,-0.64253,0.006025,1.356652,-0.77617,-1.505629,-0.246723,1.004546,-0.795808,1.075349,0.012856,1.012914,0.665832,-1.477964,-0.662217,0.104295,1.553071,0.64752,-0.686632,-0.320447,-0.631618,-1.375274,-1.68818,0.701322,-0.520778,N
-0.051498,-0.614159,-0.013354,1.033558,0.056441,1.079324,0.177229,0.757703,-0.234684,1.288947,0.481091,0.657846,0.705967,0.465161,-0.825614,-0.315066,-1.435103,-1.358275,0.597077,-1.31533,1.020342,-1.010101,-0.585783,-1.093201,-0.030517,N
-0.659226,-1.266347,-0.930649,-0.790632,-1.088213,-1.297098,0.731656,1.416778,0.655224,0.912222,1.359357,0.226362,0.851295,-1.593565,0.459686,-0.083175,-0.09827,-1.058978,-0.073428,-0.01282,-0.745227,-0.60227,1.375482,1.009013,-0.904166,N
1.302233,1.209106,1.620061,1.005567,-0.001455,1.580363,0.5468,0.983791,1.200313,1.037316,-1.495164,1.50992,-1.599852,-0.254615,-0.169915,1.513392,1.083558,-0.812691,1.322882,0.52803,-1.496303,1.621821,1.344844,-0.831995,0.783376,N
1.950099,1.679836,0.606972,-0.609894,0.416459,-0.442051,-1.142332,1.38148,-0.230712,-1.185128,-1.020147,1.769605,-1.186765,1.314847,0.58204,0.025913,1.486197,1.698646,-1.358066,0.877567,1.71832,-0.210617,0.718266,-0.093751,-1.068256,N
1.6134,1.07602,0.600536,0.148046,0.866211,-1.401262,-0.92946,0.808816,1.752029,-1.531644,-0.386062,-0.723042,-0.113001,-0.127358,1.332296,-1.687729,0.620839,-1.45047,1.308588,1.60068,0.612084,-0.114228,1.717958,0.052929,-1.305683,N
0.068504,0.737727,0.587449,0.649374,-1.658987,-0.656773,0.525995,-0.377623,0.78512,0.799204,0.005992,-0.605114,1.027063,0.512369,-0.74214,-1.168751,-0.693176,-1.669567,-0.817588,-0.916073,-1.643853,-0.56263,1.116322,-0.340573,0.021661,P
-0.891355,-0.512461,0.147915,0.790096,-0.221253,1.318062,1.63318,1.470673,-0.869433,1.622241,1.172265,0.930657,1.293122,-1.63467,-1.292813,-0.129781,-0.318505,0.788653,-0.962564,1.227264,-0.155176,-0.447737,0.612714,1.113335,-1.105357,N
1.490498,1.485958,-0.885426,-1.275333,0.576947,-1.629062,-1.217509,-0.461561,0.88323,-0.264309,-0.599705,0.078811,-1.741267,-1.475633,-0.383753,0.699711,-0.798309,-0.516132,0.874635,0.884856,1.188347,0.867093,1.109237,-1.238244,0.697544,N
-0.104717,0.743729,-0.04108,-1.454443,-1.438987,1.622879,0.759258,-1.119872,0.991,-0.924431,0.613637,1.604535,0.545215,1.582556,-1.749827,1.448766,1.416616,-0.873822,0.895213,1.587099,0.299815,0.138913,-1.514642,0.25564,0.244665,P
1.167233,0.446514,1.004106,0.315056,0.775673,-0.27889,0.674739,0.092233,0.509124,-1.173505,-1.352032,-0.047384,-0.010886,-1.282937,-0.202755,-0.134988,-0.972297,0.469862,0.030892,-1.359235,0.744043,-1.113224,-1.121989,1.407251,1.002097,P
1.399652,0.871983,1.137013,1.275135,-0.940132,-0.832819,-0.913019,-0.030122,1.357282,-1.682048,-0.065264,1.652295,0.304512,0.029192,0.909682,1.046592,0.783324,0.094398,0.561203,-0.272159,0.710617,1.349053,-0.523249,-1.064278,-0.448952,P
0.967076,1.413268,-0.330997,-0.970698,0.988926,-0.619648,0.601086,0.413015,-1.30439,-1.377731,0.455551,0.901655,-0.702117,0.21965,0.514723,-1.583994,1.138026,0.691301,-1.179767,-0.579568,1.179205,1.36069,-0.927892,0.918737,1.425055,P
0.634719,0.226393,-0.4268,0.23982,-1.133695,-1.681522,-0.416789,-0.553794,1.634481,0.492399,-0.750618,1.762425,1.228036,-1.502456,-1.588585,-0.800236,-1.655746,1.022722,-1.366448,-0.725386,-1.684369,0.150478,-0.794102,0.291638,-0.264634,P
0.621153,1.177173,-1.250258,-1.61828,-1.659749,-0.422665,-0.412329,-0.491522,0.628387,1.693424,-1.467216,-1.399494,0.890448,0.713495,0.236792,0.546669,0.30938,0.608658,-0.943672,-1.770976,0.836798,0.509022,-0.755236,1.440316,0.192122,P
0.629495,0.665128,1.125115,1.06961,-0.158343,1.130087,0.031715,1.412173,-0.986363,0.675818,1.18518,0.652436,-0.735936,-0.118543,1.366635,-0.374705,-1.305361,0.154614,0.117377,1.059699,-0.809205,-0.224056,1.042374,1.56909,0.923921,P
0.233003,0.547565,-0.402533,-0.707047,1.650462,-0.975399,1.372664,1.45392,0.054485,0.749836,-0.610685,1.154345,0.753636,0.63303,0.831046,-0.921996,0.31076,0.186754,-0.4983,0.051166,0.576493,-1.518978,-0.300517,-1.265986,1.081774,P
-1.281129,-1.598891,-1.219202,-1.336052,-1.619803,-1.337973,0.374977,0.889729,-0.220026,-0.228455,0.610421,-0.423811,1.065129,-0.586459,1.234752,0.46246,-0.528222,-0.345677,0.944924,0.801109,-1.259766,1.483947,-0.119577,0.714894,-0.138359,P
1.497154,0.736393,-0.748177,-1.220741,1.724755,1.187194,0.675322,0.071352,-0.928961,-0.705763,-1.214165,-1.48002,-1.395199,-1.201027,0.974816,-0.726039,1.581895,-1.187618,0.256456,1.051109,0.872101,-0.283863,-0.485632,1.535652,1.70032,P
-1.358712,-1.110766,0.166674,1.045813,-0.877234,-0.04883,-1.448331,-0.739986,0.881059,-0.524415,0.413317,-0.790255,1.691881,-1.405368,-1.038348,1.232569,0.239511,-1.707391,-0.430112,0.808015,-0.54926,0.187566,-0.719966,0.002239,-1.412489,N
-0.884859,-1.285578,-0.1645,0.656767,-1.168612,-0.041845,0.127084,-0.730528,-1.608315,1.483,0.872622,-0.469745,-1.183075,1.517415,0.927184,-0.529313,1.035961,-0.97376,0.977336,-1.375554,-0.64274,1.100425,-1.095409,-0.249976,0.847792,N
-0.51525,-0.155811,0.098821,0.011358,0.621782,-0.780114,-0.437806,0.675744,1.777634,0.973851,-0.106187,0.875314,1.350027,-1.036164,-1.747935,0.013399,-0.301525,0.145368,0.020407,0.143614,-0.899032,-0.236705,-1.69281,1.139065,0.001758,N
0.805112,1.561758,0.139999,-0.213384,-0.760093,0.582023,-1.083515,1.427049,-1.573945,-1.305424,-0.92781,0.360059,0.23822,1.733044,0.727897,0.06782,-0.08779,1.125974,-0.55938,0.77857,1.66055,0.92124,1.485194,0.631078,-0.274511,P
-0.963506,-0.891263,-1.403912,-1.593459,1.741764,-0.759985,1.36169,1.248288,0.717723,1.376013,0.34497,0.365707,-0.878598,-0.814885,-1.445686,-0.308693,-0.498523,0.285623,1.02761,1.187357,-1.079961,-0.276039,1.715455,-1.320524,0.998905,N
-0.601636,-0.27912,-0.101221,-0.246066,-1.475319,1.360436,-1.234887,-0.220656,-1.185005,0.376573,0.992044,1.566943,0.441356,1.383254,-0.374116,-1.590284,-0.123051,-1.377211,0.65473,0.73367,-1.016492,0.191933,1.066556,0.286027,-0.082815,N
-1.495025,-1.080626,-1.538479,0.07778,1.388447,1.376855,0.159722,0.011098,-0.562024,-1.372581,-0.865303,-0.659845,-0.711371,0.042075,1.071676,0.622405,0.006758,1.374726,-1.652629,-1.758508,0.587181,0.859956,-0.780986,-0.763264,0.764179,N
0.229472,-0.353767,-0.853156,1.130894,0.328758,-0.61464,-1.404857,0.554524,-1.314973,-1.643347,-0.811801,1.377279,0.301022,-0.753214,-0.731067,0.339877,-1.106602,-1.099698,-0.17059,1.498701,0.952222,-0.668477,0.551265,-1.00554,-1.418195,N
0.923315,1.453949,1.480548,-0.015663,1.758607,0.857172,-0.394274,0.504458,0.691189,-1.174469,-1.646627,1.037464,-0.420288,-0.504261,-0.776841,-0.47277,-0.908484,0.575108,-0.726459,-0.643309,1.581724,-0.263796,0.391999,0.941016,-0.243958,P
-0.50363,-0.184319,0.219314,0.888105,-0.811441,-0.81385,-1.635122,0.155105,-0.23852,0.398677,-0.798714,-0.010198,1.649954,-0.540653,-0.839867,0.472374,0.839535,-0.530274,1.375665,0.273894,-0.00178,1.505214,-1.180102,-1.449627,-1.25701,N
1.642883,0.908414,2.505749,1.522751,0.213456,0.584945,0.057774,0.567649,-0.163611,0.035187,0.742079,1.292392,-0.036679,-0.170051,-1.762677,-0.405378,0.963732,-1.306785,-0.260354,-1.318897,1.281767,-1.058807,0.610092,1.604533,-0.067933,N
-1.625068,-1.218649,-1.337925,-1.177068,-0.196524,0.723323,0.222608,0.032367,-0.772752,1.671035,-1.047918,0.043969,-1.543636,0.523282,0.287212,0.681659,-1.411585,0.014098,-1.124677,-0.757941,-0.179407,1.619627,1.23029,-0.441394,-1.399588,P
-0.421628,-1.313998,-0.630257,0.668837,-0.050217,0.429449,0.817906,0.187718,-0.359988,-1.008596,1.306205,1.057339,-0.031452,-0.661739,0.138873,0.120586,0.040604,-1.614369,-1.089307,1.498201,1.527486,-0.452497,-0.86929,-1.35423,1.334775,N
0.87617,1.356031,-0.548232,-1.317004,-0.82804,-0.470485,-0.238645,-0.676375,-1.582638,0.909862,-0.595935,1.023892,1.170792,0.871174,-1.347017,-0.116469,1.36537,-1.445087,1.626712,1.114205,1.187954,-0.629322,-0.162443,1.584914,1.255706,P
1.125761,1.431606,-0.78185,-1.40787,0.249133,-1.184444,-0.623726,-1.070907,0.287695,1.63976,1.538337,-0.055094,-1.641993,-0.541712,0.03468,-1.357082,1.393698,0.159574,0.046268,-0.825409,-1.128647,1.078094,-1.642717,0.971858,-0.135948,P
-0.628247,-0.754507,0.257657,0.643715,0.790453,-0.078873,-0.272291,-1.701897,0.097283,0.600904,0.869044,0.433089,-0.599112,0.742267,0.782196,-1.262721,0.505988,0.856085,-0.447633,-1.619225,-0.274645,-0.606547,1.669602,0.599294,-0.855671,N
0.549486,0.211032,0.748171,0.344334,-1.284275,-0.688907,1.604288,-0.727066,-1.398877,-0.579205,-0.254877,-1.047591,-0.090526,0.001503,0.730671,-0.475974,1.707604,-1.052036,0.020305,-1.570582,-0.002866,1.581325,-1.554552,1.21292,-0.401269,P
-0.044919,0.617669,0.103719,-0.448761,-1.504551,-1.493847,-0.596206,-0.34124,-0.476613,0.40446,0.601195,1.450641,-0.539114,0.311137,-0.640667,-0.48232,-0.791283,1.321886,-1.519271,1.618168,-0.323557,-1.00179,-0.837652,-1.722335,1.132982,P
-0.117673,-0.41204,-0.02924,1.077666,1.523335,-0.682896,1.665308,-1.673203,0.829627,0.964314,-1.113264,0.391497,-0.093329,0.046624,-0.848474,-1.025323,-0.305104,1.506662,-0.475845,0.66919,-1.549645,1.227069,-0.113111,-0.648149,1.320108,N
1.430127,1.201043,-0.223185,-1.3006,0.485723,-1.381633,0.671224,1.263549,0.75143,-1.730754,-1.447366,0.869798,0.119661,0.236364,1.310773,-1.448732,-0.661458,-0.419262,1.460823,1.16962,0.430903,0.026263,-0.618074,-1.454955,0.215541,P
0.669459,0.331861,0.167885,0.064739,-0.605929,-0.36752,0.667277,-0.236996,0.335526,-1.509632,-1.395858,0.241443,-1.217384,0.774753,1.586058,-0.521388,0.537664,0.00449,-1.391648,-1.145687,-0.860117,1.478172,1.595449,-0.61558,0.144562,P
0.818204,0.222198,0.854937,0.434757,-1.269182,-0.496576,1.632919,-1.005337,0.594902,-0.739847,-1.451732,-0.303852,-1.678788,-0.120702,-0.687436,-1.196865,0.94314,-0.76999,-0.50737,-1.538668,-0.779096,-1.731746,1.574637,1.162893,0.337137,P
-0.103254,-0.167147,-0.085591,0.750573,1.745451,1.495834,1.538269,1.643797,0.386978,0.789408,1.062415,0.28682,0.471838,-0.668459,-0.353546,1.320185,-0.086615,-0.277586,-1.301582,-0.982043,-0.993366,0.243473,-0.768424,-0.764357,0.988464,N
-0.520994,-0.562204,-0.732023,0.025639,-1.662624,0.486105,-1.176274,-0.934373,-1.055567,0.201158,0.266623,1.302339,1.617753,-0.289458,1.640256,-0.168453,0.548909,-1.091757,-0.163055,-0.550355,-0.844412,-1.126614,1.584572,1.699351,-0.798088,N
0.530168,-0.099002,-0.396645,-1.531285,-0.034405,0.849274,-0.068776,0.079141,-0.828426,-0.532821,-0.393301,0.096358,0.260672,1.331359,0.583139,0.12239,-1.296063,-0.33895,0.75355,1.172555,0.373173,-0.119222,1.719033,1.357814,-0.43213,P
0.691514,1.289076,0.348213,-1.358527,-0.845202,-0.473637,-0.437824,1.695545,0.799783,-0.458736,0.275245,0.306774,0.301712,-1.548361,-1.381916,-0.113588,0.395247,0.95667,1.307022,1.341709,1.27355,0.481517,0.232256,-1.031547,-1.405457,P
-0.291095,-0.041672,-0.255697,0.77111,1.031507,1.252287,0.557714,-0.878395,0.476909,1.463013,1.267367,-0.246614,1.019465,-1.473684,0.354077,1.473473,-1.217446,0.861926,0.02664,-0.292916,0.14182,-0.847645,0.896452,0.734889,1.458376,N
-1.505086,-1.253431,-0.995955,0.428851,1.310909,0.043561,-0.820782,0.825464,-0.226661,-0.742744,1.672,-0.548745,0.104949,0.068132,0.302355,-0.598485,-0.70054,0.876747,-1.634257,-0.481341,-1.498303,0.890543,0.491813,-1.166782,-1.470881,N
1.243005,1.558129,-1.732952,-1.600833,0.050753,1.34906,-1.208884,-1.429096,-1.328109,-0.193766,0.771844,1.515626,-0.942121,1.433227,0.024641,-1.691393,-1.205353,0.226616,-0.254086,0.179806,0.819932,1.053239,1.538107,1.022815,0.928248,N
-0.560997,-1.35471,-1.118767,0.655321,-0.215482,1.239433,-0.939182,0.454282,0.050883,-1.409618,-0.46576,1.006802,-0.267209,0.960931,-0.333932,-1.604667,-1.080326,-1.645175,-1.533302,-0.631856,-1.282011,1.457133,-0.734827,-1.502385,-0.457516,N
1.596414,1.665188,-0.112896,-0.244136,1.504648,1.182121,0.009041,-0.17934,1.101829,1.455762,0.218906,-0.091661,0.392126,0.983961,-0.358995,1.754992,0.235267,-1.523583,1.483707,-1.263927,-0.126869,-1.721661,-0.033502,0.753913,-0.06036,N
-0.819183,-0.483625,-0.887343,-1.461166,-1.62419,1.336305,1.154471,0.910012,0.868236,-1.283909,0.857937,-1.476145,-0.520145,-0.994168,-0.736818,1.033863,-1.148043,0.395699,-1.720149,0.718905,0.739022,-0.837174,1.449808,1.162414,0.446428,N
0.479723,1.209643,0.430061,-0.099513,-0.00859,-0.351702,0.34035,0.487918,1.669847,-1.147565,-0.773444,-1.056032,-1.142571,1.413708,-0.411264,-0.321873,-0.845793,0.755729,-0.244947,-0.745631,1.482196,1.124482,-0.953731,-0.496309,-0.215289,P
-0.235744,-0.356518,0.097355,-0.36988,-1.28326,0.396249,-1.456489,-0.816512,-0.943995,-1.191959,0.279193,-1.049393,1.344995,-0.181104,1.504989,0.661995,-0.835903,1.247242,-0.431895,-1.513522,-0.682898,-1.464708,-0.046434,-1.300034,-0.459009,N
0.325742,1.206134,1.489365,0.474546,0.662338,-0.277642,-0.20089,1.521219,0.771315,0.035738,-1.018211,-1.638857,0.942883,0.761101,1.632535,0.814738,-0.090307,-0.957354,1.390407,-0.992476,1.367288,-1.159885,0.350324,-1.468286,0.602054,P
1.244051,0.704593,0.986359,0.263438,-1.577692,1.014805,1.33251,-0.480942,-0.652701,1.656312,1.555652,-1.274651,-0.973933,-1.511214,-0.318142,0.289425,1.683797,-0.82317,-0.918081,0.680557,-0.763083,1.134906,0.459841,1.647181,1.186588,P
0.063676,0.77902,1.361241,0.533396,0.301817,-0.810166,-0.527058,-1.547635,1.542443,1.35054,1.169991,-1.009454,-1.395112,-0.944441,-0.898541,0.269319,0.004974,-1.503131,-0.885052,-1.084453,0.312177,0.152418,1.371706,0.260273,-1.483698,P
1.076511,0.895411,-0.303883,-0.529308,-0.755305,-0.597718,1.407814,1.5188,-0.425663,0.457956,1.435499,0.400952,-0.757253,0.706362,-1.359361,-1.710783,1.391826,1.342124,-0.010548,0.280219,1.366695,1.204496,-0.875596,-0.800842,0.234253,P
0.952084,1.123188,1.307648,1.086715,0.688554,0.535859,0.051224,-0.051815,-0.724891,-1.398337,0.975369,0.700038,1.39693,-0.083863,-0.694499,-1.472053,-1.224178,0.958068,0.582787,-1.194712,-1.20287,1.346773,-1.526705,1.169313,1.27272,P
1.514709,1.106495,-0.6674,-1.209854,-0.446986,-1.638231,-0.118335,-1.243192,0.711176,-1.067425,-1.418894,1.676531,-0.362737,-0.675239,-1.358671,0.149708,-0.44401,0.147454,0.776533,0.236244,-0.907863,-1.31113,-1.008611,-1.088937,-0.906892,P
-0.273223,0.065173,0.808045,0.996666,0.458202,1.215177,0.084135,0.597384,-1.711955,1.12973,-1.636435,-1.433274,-0.138311,-1.695639,0.243697,1.043221,-0.01213,0.732654,0.466689,-1.341082,-0.846098,-0.183559,-0.168151,0.726968,-0.988662,N
-0.483354,-0.324425,-0.212522,1.590155,0.403185,-0.358819,0.820519,1.278656,0.44148,-1.135997,-0.402569,0.635473,-0.452867,-0.677699,1.223667,1.106713,-0.992942,-1.021669,-0.603559,-1.631341,0.540552,-1.308987,-0.208589,-0.065261,0.109026,N
0.200505,-0.082947,-0.013288,0.364078,1.082068,-0.974338,-0.831181,-0.446398,1.704058,-1.707109,-0.490568,0.603523,-1.509193,1.119961,1.388764,-0.227674,-1.396492,-0.953997,0.850291,-1.102155,0.437302,0.112294,1.672198,-1.335343,-1.328598,N
0.542715,0.021251,0.17838,-0.280069,1.73145,-0.261345,-0.53884,-0.645349,1.011372,0.186172,-0.938933,1.787487,1.132864,1.523112,0.029978,-0.051145,-1.08949,-0.040649,-1.032995,0.378927,-0.900235,0.583268,1.069984,1.040206,-0.304265,P
-1.566937,-1.351796,-0.786647,0.011841,-0.942664,-0.758574,-1.083714,0.990806,-1.233424,-0.085811,1.224561,0.755308,1.325683,1.412439,-0.969466,0.440246,1.529854,0.695187,-0.105475,0.725382,1.726435,0.906171,0.996489,-0.126633,1.030376,N
