@relation creditcard-weka.filters.unsupervised.instance.Resample-S1-Z5.0

@attribute Time numeric
@attribute V1 numeric
@attribute V2 numeric
@attribute V3 numeric
@attribute V4 numeric
@attribute V5 numeric
@attribute V6 numeric
@attribute V7 numeric
@attribute V8 numeric
@attribute V9 numeric
@attribute V10 numeric
@attribute V11 numeric
@attribute V12 numeric
@attribute V13 numeric
@attribute V14 numeric
@attribute V15 numeric
@attribute V16 numeric
@attribute V17 numeric
@attribute V18 numeric
@attribute V19 numeric
@attribute V20 numeric
@attribute V21 numeric
@attribute V22 numeric
@attribute V23 numeric
@attribute V24 numeric
@attribute V25 numeric
@attribute V26 numeric
@attribute V27 numeric
@attribute V28 numeric
@attribute Amount numeric
@attribute Class {0,1}

@data
131691,-0.908966,-0.769453,2.415354,-2.400201,-1.443179,-0.047362,-0.179339,0.136892,-0.159407,-0.777791,-1.324013,-0.345305,0.499413,-0.724361,0.809439,-0.95862,-0.411007,1.952746,-0.780323,-0.064343,-0.070344,0.079885,0.011395,-0.096298,0.218713,0.806136,-0.000399,0.078389,143.95,0
136537,-0.035988,-0.774803,0.796863,-2.134172,-0.954909,-0.718943,-0.109818,-0.148547,-1.977842,0.906705,-1.265786,-1.503196,-0.293043,-0.343439,-0.240927,-0.80738,0.677398,0.115313,0.152139,-0.184026,-0.031042,0.220559,0.184511,-0.056938,-0.720938,-0.211808,0.18756,0.202202,79.95,0
133623,-0.640211,0.067212,1.870001,-3.215858,-0.655292,-0.766781,-0.003371,0.161338,1.996158,-1.972292,-0.988993,0.508866,0.117699,-0.599401,0.527679,0.351151,-0.984886,0.511142,-1.021879,-0.080386,0.285203,1.094081,-0.21635,0.019905,-0.242861,-0.383394,0.427208,0.228225,9.99,0
139162,0.060142,1.620236,-1.811906,-0.017168,1.160027,-1.195118,0.730614,0.142211,-0.336563,-1.916674,-0.702246,-0.438995,0.481157,-2.411414,0.877243,0.881194,1.736559,1.616763,-0.24345,-0.146656,0.20492,0.659294,-0.271499,-0.980454,-0.24153,-0.10339,0.026499,0.070213,1,0
73822,0.920083,-0.08579,0.128287,1.217457,-0.103758,-0.155778,0.326102,-0.029225,-0.253665,-0.005785,1.566634,1.463384,0.27956,0.410875,-0.478137,-0.58324,-0.022867,-0.491721,-0.261437,0.077194,0.134814,0.315382,-0.215803,0.274613,0.691456,-0.291539,0.005127,0.02354,119.42,0
65110,1.281252,0.262294,0.033901,0.937528,0.023258,-0.438202,0.103067,-0.139418,0.149399,0.015408,-1.201569,-0.232106,-0.094601,0.338918,1.068379,0.36554,-0.745849,0.247034,-0.105866,-0.11517,0.017821,0.080666,-0.219547,-0.457271,0.779557,-0.2442,0.015346,0.014157,12.28,0
77852,-0.750089,1.049153,1.073832,-0.130893,0.416928,-0.599194,0.488406,0.085258,-0.47589,-0.019075,1.282481,0.735417,0.496994,-0.399189,0.204757,0.641939,-0.394606,0.397146,0.301011,0.260779,-0.270008,-0.638755,-0.085498,-0.040259,-0.084893,0.080659,0.379854,0.1381,9.83,0
51641,1.23186,0.231916,0.641772,0.702541,-0.665472,-1.185318,0.055148,-0.212737,0.061061,-0.059931,0.032994,0.341208,0.002381,0.31046,1.036356,0.2198,-0.289441,-0.617063,-0.241284,-0.114765,-0.237253,-0.706587,0.177586,0.699548,0.164174,0.074895,-0.030811,0.022255,4.49,0
64631,-1.239497,0.89201,1.825781,1.05433,-0.412926,0.349261,-0.033793,0.559018,-0.634666,-0.428952,-1.114642,0.486041,1.958329,-0.125437,1.685617,0.481232,-0.519105,0.779998,0.734754,0.5228,0.19167,0.406006,-0.147006,-0.427241,0.408786,-0.118703,0.232767,0.055936,90,0
164949,2.160688,-0.574383,-1.700224,-0.492161,-0.099512,-0.855024,0.026891,-0.350599,-0.969806,1.05243,0.394462,0.895604,0.63905,0.333685,-1.319941,-1.799443,-0.195165,1.00995,-0.124103,-0.559994,-0.357744,-0.384569,0.095695,-0.297207,0.06825,0.673909,-0.082797,-0.083916,17.9,0
43507,-0.657823,0.364012,0.930913,0.707463,0.935973,0.29546,0.646064,0.133099,-0.974822,-0.145317,0.883063,0.772906,0.712202,0.426344,0.562027,-0.245791,-0.445697,0.345516,0.601861,0.318484,0.279837,0.63324,0.02049,-0.644188,-0.196923,-0.28481,0.147761,0.158946,85.34,0
74152,-1.162335,1.859544,0.080303,-0.152045,-0.096725,-0.536324,0.012682,0.809168,-0.597401,-0.670542,-1.212093,0.365654,1.226264,-0.089196,0.810914,0.848789,-0.062355,0.136367,0.229841,0.099666,-0.265321,-0.84353,-0.025325,-0.620601,0.095944,0.13901,0.106022,0.024404,1.98,0
33883,0.979104,-0.782113,0.89002,0.085756,-0.935769,0.606507,-0.761752,0.368857,1.040708,-0.350618,0.737759,0.943245,-0.626831,-0.216809,-0.654803,-0.083167,0.088904,-0.398997,0.495876,0.053116,-0.129615,-0.337763,-0.013685,-0.245205,0.025436,0.967911,-0.041624,0.011365,95.86,0
163632,0.124061,1.025444,-0.29877,-0.539988,0.981727,-0.642384,1.089612,-0.243905,-0.197675,-0.332178,-0.819008,0.499958,1.194239,0.1779,0.429784,-0.491572,-0.554135,0.007336,0.018636,0.079082,0.374104,1.379814,-0.121767,0.673433,-0.730733,-0.247201,0.516141,0.329818,2.99,0
114405,-0.538047,1.726031,-1.045152,1.006301,1.187114,-0.414069,0.981697,0.3823,-1.123658,-0.669527,0.874918,0.293494,-0.612918,-0.461728,-0.832592,-0.381225,1.273069,0.887157,0.816823,0.035007,0.124935,0.468033,-0.218558,0.584019,0.029165,-0.424886,0.32142,0.204597,15.15,0
130385,2.055725,-0.195052,-1.483824,0.119863,0.399322,-0.123421,-0.018941,-0.002896,0.451545,0.234057,0.367965,0.574579,-0.726664,0.54931,-0.719659,0.070198,-0.530027,-0.213613,0.613784,-0.230701,-0.23747,-0.607133,0.267979,0.213924,-0.183375,0.258672,-0.083868,-0.073496,1,0
162305,2.006032,-0.270833,-1.508989,0.152365,0.347335,-0.199004,0.046016,-0.045752,0.425954,0.224085,0.351768,0.639484,-0.567219,0.520784,-0.78056,0.12303,-0.590946,-0.140052,0.671695,-0.153803,-0.222814,-0.632552,0.23405,0.279151,-0.175401,0.24928,-0.091716,-0.067288,31.05,0
156664,1.948999,-1.308264,0.448654,0.733286,-1.123282,1.924485,-1.895776,0.546709,1.009362,0.743178,-1.385122,1.433209,1.595572,-1.534082,-2.444405,-1.246872,-0.549495,2.229374,-0.191308,-0.508928,-0.248793,0.328811,-0.007593,-1.427356,-0.068119,-0.407993,0.162204,-0.030636,32.55,0
38920,1.156136,-0.250701,0.190638,0.224259,-0.040161,0.605747,-0.282424,0.185227,0.435074,-0.204449,0.516074,1.246967,0.459715,-0.115815,-0.777424,-0.266836,-0.16325,-0.351105,0.54999,-0.0135,-0.049177,0.070097,-0.196815,-0.717233,0.551255,0.730358,-0.02419,-0.009013,36,0
132242,-2.55381,-0.083991,-1.936271,-1.33361,1.151432,-1.256007,0.601789,0.309391,-0.044965,-0.907717,0.540402,0.604588,-0.516406,1.726207,1.639178,-2.317933,1.057466,0.993305,4.715142,-0.714412,0.094768,1.383915,0.429534,0.31904,1.896602,0.245503,0.091951,-0.242711,33.24,0
149780,-0.324672,0.737168,0.423015,0.197519,0.523729,-0.900444,1.437435,-0.431436,-0.299831,-0.967297,-0.337047,-1.017529,-0.949007,-0.908624,1.495279,-0.270628,0.876112,0.84594,0.527797,0.306203,0.178629,0.558762,-0.377571,-0.10909,0.968185,0.18168,-0.233674,-0.252248,100,0
148755,-5.996987,-0.587915,-2.780476,3.326646,1.831815,-1.535286,-3.151347,-1.436755,-1.301108,-0.798176,-0.932658,0.685693,0.190953,0.664565,1.289522,-0.434401,2.844056,0.437619,2.30539,-0.642205,-1.484783,-0.090985,-3.685786,0.88505,0.154997,-0.049606,0.224211,-1.226717,2.59,0
140816,-1.419582,1.0623,-3.191839,1.260248,3.421589,-2.573846,1.050423,0.146436,-1.575447,-2.595609,1.788326,-0.59637,-0.947204,-4.015517,-0.749329,1.299328,3.786096,2.664031,-0.984599,0.213534,0.235506,0.15411,-0.721935,-0.812114,1.133595,-0.191869,-0.092984,-0.236174,1,0
552,1.238533,-0.011075,0.332073,0.086029,-0.449032,-0.653983,-0.11423,-0.056522,0.304679,-0.187624,-0.122768,-0.018008,-0.520844,0.39858,1.434727,-0.021799,-0.019764,-0.818619,-0.357587,-0.144289,-0.078097,-0.206754,0.069282,0.117772,0.196515,0.760195,-0.054258,0.003194,5.95,0
133998,2.149555,-1.072656,-0.857112,-1.111711,-0.629935,0.143496,-1.066501,0.047927,-0.1214,0.883485,0.077764,0.11964,0.737541,-0.426871,-0.452468,1.567381,-0.45496,-0.460956,1.039487,0.068238,0.328506,0.997121,-0.017661,-1.045801,-0.050232,-0.041739,0.008064,-0.064996,29.95,0
92748,-1.839132,-1.818852,1.48342,0.145461,1.148997,-1.020861,0.40397,-0.891065,2.85993,-0.031337,0.066984,-2.818574,1.469517,0.416454,-0.143946,-0.302146,-0.055072,0.575822,0.21242,-0.47509,-0.163212,1.12556,1.057773,-0.009427,-0.677684,-0.0427,-0.712052,0.088902,28.02,0
118836,2.21664,-0.315841,-1.815557,-0.671283,-0.124715,-1.486033,-0.036991,-0.495086,-0.711863,0.253996,-0.245894,-0.025718,1.318601,-1.525996,-0.323284,1.000326,1.21774,-1.444956,0.688085,0.074222,-0.034052,0.014897,0.136879,-0.170014,0.050505,-0.275948,-0.017453,-0.034343,15,0
156333,2.085545,0.14754,-1.77045,0.381918,0.483807,-0.793706,0.176831,-0.221858,0.517402,-0.375576,-0.721933,0.05038,0.007742,-0.837019,0.225886,0.365967,0.421469,-0.246349,0.112289,-0.155831,-0.375734,-0.980435,0.321301,0.376629,-0.240171,0.181606,-0.063492,-0.032179,1.98,0
36089,0.797309,-0.370882,1.346804,2.782951,-0.543666,1.674948,-0.783323,0.641091,0.277184,0.438352,0.684505,0.854522,-0.871515,-0.321199,-1.598548,-0.321768,0.355276,-0.622514,-1.026906,-0.08681,0.17933,0.663452,-0.157539,-0.243622,0.38291,0.246698,0.055805,0.025338,95.99,0
86923,-0.246616,1.181016,-0.710945,-0.590141,0.552103,-0.575163,0.438263,0.531144,-0.353602,-0.870155,0.871905,0.331518,-0.907344,-0.320136,-0.84583,0.59604,0.433923,0.294217,-0.055283,-0.150402,-0.245213,-0.757593,0.166595,0.576772,-0.488017,0.097795,0.091399,0.010884,1.98,0
116254,-0.477512,0.688751,1.367258,0.173516,0.32606,0.076998,0.942416,0.100978,0.258596,-1.023961,-1.190742,0.67011,0.001692,-0.44975,-1.985872,-0.391375,-0.222236,-0.98513,-0.671903,-0.155966,-0.366437,-0.951586,0.287823,1.000661,-0.604004,-1.329589,0.200691,0.211608,53.98,0
138687,-0.516365,0.314276,1.518108,-0.73605,0.390476,-0.821067,0.632361,-0.237972,0.304641,-0.402982,-0.743937,0.454895,0.916936,-0.550897,-0.014459,0.244135,-0.753596,-0.479561,-0.218883,0.276841,-0.211531,-0.37153,0.170518,0.054255,-0.859203,0.137963,0.19913,0.032781,27.48,0
153809,-1.097416,0.896679,1.063792,-0.681703,-0.566673,1.01931,1.435485,0.078152,-0.227545,-1.129958,-1.235021,0.431842,1.699619,-0.313771,0.973934,0.382348,-0.810942,0.248199,0.569728,0.127655,-0.177008,-0.428347,-0.128552,0.090242,0.470066,-0.442151,-0.248521,-0.269175,252.68,0
153745,-0.36243,-0.529941,2.166486,-2.180059,-0.880797,0.44133,-0.628355,0.346771,0.534676,0.152907,-0.529205,-1.261719,-2.386895,-0.956226,-2.166334,1.394427,-0.14698,-0.344314,0.585315,0.043234,0.113376,0.677846,-0.25614,-0.4416,-0.352142,-0.304796,0.246261,-0.02258,4.2,0
140883,1.958908,-0.524173,-0.259751,0.540874,-0.921396,-0.56849,-0.701235,0.037888,1.675304,-0.135008,-1.170751,-0.223352,-1.260568,0.081487,0.672015,0.078661,-0.362198,0.275537,-0.29768,-0.309834,0.185987,0.72858,0.139745,-0.025267,-0.159705,-0.205814,0.035397,-0.039222,12.99,0
60405,0.211822,-1.62689,0.25504,1.466048,-0.988799,0.335905,0.147215,-0.036675,0.492775,-0.247814,-1.308453,-0.079554,0.506577,-0.006211,1.53678,1.034615,-1.0521,0.775505,-0.519691,1.005091,0.379515,-0.068098,-0.603735,-0.554369,0.27866,-0.343793,-0.037742,0.124191,540,0
77021,0.75428,-1.886735,1.152219,0.002235,-2.124449,0.06319,-1.001666,0.080124,0.458491,0.166475,-1.019163,-0.106399,0.13223,-1.16354,-1.090709,0.659713,0.825667,-1.376599,0.868416,0.638217,0.267447,0.400577,-0.314563,0.470113,0.338819,-0.150144,0.019271,0.077867,300,0
4558,-1.018567,1.568311,1.744595,0.774484,0.238641,0.070428,0.446372,0.077383,0.620408,-0.550699,0.034884,-1.964181,3.533681,1.262353,0.553286,0.156842,0.140849,0.410592,0.602441,0.213319,-0.370338,-0.623279,-0.173651,-0.520257,0.33865,-0.499198,-0.084009,-0.161852,19.99,0
163354,2.175752,-1.085811,-0.444405,-0.84918,-1.121233,-0.216643,-1.27577,0.035377,0.409015,0.716377,-1.12682,-0.74623,-0.120117,-0.607434,0.154458,1.237586,0.109028,-0.863481,0.456597,-0.033753,0.409245,1.283218,0.108973,0.708447,-0.084564,-0.002804,0.01743,-0.042038,6.75,0
74950,-0.974427,0.294891,0.861098,-1.578654,-0.385234,-1.148749,0.539149,-0.229112,1.046479,-0.73415,0.194358,-0.123824,-1.209173,0.4239,2.165428,-1.289148,0.526777,-0.543632,1.171999,-0.143279,-0.053136,0.043934,-0.066864,0.420763,-0.77355,-0.274624,-0.659659,-0.339312,36.98,0
61863,-0.301906,1.056279,0.828722,-0.328696,0.66594,0.009531,0.587446,0.143873,-0.587812,-0.342982,0.457891,0.27135,0.325932,-0.32032,0.269078,0.915156,-0.671744,0.726652,0.638085,0.167529,-0.288029,-0.784586,-0.173711,-0.886618,-0.03205,0.12656,0.241015,0.07645,2.68,0
31808,1.245908,-0.858707,1.049698,-0.568331,-1.588965,-0.454062,-1.109958,0.09256,-0.301735,0.573173,0.052578,-0.882948,-0.589558,-0.228097,1.437831,1.134679,0.501319,-1.300441,-0.262874,0.060424,0.440333,1.146343,-0.050526,0.435001,0.271071,-0.040841,0.042933,0.029634,44,0
88759,1.918275,0.666212,-0.88265,3.500924,0.804717,0.227267,0.239886,-0.045002,-1.540552,1.685299,0.760606,0.754383,0.856817,0.422919,-1.073878,1.077619,-1.233754,0.186696,-1.459589,-0.197255,0.285792,0.806553,0.080496,0.776151,0.140577,0.073627,-0.048779,-0.053122,3.02,0
53982,-0.751241,-0.215506,1.056408,0.275077,-0.946117,0.061646,1.513865,-0.172013,-1.797995,0.04064,-0.44765,0.045131,0.49277,-0.015829,-0.177862,-2.335016,0.514164,0.5836,-1.281803,0.10165,-0.093852,-0.13402,0.511452,0.344518,0.277696,-0.301666,0.007234,0.0808,290.94,0
41295,1.004472,-1.223051,0.348203,-1.810123,-0.59698,1.379025,-0.969295,0.519683,0.232195,-0.386733,2.126801,1.874756,0.693857,0.081916,1.280277,-3.343463,1.153785,-0.129625,-1.341528,-0.46235,-0.137979,0.301878,0.013811,-1.017185,0.229363,-0.573022,0.159571,0.021544,81.05,0
135131,1.88689,-0.586009,0.063933,0.487513,-1.042708,-0.302267,-0.880173,0.123034,1.621802,-0.175947,-0.684278,0.224204,-0.477475,-0.118403,1.002842,0.380859,-0.53247,0.267962,-0.457015,-0.176186,0.106845,0.364257,0.331145,1.11813,-0.450448,-0.46945,0.04401,-0.011174,37,0
144239,1.583107,-1.300996,-1.743283,-0.510524,1.454398,3.985689,-1.052271,1.039387,1.258419,-0.244558,-0.082202,0.540696,0.044612,0.07524,1.220581,0.265652,-0.693093,-0.032324,-0.394258,0.25367,0.074415,-0.165545,0.184415,0.685686,-0.43899,-0.506414,0.030642,-0.00079,201,0
113093,2.196592,-1.367863,-0.674795,-1.457114,-1.414537,-0.944685,-0.943194,-0.274935,-1.313628,1.484501,-0.731484,-0.315086,0.986736,-0.498052,-0.181601,-0.538516,0.528118,-0.736374,-0.006679,-0.333976,-0.597275,-1.335256,0.523171,-0.09637,-0.657096,-0.676213,0.016722,-0.03128,55,0
155380,-0.74752,1.527817,-1.041537,-0.284525,0.278937,-0.20786,-0.780236,-2.146115,-0.402847,-1.866892,0.24216,0.298047,-1.330266,-0.747545,-1.575914,0.751451,1.115591,1.095177,-0.071472,0.333686,-1.149728,0.74813,-0.005463,-0.454463,-0.228082,0.552758,-0.136165,0.023129,1,0
59300,-0.603292,0.340582,1.361628,-1.169352,0.156692,-0.225418,0.296596,0.199707,0.268256,-1.057709,1.141197,0.022728,-1.60306,0.886055,1.795942,-1.034325,0.208866,0.730433,1.745187,0.062784,0.207349,0.587803,-0.388255,-0.303341,0.483804,-0.37627,0.107088,0.061402,13.1,0
79833,1.164837,-0.53926,0.85961,0.442059,-1.025402,0.214109,-0.856966,0.240408,-0.929873,0.973959,1.118771,0.245031,-0.445366,0.34277,0.704676,-1.104592,-0.28633,1.683462,-1.458891,-0.539431,-0.156583,-0.043311,0.0148,-0.046266,0.249315,-0.287183,0.071847,0.027355,37,0
111893,2.104293,-0.04578,-1.706934,0.009028,0.55215,-0.452777,0.159527,-0.21633,0.348054,0.174592,0.15836,0.857143,0.548914,0.545454,0.071788,0.258741,-1.146578,0.71508,0.439607,-0.177924,0.233873,0.832774,-0.142748,-0.989045,0.387598,-0.06612,-0.022091,-0.07842,1,0
161599,1.962411,0.054898,-1.568346,1.42412,0.271888,-1.12541,0.579636,-0.358145,0.363276,0.260619,-1.111814,-0.122934,-1.112583,0.687672,-0.382607,-0.644445,-0.094575,-0.55443,-0.226592,-0.291908,0.024308,0.179043,0.014249,-0.037584,0.356369,-0.536088,-0.022549,-0.056193,39.95,0
128705,0.033677,0.589177,0.718353,-0.712909,0.024216,-0.578191,0.218418,0.195005,0.45294,-1.197504,1.049928,0.197812,-1.096869,-1.020364,-0.199297,0.784806,0.224948,0.890186,-0.154913,-0.20492,-0.135793,-0.36574,0.10758,-0.143743,-0.84404,-0.374536,0.093539,0.073896,0.77,0
72391,-0.624032,1.118042,1.016654,-0.226159,0.263389,-0.034733,0.449007,0.309148,-0.267192,-0.046048,1.235202,-0.037657,-1.117463,-0.058418,0.61458,0.418068,-0.024667,0.144387,-0.058765,0.152811,-0.250777,-0.641591,-0.014809,-0.395732,-0.208902,0.113121,0.358139,0.137595,5.99,0
150192,1.922421,-0.037469,-2.058274,0.117441,1.073454,0.599767,-0.093461,0.229723,0.413939,-0.428095,1.360993,0.618805,-0.346557,-0.422669,1.043393,-0.272915,0.760381,-0.102023,-0.971406,-0.280641,0.285556,1.047146,-0.027182,-1.703638,0.080615,0.011221,0.039826,-0.05833,8,0
144227,-1.383531,-5.594289,-5.75542,1.62048,1.612094,3.516766,2.849675,0.000112,-0.649793,-0.422636,-0.106274,0.206392,-0.12036,1.517827,0.302321,-0.697886,-0.247278,-0.222204,-0.987793,3.428841,1.389533,0.005923,-1.76836,0.844041,0.257373,-0.365999,-0.374205,0.227521,1800,0
108417,-0.828754,0.607759,2.697158,4.912893,-0.237628,2.636051,-1.714197,1.221564,0.756535,0.58062,-0.616153,-2.439948,1.555139,0.720491,-2.51219,0.206224,0.953298,1.670845,1.987069,0.152244,0.067716,0.636555,-0.307483,-1.117994,-0.433911,0.551304,0.133291,0.019754,0.22,0
67013,1.313811,-0.568993,0.527103,-0.633249,-1.234692,-0.858758,-0.579,-0.065432,-1.024499,0.858113,1.303198,0.291323,-0.401115,0.416556,0.322063,-1.011267,-0.21495,1.360402,-0.546558,-0.487274,-0.423801,-0.847768,0.154286,0.525927,0.013846,0.875421,-0.064415,0.003509,18,0
138292,-2.268279,1.233059,0.419223,-1.064075,-1.071247,-0.58558,-0.525216,0.725622,1.441538,0.425241,0.133833,-0.784097,-3.529359,0.733248,0.029056,0.626896,-0.447925,0.708897,0.1162,-0.495215,-0.102661,-0.601235,0.260836,-0.06137,-0.307537,-0.382616,-1.164783,-0.126906,0.68,0
68129,1.235245,0.20677,0.163947,0.512287,-0.261855,-0.589172,-0.104999,0.032953,-0.021615,-0.077903,1.132686,0.172165,-1.010465,0.130088,0.5502,0.827449,-0.30627,0.451705,0.222961,-0.136118,-0.271278,-0.877053,0.090667,-0.070028,0.188816,0.101345,-0.035263,0.014752,1.98,0
139287,-12.429802,-13.317464,-3.504077,3.376382,8.849228,-7.209442,-4.823109,-0.735159,0.98021,1.409535,1.022665,2.112726,1.459518,1.216241,0.807035,0.535314,-0.485323,-0.488618,1.339486,-4.360461,-1.146708,-0.362091,-8.195702,0.637765,-1.83934,0.138361,3.203417,-3.018642,20.1,0
69929,-3.495012,-3.656703,1.314888,-1.341504,-0.50771,-0.81362,-1.387476,0.440671,-1.218822,0.735631,-1.06773,-0.920209,0.105427,-0.871951,-0.397811,-0.236572,0.771058,-0.201325,-0.697709,-1.79028,-0.504165,0.521138,2.257847,0.058117,-0.022924,-0.27888,0.569323,-0.366217,109,0
72173,-0.357344,1.076196,1.177832,-0.132973,0.252153,-0.471742,0.594225,0.096875,-0.628228,-0.339937,1.185648,0.48952,0.071644,-0.249017,0.219761,0.676672,-0.362229,0.467116,0.324728,0.130129,-0.235369,-0.639601,-0.072867,-0.053895,-0.147673,0.075233,0.241944,0.084546,1.29,0
