@relation strikes

@attribute country_code numeric
@attribute year numeric
@attribute strike_volume numeric
@attribute unemployment numeric
@attribute inflation numeric
@attribute parliamentary_representation numeric
@attribute binaryClass {P,N}

@data
2,1976,0,1.7,7.3,50.8,N
2,1977,0,1.6,5.5,50.8,N
2,1978,4,1.8,3.6,50.8,N
2,1979,0,1.7,3.7,51.9,N
2,1980,6,1.6,6.3,51.9,N
2,1981,1,2.1,6.8,51.9,N
2,1982,0,3.1,5.4,51.9,N
2,1983,0,3.8,3.3,49.2,N
2,1984,0,3.9,5.7,49.2,N
2,1985,8,4.1,3.2,49.2,N
3,1951,242,4.5,9.6,39.6,N
3,1952,356,5.2,0.9,39.6,N
3,1953,170,5.5,-0.3,39.6,N
3,1954,182,5.2,1.3,42.5,N
3,1955,403,4,-0.5,42.5,N
3,1956,372,2.9,2.8,42.5,N
3,1957,1453,2.4,3.2,42.5,N
3,1958,114,3.4,1.3,40.6,N
3,1959,383,4.1,1.2,40.6,N
3,1960,129,3.4,0.3,40.6,N
3,1961,35,2.7,1,42,N
3,1962,100,2.1,1.4,42,N
3,1963,90,1.7,2.2,42,N
3,1964,157,1.5,4.2,42,N
3,1965,25,1.7,4.1,33,N
3,1966,189,1.8,4.2,33,N
3,1967,64,2.5,2.9,33,N
3,1968,129,2.9,2.7,30.2,N
3,1969,56,2.3,3.8,30.2,N
3,1970,483,1.9,3.9,30.2,N
3,1971,410,1.8,4.3,30.2,N
3,1972,117,2.3,5.5,31.1,N
3,1973,282,2.3,7,31.1,N
3,1974,184,2.4,12.7,29.7,N
3,1975,196,4.4,12.8,29.7,N
3,1976,291,5.8,9.2,29.7,N
3,1977,216,6.6,7.1,30.2,N
3,1978,325,7.1,4.5,30.2,N
3,1979,197,7.3,4.5,29.3,N
3,1980,69,7.7,6.7,29.3,N
4,1951,242,2.4,10.4,78.7,P
4,1952,5918,2.9,2.5,78.7,P
4,1953,335,2.9,-0.9,73.5,P
4,1954,372,4.5,0.6,73.5,P
4,1955,454,4.3,0.2,73.5,P
4,1956,284,3.3,1.4,73.5,P
4,1957,325,4.5,3.2,49,P
4,1958,618,6.9,2.6,21.5,P
4,1959,470,5.9,1.1,21.5,P
4,1960,153,6.9,1.3,21.5,P
4,1961,28,7.1,0.9,21.5,P
4,1962,279,5.4,1.2,44.9,P
4,1963,175,5.1,1.8,55.1,P
4,1964,289,4.3,1.8,55.1,P
4,1965,408,3.6,2.5,57.3,P
4,1966,849,3.3,3.7,57.3,P
4,1967,612,3.8,3.6,57.3,P
4,1968,762,4.4,4.1,67,P
4,1969,1125,4.4,4.5,67,P
4,1970,934,5.6,3.4,67,P
4,1971,399,6.1,2.8,67,P
4,1972,1041,6.2,4.8,53,P
4,1973,732,5.5,7.6,53,P
4,1974,1121,5.3,10.9,59,P
4,1975,1303,6.9,10.8,59,P
4,1976,1359,7.1,7.5,59,P
4,1977,381,8,8,59,P
4,1978,826,8.3,8.9,59,P
4,1979,841,7.4,9.1,49.6,P
4,1980,930,7.4,10.2,63.4,P
4,1981,894,7.5,12.5,63.4,P
4,1982,605,10.9,10.8,63.4,P
4,1983,462,11.8,5.8,63.4,P
4,1984,393,11.2,4.3,24.8,P
4,1985,315,10.4,4,24.8,P
5,1951,3,9.7,10.5,44.6,N
5,1952,3,12.5,3.8,44.6,N
5,1953,2,9.2,0.9,45.6,N
5,1954,17,9,0,46.9,N
5,1955,7,9.7,5.5,46.9,N
5,1956,789,11.1,6,46.9,N
5,1957,5,9.9,2.7,43.4,N
5,1958,6,9.2,0.7,43.4,N
5,1959,12,5.9,1.7,43.4,N
5,1960,41,4.2,1.3,43.4,N
5,1961,1486,3.3,3.5,49.7,N
5,1962,9,1.8,7.4,49.7,N
5,1963,15,2,6.1,49.7,N
5,1964,11,1.4,3.1,49.7,N
5,1965,143,1.2,5.5,49.1,N
5,1966,9,1.4,7.1,50.9,N
5,1967,6,1.2,8.2,50.9,N
5,1968,19,1.2,8,44,N
5,1969,31,1.1,3.5,44,N
5,1970,56,0.7,6.5,44,N
5,1971,11,1.1,5.9,44,N
5,1972,11,0.9,6.6,49.7,N
5,1973,2001,0.9,9.3,49.7,N
5,1974,94,3.5,15.3,36,N
5,1975,52,4.9,9.6,41.7,N
5,1976,107,6.3,9,41.7,N
5,1977,115,7.3,11.1,48,N
5,1978,64,8.3,10,48,N
5,1979,84,6,9.6,48,N
5,1980,90,6.5,12.3,48.6,N
5,1981,319,10.3,11.7,48.6,N
5,1982,45,11,10.1,48,N
5,1983,38,11.4,6.9,48,N
5,1984,62,8.5,6.3,46.9,N
5,1985,1056,7.3,4.7,46.9,N
6,1951,288,0.1,16.3,26.5,N
6,1952,47,0.1,1,26.5,N
6,1953,54,0.3,2,26.5,N
6,1954,96,0.1,0,27,N
6,1955,281,0.1,-2.9,27,N
6,1956,5568,0.1,11,27,N
6,1957,174,0.3,11.3,27,N
6,1958,35,0.4,6.6,27,N
6,1959,323,2.3,1.5,25.5,N
6,1960,71,1.5,3.2,25.5,N
6,1961,30,1.2,1.8,25.5,N
6,1962,23,1.3,4.5,20,N
6,1963,961,1.5,4.9,20,N
6,1964,39,1.5,10.4,20,N
6,1965,11,1.4,4.8,20,N
6,1966,80,1.5,3.9,31,N
6,1967,211,2.9,5.6,31,N
6,1968,186,3.8,9.2,31,N
6,1969,104,2.8,2.2,31,N
6,1970,100,1.9,2.7,26,N
6,1971,143,2.2,6.5,26,N
6,1972,1632,2.5,7.1,27.5,N
6,1973,272,2.3,11,27.5,N
6,1974,239,1.7,16.7,27.5,N
6,1975,155,2.2,17.8,27.5,N
6,1976,684,3.8,14.4,27,N
6,1977,1310,5.8,12.7,27,N
6,1978,73,7.2,7.8,27,N
6,1979,131,5.9,7.5,26,N
6,1980,836,4.6,11.6,26,N
6,1981,337,5.1,12,26,N
6,1982,105,5.8,9.6,26,N
6,1983,361,6.1,8.4,28.5,N
6,1984,754,4.9,7.1,28.5,N
6,1985,84,4.8,5.9,28.5,N
7,1951,299,0.6,17.7,49.3,P
7,1952,146,0.7,12,49.3,P
7,1953,807,0.9,-1.9,49.3,P
7,1954,119,1.6,0.4,49.3,P
7,1955,251,1.5,1,49.3,P
7,1956,114,1.1,4.3,56.6,P
7,1957,324,0.8,-0.8,56.6,P
7,1958,88,0.9,15.3,56.6,P
7,1959,151,1.3,5.7,16.6,P
7,1960,82,1.2,4.2,16.6,P
7,1961,198,1.1,2.4,16.6,P
7,1962,142,1.1,5.2,16.6,P
7,1963,434,1.2,5.1,32.4,P
7,1964,176,0.9,3.2,32.4,P
7,1965,69,1.2,2.7,32.4,P
7,1966,174,1.2,2.6,32.4,P
7,1967,282,1.6,2.8,41,P
7,1968,7000,2.6,4.6,19.1,P
7,1969,143,2.3,6.1,19.1,P
7,1970,109,2.4,5.9,19.1,P
7,1971,271,2.6,5.5,19.1,P
7,1972,228,2.7,6.2,19.1,P
7,1973,232,2.6,7.3,36.9,P
7,1974,197,2.8,13.7,36.9,P
7,1975,227,4.1,11.8,36.9,P
7,1976,235,4.4,9.6,36.9,P
7,1977,139,4.9,9.4,36.9,P
7,1978,118,5.2,9.1,41.7,P
7,1979,179,5.9,10.8,41.7,P
7,1980,86,6.3,13.3,41.7,P
7,1981,82,7.4,13.4,68.4,P
7,1982,127,8.1,11.8,68.4,P
7,1983,74,8.3,9.6,68.4,P
7,1984,75,9.7,7.4,68.4,P
7,1985,41,10.2,5.8,68.4,P
8,1951,112,6.4,7.7,36.3,P
8,1952,29,6.1,2.1,36.3,P
8,1953,95,5.5,-1.9,36.3,P
8,1954,98,5.2,0.2,31,P
8,1955,50,3.9,1.7,31,P
8,1956,89,3.1,2.6,31,P
8,1957,59,2.7,2.1,31,P
8,1958,43,2.7,2.1,34,P
8,1959,3,1.9,1,34,P
8,1960,2,0.9,1.5,34,P
8,1961,3,0.6,2.3,34,P
8,1962,22,0.6,2.9,38.1,P
8,1963,88,0.7,3,38.1,P
8,1964,1,0.6,2.4,38.1,P
8,1965,2,0.5,3.2,38.1,P
8,1966,1,0.6,3.6,40.7,P
8,1967,19,1.7,1.6,40.7,P
8,1968,1,1.2,1.6,40.7,P
8,1969,12,0.7,1.9,40.7,P
8,1970,4,0.6,3.4,45.2,P
8,1971,203,0.7,5.2,45.2,P
8,1972,3,0.9,5.5,45.2,P
8,1973,25,1,7,46.4,P
8,1974,48,2.1,7,46.4,P
8,1975,3,4,5.9,46.4,P
8,1976,25,4,4.3,46.4,P
8,1977,1,3.9,3.7,43.2,P
8,1978,197,3.7,2.7,43.2,P
8,1979,22,3.3,4.1,43.2,P
8,1980,6,3.3,5.4,43.2,P
8,1981,3,4.6,6.3,43.9,P
8,1982,1,6.7,5.3,43.9,P
8,1983,2,8.2,3.3,38.8,P
8,1984,260,8.2,2.4,38.8,P
8,1985,2,8.3,2.2,38.8,P
9,1951,773,7.3,7.9,10.88,N
9,1952,752,9.1,9.2,10.88,N
9,1953,117,9.6,5,10.88,N
9,1954,95,8.1,0,12.92,N
9,1955,336,6.8,2.6,12.92,N
9,1956,70,7.7,4.3,12.92,N
9,1957,135,9.2,4.1,8.16,N
9,1958,187,8.6,4.5,8.16,N
9,1959,181,8,0,8.16,N
9,1960,115,6.7,0.4,8.16,N
9,1961,589,5.7,2.7,11.11,N
9,1962,160,5.7,4.2,11.11,N
9,1963,354,6.1,2.5,11.11,N
9,1964,794,4.7,6.7,11.11,N
9,1965,796,4.6,5,15.27,N
9,1966,1129,4.7,3.1,15.27,N
9,1967,262,5,3.2,15.27,N
9,1968,574,5.3,4.7,15.27,N
9,1969,1304,5,7.4,12.5,N
9,1970,1405,5.8,8.2,12.5,N
9,1971,379,5.5,9,12.5,N
9,1972,284,6.2,8.7,12.5,N
9,1973,277,5.7,11.4,13.19,N
9,1974,720,5.3,17,13.19,N
9,1975,390,7.3,20.9,13.19,N
9,1976,1032,9,18,13.19,N
9,1977,571,8.8,13.6,11.48,N
9,1978,765,8.2,7.6,11.48,N
9,1979,1752,7.1,13.2,11.48,N
9,1980,480,7.3,18.2,11.48,N
9,1981,503,9.9,20.4,9.04,N
9,1982,504,11.4,17.1,9.04,N
9,1983,382,14,10.5,9.64,N
9,1984,472,15.6,8.6,9.64,N
9,1985,521,17,5.4,9.64,N
10,1951,437,8.8,14.3,37.5,P
10,1952,337,9.5,1.9,37.5,P
10,1953,545,10,1.4,40.2,P
10,1954,493,8.7,2.4,40.2,P
10,1955,511,7.5,2.3,40.2,P
10,1956,372,9.3,3.4,40.2,P
10,1957,407,7.4,1.1,40.2,P
10,1958,363,6.4,3.2,41.4,P
10,1959,792,5.4,0,41.4,P
10,1960,483,4,2.1,41.4,P
10,1961,803,3.4,2,41.4,P
10,1962,1799,4.4,5,41.4,P
10,1963,888,3.8,6.7,40.2,P
10,1964,1256,4.2,6.3,40.2,P
10,1965,557,5.3,4.2,40.2,P
10,1966,1163,5.7,2.4,40.2,P
10,1967,675,5.3,1.3,40.2,P
10,1968,719,5.6,1.2,42.5,P
10,1969,2875,5.6,2.6,42.5,P
10,1970,1566,5.3,5,42.5,P
10,1971,1098,5.3,4.9,42.5,P
10,1972,1437,6.3,5.7,42.7,P
10,1973,1698,6.2,10.8,42.7,P
10,1974,1381,5.3,19.1,42.7,P
10,1975,1918,5.8,17,42.7,P
10,1976,1774,6.6,16.7,48.6,P
10,1977,1149,7,18.5,48.6,P
10,1978,702,7.1,12,48.6,P
10,1979,1870,7.6,14.8,48.6,P
10,1980,1108,7.5,21.3,48.6,P
10,1981,705,7.8,19.5,48.6,P
10,1982,1245,8.4,16.5,48.6,P
10,1983,945,9.3,14.6,47.8,P
10,1984,591,9.7,10.8,47.8,P
10,1985,257,9.9,9.2,47.8,P
11,1951,439,1.1,16.5,17.8,P
11,1952,1061,1.2,5,23.6,P
11,1953,286,1.3,6.6,29.8,P
11,1954,249,1.7,6.5,29.8,P
11,1955,215,1.8,-1,34.1,P
11,1956,262,1.7,0,34.1,P
11,1957,300,1.4,3.3,34.1,P
11,1958,306,1.4,-0.4,35.8,P
11,1959,279,1.5,1,35.8,P
11,1960,216,1.1,3.6,35.3,P
11,1961,259,1,5.4,35.3,P
11,1962,216,1.3,6.8,35.3,P
11,1963,105,1.2,7.7,36.8,P
11,1964,115,1.2,3.8,36.8,P
11,1965,197,1.2,6.6,36.8,P
11,1966,9,1.3,5.1,36.8,P
11,1967,60,1.3,4,36,P
11,1968,90,1.2,5.4,36,P
11,1969,114,1.1,5.2,27.8,P
11,1970,118,1.1,7.7,27.8,P
11,1971,177,1.2,6.3,27.8,P
11,1972,149,1.4,4.9,35.6,P
11,1973,127,1.3,11.6,35.6,P
11,1974,266,1.4,23.2,35.6,P
11,1975,220,1.9,11.8,35.6,P
11,1976,88,2,9.4,33.1,P
11,1977,40,2,8.2,33.1,P
11,1978,36,2.2,4.2,33.1,P
11,1979,24,2.1,3.7,35.3,P
11,1980,25,2,7.7,32.9,P
11,1981,14,2.2,5,32.9,P
11,1982,13,2.4,2.7,32.9,P
11,1983,12,2.6,1.9,34.1,P
11,1984,8,2.7,2.3,34.1,P
11,1985,6,2.6,2,34.1,P
12,1951,24,2.4,11.9,35,N
12,1952,11,3.5,0,36,N
12,1953,10,2.5,0,36,N
12,1954,20,1.8,4,36,N
12,1955,44,1.3,1.9,36,N
12,1956,68,0.9,1.9,38,N
12,1957,2,1.2,6.1,38,N
12,1958,12,2.3,2.2,35.3,N
12,1959,4,1.8,1.1,35.3,N
12,1960,142,1.1,2.3,35.3,N
12,1961,7,0.8,1.3,35.3,N
12,1962,3,0.5,2.3,35.3,N
12,1963,11,0.6,3.3,34,N
12,1964,12,0.5,5.8,34,N
12,1965,15,0.5,5.8,34,N
12,1966,3,0.8,5.8,34,N
12,1967,2,1.6,3.5,30.7,N
12,1968,4,1.4,3.7,30.7,N
12,1969,6,1,7.4,30.7,N
12,1970,66,1,3.7,30.7,N
12,1971,25,1.3,7.5,31.3,N
12,1972,33,2.2,7.8,31.3,N
12,1973,141,2.2,8,34.7,N
12,1974,2,2.7,9.6,34.7,N
12,1975,0,5.2,10.2,34.7,N
12,1976,3,5.5,9.1,34.7,N
12,1977,57,5.3,6.5,37.3,N
12,1978,1,5.3,4.1,37.3,N
12,1979,68,5.4,4.2,37.3,N
12,1980,13,6,6.5,37.3,N
12,1981,5,8.6,6.8,33.3,N
12,1982,49,11.4,5.9,33.3,N
12,1983,26,13.7,2.8,35.3,N
12,1984,6,14.1,3.3,35.3,N
12,1985,19,12.8,2.2,35.3,N
13,1951,2462,0,11.1,37.5,P
13,1952,58,0,7.8,37.5,P
13,1953,38,0,4.8,37.5,P
13,1954,39,0.1,4.5,43.8,P
13,1955,97,0,2.6,43.8,P
13,1956,43,0.1,3.5,43.8,P
13,1957,49,0.4,2,51.2,P
13,1958,32,0.4,4.4,51.2,P
13,1959,49,1.2,3.7,51.2,P
13,1960,58,0.6,0.8,42.5,P
13,1961,59,0.3,1.8,42.5,P
13,1962,141,0.1,2.7,42.5,P
13,1963,80,0.1,1.9,43.8,P
13,1964,93,0.1,3.4,43.8,P
13,1965,29,0.1,3.4,43.8,P
13,1966,128,0.1,2.8,43.8,P
13,1967,174,0.1,6.1,43.8,P
13,1968,166,0.8,4.3,43.8,P
13,1969,171,0.3,4.9,46.4,P
13,1970,327,0.2,6.6,46.4,P
13,1971,191,0.2,10.5,46.4,P
13,1972,152,0.4,6.9,63.2,P
13,1973,300,0.2,8.1,63.2,P
13,1974,198,0.1,11.1,63.2,P
13,1975,225,0.2,14.6,36.8,P
13,1976,501,0.4,17,36.8,P
13,1977,437,0.3,14.4,36.8,P
13,1978,372,1.7,12,43.5,P
13,1979,373,1.9,13.7,43.5,P
13,1980,362,2.2,17.2,43.5,P
13,1981,354,3.6,15.4,46.7,P
13,1982,294,3.5,16.2,46.7,P
13,1983,324,5.6,7.4,46.7,P
13,1984,363,5.7,6.2,59,P
13,1985,632,4.1,15.4,59,P
14,1951,37,0.8,16.1,56.7,N
14,1952,127,1,8.8,56.7,N
14,1953,41,0.9,1.9,56.7,N
14,1954,104,0.8,4.6,53.3,N
14,1955,106,0.9,1.1,53.3,N
14,1956,946,1,3.6,53.3,N
14,1957,26,1.6,2.8,53.3,N
14,1958,59,1.5,4.9,52.7,N
14,1959,46,1.1,2.2,52.7,N
14,1960,2,0.9,0.4,52.7,N
14,1961,400,1,2.5,52.7,N
14,1962,76,1,5.3,50.7,N
14,1963,210,1.2,2.6,50.7,N
14,1964,1,1.1,5.7,50.7,N
14,1965,8,0.9,4.3,50.7,N
14,1966,5,0.8,3.3,46.7,N
14,1967,4,0.7,4.4,46.7,N
14,1968,12,1.1,3.5,46.7,N
14,1969,19,1,3.1,46.7,N
14,1970,39,0.8,10.6,49.3,N
14,1971,7,0.8,6.3,49.3,N
14,1972,9,1.7,7.2,49.3,N
14,1973,8,1.5,7.4,49.3,N
14,1974,227,1.5,9.4,52,N
14,1975,9,2.3,11.7,52,N
14,1976,90,1.8,9.2,52,N
14,1977,16,1.5,9,52,N
14,1978,39,1.8,8.2,52,N
14,1979,4,1.9,4.8,52,N
14,1980,63,1.7,10.9,52,N
14,1981,17,2,13.6,52,N
14,1982,167,2.6,11.4,46.7,N
14,1983,3,3.3,8.4,46.7,N
14,1984,61,3,6.3,46.7,N
14,1985,37,2.5,5.7,46.7,N
15,1951,217,1.8,15.8,52.2,N
15,1952,32,2.4,7.7,52.2,N
15,1953,237,2.8,1.6,50,N
15,1954,10,2.6,0.8,50,N
15,1955,63,2.5,3.1,50,N
15,1956,2,1.5,4.5,50,N
15,1957,21,1.9,4.4,48.5,N
15,1958,6,2.5,4.4,50.2,N
15,1959,9,2,0.8,50.2,N
15,1960,7,1.8,4.1,50.2,N
15,1961,1,1.7,2.2,51.3,N
15,1962,2,1.5,4.8,51.3,N
15,1963,8,1.7,2.9,51.3,N
15,1964,11,1.6,3.4,51.3,N
15,1965,1,1.2,5,51.9,N
15,1966,109,1.6,6.4,51.9,N
15,1967,0,2.1,4.3,51.9,N
15,1968,0,2.2,1.9,51.9,N
15,1969,34,1.9,2.7,54.9,N
15,1970,45,1.5,7,54.9,N
15,1971,242,2.5,7.4,51.4,N
15,1972,3,2.7,6,51.4,N
15,1973,3,2.5,6.7,51.4,N
15,1974,16,2,9.9,50,N
15,1975,98,1.6,9.8,50,N
15,1976,7,1.6,10.3,50,N
15,1977,23,1.8,11.5,48.4,N
15,1978,10,2.2,9.9,48.4,N
15,1979,7,2.1,7.2,48.4,N
15,1980,1150,2,13.7,49.9,N
15,1981,54,2.5,12.1,49.9,N
15,1982,0,3.1,8.6,49.9,N
15,1983,9,3.5,8.9,53.3,N
15,1984,8,3.1,8,53.3,N
15,1985,127,2.8,7.4,53.3,N
16,1951,5,0.8,4.8,28.4,N
16,1952,7,0.9,2.5,27.6,N
16,1953,35,0.9,-0.6,27.6,N
16,1954,15,0.8,0.7,27.6,N
16,1955,1,0.5,0.9,27.6,N
16,1956,1,0.6,1.5,29.1,N
16,1957,0,0.4,2,29.1,N
16,1958,1,0.4,1.8,29.1,N
16,1959,1,0.4,-0.7,29.1,N
16,1960,1,0,1.4,27.6,N
16,1961,0,0,1.9,27.6,N
16,1962,1,0,4.3,27.6,N
16,1963,32,0,3.4,27.6,N
16,1964,2,0,3.1,28.5,N
16,1965,0,0,3.4,28.5,N
16,1966,0,0,4.8,28.5,N
16,1967,1,0,4,28.5,N
16,1968,1,0,2.4,28,N
16,1969,0,0,2.5,28,N
16,1970,1,0,3.6,28,N
16,1971,3,0,6.6,28,N
16,1972,1,0,6.7,25.5,N
16,1973,0,0,8.8,25.5,N
16,1974,1,0,9.8,25.5,N
16,1975,1,0.4,6.7,25.5,N
16,1976,8,0.7,1.7,29.5,N
16,1977,2,0.4,1.3,29.5,N
16,1978,2,0.3,1.1,29.5,N
16,1979,1,0.3,3.7,29.5,N
16,1980,2,0.2,4,27,N
16,1981,0,0.2,6.5,27,N
16,1982,0,0.4,5.7,27,N
16,1983,2,0.9,3,27,N
16,1984,0,1.1,2.9,24,N
16,1985,0,0.9,3.4,24,N
17,1951,81,0.9,9.7,47.2,P
17,1952,86,1.4,6.1,47.2,P
17,1953,104,1.3,1.9,47.2,P
17,1954,114,1,1.9,47.2,P
17,1955,173,0.8,3.1,44,P
17,1956,95,0.9,4.2,44,P
17,1957,380,1.1,2.4,44,P
17,1958,158,1.7,2.9,44,P
17,1959,239,1.7,0.7,41,P
17,1960,135,1.3,1,41,P
17,1961,134,1.1,3.6,41,P
17,1962,252,1.6,4.1,41,P
17,1963,76,2,2.1,41,P
17,1964,100,1.4,3.2,50.3,P
17,1965,127,1.2,4.8,50.3,P
17,1966,103,1.1,3.9,57.8,P
17,1967,122,2,2.4,57.8,P
17,1968,207,2.1,4.7,57.8,P
17,1969,303,2,5.5,57.8,P
17,1970,488,2.2,6.4,45.7,P
17,1971,612,2.8,9.4,45.7,P
17,1972,1080,3.1,7.1,45.7,P
17,1973,317,2.2,9.2,45.7,P
17,1974,647,2.1,15.9,47.4,P
17,1975,265,3.2,24.2,50.2,P
17,1976,146,4.8,16.5,50.2,P
17,1977,448,5.2,15.9,50.2,P
17,1978,413,5.1,8.2,50.2,P
17,1979,1272,4.6,13.5,42.4,P
17,1980,520,5.6,18,42.4,P
17,1981,195,9,11.9,42.4,P
17,1982,248,10.4,8.6,42.4,P
17,1983,178,11.2,4.6,32.2,P
17,1984,1278,11.2,5,32.2,P
17,1985,298,11.5,6.1,32.2,P
18,1951,466,3.2,8,51,P
18,1952,1190,2.9,2.2,51,P
18,1953,559,2.8,0.8,49,P
18,1954,456,5.3,0.4,49,P
18,1955,529,4.2,-0.3,51,P
18,1956,616,4,1.5,51,P
18,1957,311,4.2,3.4,51,P
18,1958,438,6.6,2.7,51,P
18,1959,1236,5.3,0.9,65.3,P
18,1960,341,5.4,1.5,65.3,P
18,1961,284,6.5,1.1,64,P
18,1962,317,5.4,1.1,64,P
18,1963,267,5.5,1.2,68,P
18,1964,385,5,1.3,68,P
18,1965,379,4.4,1.7,68,P
18,1966,399,3.7,3,68,P
18,1967,636,3.7,2.8,64,P
18,1968,723,3.5,4.2,64,P
18,1969,615,3.4,5.4,58,P
18,1970,940,4.8,5.9,58,P
18,1971,668,5.8,4.3,54,P
18,1972,366,5.5,3.3,54,P
18,1973,625,4.8,6.2,56,P
18,1974,612,5.5,11,56,P
18,1975,403,8.3,9.1,62,P
18,1976,298,7.6,5.7,62,P
18,1977,255,6.9,6.5,61,P
18,1978,273,6,7.7,61,P
18,1979,228,5.8,11.3,58,P
18,1980,232,7,13.5,58,P
18,1981,186,7.5,10.3,46,P
18,1982,101,9.5,6.2,46,P
18,1983,192,9.5,3.2,46,P
18,1984,89,7.4,4.3,46,P
18,1985,73,7.1,3.6,47,P
