@relation rmftsa-ladata

@attribute Total_Mortality numeric
@attribute Respiratory_Mortality numeric
@attribute Cardiovascular_Mortality numeric
@attribute Temperature numeric
@attribute Relative_Humidity numeric
@attribute Carbon_Monoxide numeric
@attribute Sulfur_Dioxideglm.LAshumway numeric
@attribute Nitrogen_Dioxide numeric
@attribute Hydrocarbons numeric
@attribute Ozone numeric
@attribute binaryClass {P,N}

@data
181.94,13.11,102.36,59.07,88.31,6.63,2.2,6.91,37.78,2.56,P
175.47,10.74,98.44,68.55,50.32,9.27,2.73,9.3,49.08,3.23,N
181.35,10.38,97.87,68.35,64.49,7.46,2.14,8.89,43.6,3.25,P
160.02,7.42,92.98,65.6,70.99,7.64,2.11,8.73,43.89,4.28,P
172.3,5.76,96.16,58.75,73.58,5.41,1.79,6.32,33.93,2.71,P
161.41,9.07,86.83,65.67,51,7.08,2.43,7.07,47.42,4.21,P
166.95,6.17,91.09,59.85,68.02,5.21,2.08,6.38,40.06,3.92,P
166.68,6.06,92.5,63.95,52.48,5.18,2.25,5.62,39.44,3.85,P
173.35,7.83,90.64,77.14,33.34,7.57,2.16,10.66,44.2,6.91,P
142.13,6.18,80.69,66.59,69.43,5.26,3.28,9.76,44.12,6.91,P
181.07,8.58,99.91,72.86,41.21,5.67,2.22,7.01,37.9,4.85,P
157.49,7.41,89.09,67.87,69.82,4.71,3.06,10.46,37.36,7.69,P
166.52,7.36,94.25,73.61,52.8,5.75,2.41,9.89,43.9,7.3,P
166.77,6.97,93.33,71.45,70.46,5.41,3.41,12.46,44.78,11.09,P
149.87,5.54,84.08,69.97,74.58,4,2.43,8.56,31.43,7.84,P
156.98,5.9,86.37,78.49,57.91,5.65,3.76,11.35,41.72,11.1,P
158.29,5.27,86.61,72.52,68.79,3.69,2.48,6.68,33.15,5.85,P
160.15,6.19,82.47,84.84,58.96,6.96,4.27,16.06,48.32,15.64,P
155.78,5.18,82.73,72.97,64.96,4.33,1.7,5.83,32.45,6.95,P
176.36,8.56,98.29,96.23,39.19,8.23,4.72,16.94,59.28,19.59,N
160.9,6.51,87.02,81.68,65.75,4.89,4.93,11.12,42.78,14.28,P
167.1,6.32,91.13,83.17,62.19,5.33,4.57,11.18,46.66,12.95,P
152.2,5.84,80.23,79.42,66,3.46,3.2,7.87,32.73,10.3,P
155.68,6.65,81.36,78.64,65.55,5.14,4.24,10.3,40.27,11.84,P
163.24,7.74,82.8,86.44,58.69,6.21,4.73,13.23,53.67,14.65,P
164.6,6.56,87.24,82.08,66.84,4.78,4.1,10.7,36.3,10.91,P
155.52,5.67,79.37,80.73,64.82,4.28,3.75,9.42,34.62,12.88,P
160.35,7.74,86.83,87.68,60.07,7.36,5.91,14.58,53.63,12.96,P
151.29,5.46,82,81.44,54.82,5.76,3.85,10.05,42.89,9.62,P
150.07,5.42,77.96,77.34,66.31,3.88,2.78,7.93,40.86,8.79,P
152.14,5.62,79.69,75.18,69.87,4.2,2.6,8.71,41.74,9.79,P
158.47,6.85,87.32,75.85,67.6,4.9,3.23,8.74,36.99,11.51,P
163.5,5.47,85.33,74.24,71.33,6.1,4.05,10.92,47,10.6,P
171.61,7.8,92.02,87.78,42.37,11.14,3.95,13.35,56.06,12.33,N
157.08,8.44,84.03,69.09,72.85,5.59,3.46,9.79,48.77,8.14,P
163.18,7.06,83.45,82.08,45.7,13.21,4.43,16,65.38,10.83,N
160.43,7.89,82.35,79.84,58.57,10.39,3.85,16.38,62.37,7.65,N
165.24,8.6,89.17,82.8,44.41,13.33,4.01,18.25,62.73,7.91,N
161.72,8.19,82.24,73.56,46.87,10.34,2.93,13.32,51.96,5.1,N
173.22,6.53,93.35,73.74,60.27,13.51,5.65,19.54,69.76,9.62,N
161.88,5.89,89.16,63.94,71.51,7.89,1.86,6.39,43.94,2.51,P
167.39,8.1,95.13,63.08,55.28,8.88,2.92,7.63,45.21,2.97,N
167.56,7.25,89.1,64.79,56.91,12.47,3.44,10.82,57.07,2.65,N
181.65,7.38,100.32,75.45,35.76,16.17,3.3,13.98,69.89,3.23,N
167.28,5.58,95.61,67.12,67.01,13.99,3.64,15.89,60.49,3.81,N
177.09,9.02,99.61,69.12,38.88,11.82,3.1,11.76,53.8,2.89,N
183.34,7.33,105.82,61.56,71.8,8.9,2.25,11.18,51.29,2.63,N
184.83,7.12,104.2,51.22,71.04,5.07,1.1,4.99,31.75,2.1,P
173.11,7.98,95.45,64.28,67.31,11.93,2.39,9.7,55.13,2.74,N
164.21,10.38,90.48,65.41,80.37,11.94,2.76,15.61,56.13,3.37,N
164.73,6.33,93.58,65.45,47.16,13.15,3.26,12.01,53.14,2.8,N
170.84,8.8,91.71,65.68,63.68,12.8,3.26,16.22,59.32,4.99,N
178.25,8.01,95.29,72.25,27.82,11.26,2.79,11.88,54.52,4.23,N
170.86,8.76,94.69,63.18,66.25,9.4,3.2,11.71,54.74,4.68,N
179.93,7.26,102.5,71.55,36.56,8.58,2.15,9.49,49.21,4.14,N
171.46,7.67,98.58,67.3,60.87,8.16,2.71,10.99,47.75,5.47,N
186.67,6.32,107.12,59.64,70.03,7.12,2,7.26,43.43,4.33,P
176.96,7.58,99.29,73.43,70.3,11,3.7,16.36,65.56,12.98,N
173.23,8.82,96.85,61.91,73.68,3.95,1.51,5.09,39.7,3.88,P
158.69,5.77,89.02,64.85,75.98,4.66,2.24,6.52,39.72,4.01,P
171.68,6.22,96.27,74.43,44.97,5.81,1.94,8.91,53.21,9.01,P
173.06,9.07,97.55,74.39,53.31,5.96,2.3,11.31,63.38,9.76,P
161.24,6.11,85.16,70.8,58.94,5.46,2.49,9.51,41.42,9.18,P
171.54,6.09,94.77,72.49,53.43,4.53,2.48,9,38.05,8.01,P
161.77,6.46,85.45,70.06,67.04,3.69,2.2,7.75,32.85,7.32,P
174.47,6.37,97.46,70.25,73.88,3.64,2.26,7.7,31.73,9.42,P
158.66,4.54,83.31,66.51,60.44,3.26,1.85,6.11,28.69,4.11,P
163.65,6.39,91.41,83.11,54.4,5.48,2.76,12.65,50.9,12.73,P
159.23,5.39,88.84,71.29,69.35,3.38,2.26,6.15,31.49,7.59,P
159.86,5.23,86.44,75.49,70.83,3.46,2.57,6.72,33.2,9.99,P
160.61,6.67,82.08,80.98,58.4,4.77,2.55,10.41,39.95,14.72,P
157.46,5.23,83.63,83.52,50.77,5.28,4.26,11,43.78,9.71,P
168.85,8.52,95.22,88.27,46.79,6.79,3.84,13.8,47.74,16.03,P
149.94,5.2,80.28,77.88,63.29,2.9,1.79,6.1,34.51,8.82,P
162.14,5.91,85.59,82.23,57.97,5.08,2.55,9.92,44.71,11.76,P
161.36,7.02,84.68,90.75,48.17,6.1,3.02,13.62,58.59,15.25,P
156.82,7.07,81.53,86.58,61.21,4.88,2.53,10,46.65,11.02,P
165.19,7.66,89.2,84.8,65.69,4.55,2.49,8.64,34.53,10.82,P
143.54,5.15,74.51,80.32,67.11,3.04,1.86,6.86,31.78,11.2,P
156.63,4.8,81.85,80.23,60.69,4.88,2.22,8.65,42.6,12.64,P
153.04,6.82,81.97,82.88,65.35,4.71,2.9,10.45,41.32,15.6,P
162.56,6.73,85.01,85,53.94,6.54,3.39,13.26,50.48,14.86,P
162.78,7.33,86.98,88.96,59.43,7.71,3.83,13.73,48.3,16.1,P
156.23,6.99,81.67,78.11,68.5,5.41,2.7,8.34,37.68,10.52,P
161.4,6.49,91.11,85.06,60.55,9.29,4.59,16.7,58.03,16.15,N
158.36,5.78,83.38,76.39,69.7,6.08,2.49,9.33,42.05,10.16,P
163.81,7.75,86.18,74.23,65.6,6.38,2.33,8.83,41.2,7.11,P
166.34,6.22,89.93,76.42,65.73,9.17,2.46,11.98,46.91,8.31,N
167.58,7.8,91.82,83.68,50.48,12.72,3.9,20.02,62.75,10.7,N
166.71,6.31,92.27,67.62,71.4,6.84,1.97,7.44,41.51,3.85,P
164.25,7.13,89.29,64.36,67.37,9.72,2.44,10.53,48.43,3.74,N
161.82,6.28,85.41,81.7,29.86,12.82,2.47,12.26,50.42,5.62,N
172.43,8.47,96.78,72.67,63.46,14,3.75,19.19,61.67,7.54,N
163.31,5.79,83.6,73.59,49.41,10.95,3.46,12.2,51.33,4.67,N
178.76,7,98.63,69.09,51.04,15.21,4.54,16.35,66.99,4,N
169.35,7.52,90.86,66.75,59.66,13.18,2.89,13.03,50.91,2.44,N
173.25,7.34,94.36,70.03,47.46,13.7,3.68,15.5,57.13,4.63,N
181.39,8.06,97.52,69.53,41.95,19.4,4.21,21.74,72.64,4.1,N
194.52,8.44,108.68,55.33,48.75,5.92,1.81,4.55,35.23,1.89,P
191.33,10.2,107.23,63.17,44.3,13,3.18,11.18,54.4,2.56,N
195.64,13.49,107.08,66,55.24,10.2,2.76,7.99,43.84,2.42,P
205.55,14.61,113.39,80.86,33.44,19.76,4.66,22.2,72.79,6.99,N
194.36,16.61,105.51,69.57,47.86,15.12,4.65,17.77,70.65,6.34,N
203.44,17.08,111.9,54.85,68.34,8.72,1.85,6.26,37.88,2.07,N
206.26,19.86,110.44,64.21,81.89,10.06,3.22,8.47,47.48,2.57,P
182.67,15.3,95.42,62.12,66.44,9.13,2.8,8.6,48.17,4.08,P
179.82,11.78,97.78,66.21,39.27,9,2.43,8.6,46.78,3.55,N
165.7,10.13,90.38,69.77,71.45,13.78,6.06,18.02,73.26,11.35,N
168.03,9.59,86.89,60.84,83.86,6.19,1.85,5.29,35.12,2.78,P
169.43,8.91,91.59,59.44,65.11,8,2.16,7.11,43.26,4.69,P
163.16,7.91,85.51,65.65,69.7,7.33,2.7,8.53,40.38,6.46,P
164.59,7.9,88.16,64.09,38.15,5.23,2.05,5.56,35.99,4.16,P
171.27,9.17,87.03,60.63,70.83,7.59,2,6.96,38.54,4.15,P
159.94,7.87,88.61,60.19,71.07,4.46,1.5,5.26,36.72,3.57,P
169.98,6.96,96.96,63.92,68.34,5.71,2.72,6.38,40.83,5.81,P
151.73,5.99,80.03,66.83,61.45,4.82,2.19,7.18,42.55,5.47,P
154.42,7.05,80.53,69.48,63.2,5.09,2.51,8.33,39.92,7.81,P
158.4,6.78,76.46,74.17,57.49,6.37,3.09,9.7,54.81,9.44,P
150.37,5.41,78.85,69.29,76.46,4.07,2.15,6.2,31.16,7.94,P
165.24,9.05,87.03,70.86,66.39,5.14,2.45,7.69,42.34,8.22,P
150.85,6.91,82.27,75.34,72.85,4,2.68,7.25,29.43,12.2,P
155.81,6.34,78.92,72.66,73.15,4.7,2.28,7.43,34.31,9.5,P
142.41,5.15,72.75,74.91,72.83,4.27,2.35,7.55,31.55,13.16,P
155.73,5.94,77.75,70.17,68.24,4.34,1.73,5.17,36.52,6.14,P
160,5.81,83.79,81.41,56.24,6.47,3.27,11.15,45.38,13.29,P
158.61,4.44,82.13,82.03,57.83,5.44,2.39,9.77,44.36,13.13,P
153.84,8.85,76.42,85.76,59.42,5,3.43,11.48,42.42,15.24,P
144.75,6.96,74.58,78.54,70.95,3.02,1.88,6.29,27.95,11.73,P
159.76,5.88,79.61,84.44,66,4.64,3.34,10,38.48,15.13,P
151.92,6.56,76.52,82.87,62.88,4.35,2.76,9.66,36.46,12.28,P
157.76,6.66,79.27,86.52,59.81,6.5,4.28,14.47,49.34,14.58,P
150.55,5.39,74.7,77.5,68.73,2.84,2.41,6.5,28.2,10,P
146.25,6.04,75.49,81.72,62.93,5.43,2.88,10.43,45.12,8.93,P
156.21,6,82.82,82.61,55.83,6.4,3.06,12.72,58.16,14.46,P
154.28,6.95,80.29,83.09,64.45,5.99,4.01,13.15,55.23,12.83,P
154.24,4.15,80.05,75.74,76.55,5.01,2.23,7.79,36.84,11.47,P
162.17,6.65,78.64,92.27,46.07,9.58,3.52,17.19,59.38,14.22,N
156.94,7.34,79.4,86.41,50.98,7.11,3.13,13.51,43.54,14.3,N
153.86,6.71,71.02,83.03,66.06,7.47,3.86,16.36,47.55,15.56,N
146.37,7.89,73.55,73.16,62.66,5.38,1.72,6.05,39.68,4.28,P
157.9,5.15,79.6,78.82,55.61,10.7,2.76,15.83,56.46,10.2,N
162.33,7.42,85.08,70.51,49.52,6.12,1.77,6.99,38.45,4.61,P
167.82,6.62,90.14,76.06,61.41,13.51,3.88,19.27,74.32,7.81,N
154.39,6.65,82.26,71.35,64.97,11.26,3.65,16.45,68.24,7.97,N
164.7,8.55,86.75,76.99,40.38,13.05,3.64,13.51,63.84,6.14,N
166.52,7.41,90.11,72.96,33,12.92,3.18,12.66,64.89,4.61,N
175.49,6.87,94.86,66.78,44.95,9.77,2.3,9.95,49.29,3.06,N
171.88,7.68,89.68,74.69,51.99,14.1,4.12,18.27,75.46,4.8,N
168.32,8.05,90.16,64.15,60,9.17,2.75,10.8,52.22,3.16,N
165.42,8.17,85.73,67.28,55.77,16.03,4.6,20.09,82.45,3.11,N
168.64,7.73,96.82,70.73,57.38,12.35,3.13,18.25,69.2,4.15,N
177.58,8.34,100.37,63.84,28.37,9.87,2.48,8.85,54.29,2.93,N
164.4,8.56,93.43,68.01,51.63,13.86,3.62,14.27,69.89,4.09,N
174.62,7.14,94.12,84.19,26.27,14.4,3.5,15.38,72.15,6.31,N
163.68,8.63,89.26,71.08,52.3,9.67,2.76,11.24,59.63,4.29,N
168.91,10.98,91.81,81.45,32.82,14.67,4.33,21.81,85.14,9.42,N
179.13,10.1,97.4,56.52,85.34,4.61,1.2,4.56,30.09,2.19,P
186.97,12.12,102.71,66.95,69.22,8.59,1.9,11.07,60.61,4.87,P
188.15,15.43,101.94,68.92,45.72,7.8,1.74,9.2,52.28,4.8,P
189.07,16.03,97.4,68.9,63.16,7.69,2.81,13.77,61.55,7.22,P
184,17.92,96.12,58.7,51.27,5.55,1.4,6.08,41.78,3.12,P
195.92,18.92,105.45,68.56,55.55,7.4,2.91,11.11,63.09,7.36,P
178.37,15.23,94.34,77.03,42.69,8.3,3.77,14.19,63.64,9.18,N
168.54,10.19,92.51,74.53,44.92,6.15,1.86,10.2,52.55,7.28,P
165.12,9.08,88.47,65.47,57.36,5.37,1.78,8.3,39.41,5.15,P
164.35,10.66,85.47,63.42,70.38,4.86,1.39,5.75,47.16,4.97,P
160.86,8.48,85.7,65.54,51.39,4.96,1.51,7.87,45.1,7.11,P
161.64,7.44,84.48,72.34,64.03,4.84,1.52,9.13,43.74,8.82,P
159.26,6.26,85.63,75.18,55.41,5.14,2.89,10.23,46,10.61,P
164.9,7.89,79.67,69.01,74.9,3.99,1.54,6.71,32.47,6.92,P
